Instance    SplitMode     OrderMode    Decrescent       Exec. Time    Solution Quality %    Occupied %     Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    AREA         True            9.72271e-05             100           100         0                 10              10                0          100                0
BKW01       VERTICALLY    AREA         False           6.67095e-05              60            60        40                 10               9                1           90               10
BKW01       VERTICALLY    PERIMETER    True            6.14643e-05             100           100         0                 10              10                0          100                0
BKW01       VERTICALLY    PERIMETER    False           6.66618e-05              60            60        40                 10               9                1           90               10
BKW01       VERTICALLY    HEIGHT       True            6.85215e-05              60            60        40                 10               9                1           90               10
BKW01       VERTICALLY    HEIGHT       False           6.29902e-05              24            24        76                 10               8                2           80               20
BKW01       VERTICALLY    WIDTH        True            5.6982e-05              100           100         0                 10              10                0          100                0
BKW01       VERTICALLY    WIDTH        False           6.69956e-05              60            60        40                 10               9                1           90               10
BKW01       VERTICALLY    ID           True            7.43389e-05              60            60        40                 10               9                1           90               10
BKW01       VERTICALLY    ID           False           7.77245e-05              60            60        40                 10               9                1           90               10
BKW01       HORIZONTALLY  AREA         True            6.08921e-05             100           100         0                 10              10                0          100                0
BKW01       HORIZONTALLY  AREA         False           5.67436e-05              12.75         12.75     87.25              10               6                4           60               40
BKW01       HORIZONTALLY  PERIMETER    True            6.06537e-05             100           100         0                 10              10                0          100                0
BKW01       HORIZONTALLY  PERIMETER    False           5.34058e-05              12.75         12.75     87.25              10               6                4           60               40
BKW01       HORIZONTALLY  HEIGHT       True            6.21319e-05             100           100         0                 10              10                0          100                0
BKW01       HORIZONTALLY  HEIGHT       False           5.38826e-05              12.75         12.75     87.25              10               6                4           60               40
BKW01       HORIZONTALLY  WIDTH        True            5.92709e-05              88.75         88.75     11.25              10               8                2           80               20
BKW01       HORIZONTALLY  WIDTH        False           6.9046e-05               24            24        76                 10               8                2           80               20
BKW01       HORIZONTALLY  ID           True            6.03199e-05              17.75         17.75     82.25              10               7                3           70               30
BKW01       HORIZONTALLY  ID           False           5.49316e-05              52.75         52.75     47.25              10               7                3           70               30
BKW01       MAX_AREA      AREA         True            0.000147009             100           100         0                 10              10                0          100                0
BKW01       MAX_AREA      AREA         False           0.000162554              60            60        40                 10               9                1           90               10
BKW01       MAX_AREA      PERIMETER    True            0.00014472              100           100         0                 10              10                0          100                0
BKW01       MAX_AREA      PERIMETER    False           0.00016346               60            60        40                 10               9                1           90               10
BKW01       MAX_AREA      HEIGHT       True            0.000144005              98.75         98.75      1.25              10               9                1           90               10
BKW01       MAX_AREA      HEIGHT       False           0.000164938              60            60        40                 10               9                1           90               10
BKW01       MAX_AREA      WIDTH        True            0.000134039              88.75         88.75     11.25              10               8                2           80               20
BKW01       MAX_AREA      WIDTH        False           0.000165749              60            60        40                 10               9                1           90               10
BKW01       MAX_AREA      ID           True            0.000159264              60            60        40                 10               9                1           90               10
BKW01       MAX_AREA      ID           False           0.000128794              52.75         52.75     47.25              10               7                3           70               30
BKW01       NONE          AREA         True            0.00141559              100           100         0                 10              10                0          100                0
BKW01       NONE          AREA         False           0.00140686               60            60        40                 10               9                1           90               10
BKW01       NONE          PERIMETER    True            0.00143061              100           100         0                 10              10                0          100                0
BKW01       NONE          PERIMETER    False           0.00141468               60            60        40                 10               9                1           90               10
BKW01       NONE          HEIGHT       True            0.00110478               60            60        40                 10               9                1           90               10
BKW01       NONE          HEIGHT       False           0.00154247               60            60        40                 10               9                1           90               10
BKW01       NONE          WIDTH        True            0.00171371              100           100         0                 10              10                0          100                0
BKW01       NONE          WIDTH        False           0.00152364               60            60        40                 10               9                1           90               10
BKW01       NONE          ID           True            0.001472                 60            60        40                 10               9                1           90               10
BKW01       NONE          ID           False           0.0006639                52.75         52.75     47.25              10               7                3           70               30
BKW02       VERTICALLY    AREA         True            0.000110722              61            61        39                 20              14                6           70               30
BKW02       VERTICALLY    AREA         False           9.81331e-05              29.1333       29.1333   70.8667            20              12                8           60               40
BKW02       VERTICALLY    PERIMETER    True            0.000115108              63.4          63.4      36.6               20              15                5           75               25
BKW02       VERTICALLY    PERIMETER    False           9.6941e-05               29.1333       29.1333   70.8667            20              12                8           60               40
BKW02       VERTICALLY    HEIGHT       True            0.000108385              57.2667       57.2667   42.7333            20              13                7           65               35
BKW02       VERTICALLY    HEIGHT       False           0.000101995              34.2          34.2      65.8               20              13                7           65               35
BKW02       VERTICALLY    WIDTH        True            0.000118732              81.0667       81.0667   18.9333            20              18                2           90               10
BKW02       VERTICALLY    WIDTH        False           9.3317e-05               26.7333       26.7333   73.2667            20              11                9           55               45
BKW02       VERTICALLY    ID           True            0.000103903              40.7333       40.7333   59.2667            20              13                7           65               35
BKW02       VERTICALLY    ID           False           0.000104141              57.4667       57.4667   42.5333            20              12                8           60               40
BKW02       HORIZONTALLY  AREA         True            0.000119114              82.6667       82.6667   17.3333            20              13                7           65               35
BKW02       HORIZONTALLY  AREA         False           0.000122213              40.1333       40.1333   59.8667            20              14                6           70               30
BKW02       HORIZONTALLY  PERIMETER    True            0.000119638              82.6667       82.6667   17.3333            20              13                7           65               35
BKW02       HORIZONTALLY  PERIMETER    False           0.000125074              49.3333       49.3333   50.6667            20              15                5           75               25
BKW02       HORIZONTALLY  HEIGHT       True            0.000137806              82.5333       82.5333   17.4667            20              16                4           80               20
BKW02       HORIZONTALLY  HEIGHT       False           0.000118923              47.4667       47.4667   52.5333            20              14                6           70               30
BKW02       HORIZONTALLY  WIDTH        True            0.000128317              73.4          73.4      26.6               20              17                3           85               15
BKW02       HORIZONTALLY  WIDTH        False           0.00014534               60.2          60.2      39.8               20              17                3           85               15
BKW02       HORIZONTALLY  ID           True            0.000116301              50.4          50.4      49.6               20              15                5           75               25
BKW02       HORIZONTALLY  ID           False           0.000124407              78.5333       78.5333   21.4667            20              16                4           80               20
BKW02       MAX_AREA      AREA         True            0.000273705              71.9333       71.9333   28.0667            20              17                3           85               15
BKW02       MAX_AREA      AREA         False           0.000248861              43.8667       43.8667   56.1333            20              15                5           75               25
BKW02       MAX_AREA      PERIMETER    True            0.000276184              71.9333       71.9333   28.0667            20              17                3           85               15
BKW02       MAX_AREA      PERIMETER    False           0.00029645               60.2          60.2      39.8               20              17                3           85               15
BKW02       MAX_AREA      HEIGHT       True            0.00028863               68.2          68.2      31.8               20              16                4           80               20
BKW02       MAX_AREA      HEIGHT       False           0.000255156              49.3333       49.3333   50.6667            20              15                5           75               25
BKW02       MAX_AREA      WIDTH        True            0.000283813              79.4667       79.4667   20.5333            20              18                2           90               10
BKW02       MAX_AREA      WIDTH        False           0.000254536              55.2667       55.2667   44.7333            20              15                5           75               25
BKW02       MAX_AREA      ID           True            0.000263071              54.1333       54.1333   45.8667            20              16                4           80               20
BKW02       MAX_AREA      ID           False           0.000292587              76.8          76.8      23.2               20              17                3           85               15
BKW02       NONE          AREA         True            0.00490065               85.8667       85.8667   14.1333            20              14                6           70               30
BKW02       NONE          AREA         False           0.0117498                43.5333       43.5333   56.4667            20              15                5           75               25
BKW02       NONE          PERIMETER    True            0.00543761               89.8667       89.8667   10.1333            20              16                4           80               20
BKW02       NONE          PERIMETER    False           0.0106522                49.9333       49.9333   50.0667            20              16                4           80               20
BKW02       NONE          HEIGHT       True            0.00628028               82            82        18                 20              17                3           85               15
BKW02       NONE          HEIGHT       False           0.0114176                59.1333       59.1333   40.8667            20              17                3           85               15
BKW02       NONE          WIDTH        True            0.0124416                96.5333       96.5333    3.46667           20              18                2           90               10
BKW02       NONE          WIDTH        False           0.0146143                65.5333       65.5333   34.4667            20              16                4           80               20
BKW02       NONE          ID           True            0.0103454                64.3333       64.3333   35.6667            20              17                3           85               15
BKW02       NONE          ID           False           0.0066689                76.8          76.8      23.2               20              17                3           85               15
BKW03       VERTICALLY    AREA         True            0.000163507              84.1333       84.1333   15.8667            30              23                7           76.6667          23.3333
BKW03       VERTICALLY    AREA         False           0.000169802              52            52        48                 30              24                6           80               20
BKW03       VERTICALLY    PERIMETER    True            0.000165796              80.1333       80.1333   19.8667            30              22                8           73.3333          26.6667
BKW03       VERTICALLY    PERIMETER    False           0.00015955               52            52        48                 30              24                6           80               20
BKW03       VERTICALLY    HEIGHT       True            0.000165749              75.4667       75.4667   24.5333            30              22                8           73.3333          26.6667
BKW03       VERTICALLY    HEIGHT       False           0.000179863              55.3333       55.3333   44.6667            30              25                5           83.3333          16.6667
BKW03       VERTICALLY    WIDTH        True            0.000170851              88.6          88.6      11.4               30              24                6           80               20
BKW03       VERTICALLY    WIDTH        False           0.000163889              52            52        48                 30              24                6           80               20
BKW03       VERTICALLY    ID           True            0.000175953              65.9333       65.9333   34.0667            30              25                5           83.3333          16.6667
BKW03       VERTICALLY    ID           False           0.000179338              66.4          66.4      33.6               30              25                5           83.3333          16.6667
BKW03       HORIZONTALLY  AREA         True            0.000216532              88.8          88.8      11.2               30              23                7           76.6667          23.3333
BKW03       HORIZONTALLY  AREA         False           0.000168276              20.2          20.2      79.8               30              17               13           56.6667          43.3333
BKW03       HORIZONTALLY  PERIMETER    True            0.000205803              93            93         7                 30              27                3           90               10
BKW03       HORIZONTALLY  PERIMETER    False           0.00016737               20.2          20.2      79.8               30              17               13           56.6667          43.3333
BKW03       HORIZONTALLY  HEIGHT       True            0.000243282              83.0667       83.0667   16.9333            30              25                5           83.3333          16.6667
BKW03       HORIZONTALLY  HEIGHT       False           0.000171709              20.2          20.2      79.8               30              17               13           56.6667          43.3333
