Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW02       MAX_AREA     AREA         True                       71.9333   0.000417852  0.000355005           0.000104333       71.9333   28.0667          20              17                3                85                 15
BKW02       MAX_AREA     AREA         False                      43.8667   0.000322151  0.000321865           9.91821e-06       43.8667   56.1333          20              15                5                75                 25
BKW02       MAX_AREA     PERIMETER    True                       71.9333   0.00037384   0.000358343           3.95924e-05       71.9333   28.0667          20              17                3                85                 15
BKW02       MAX_AREA     PERIMETER    False                      60.2      0.000353718  0.000346899           1.46107e-05       60.2      39.8             20              17                3                85                 15
BKW02       MAX_AREA     HEIGHT       True                       68.2      0.000350428  0.00034523            1.42704e-05       68.2      31.8             20              16                4                80                 20
BKW02       MAX_AREA     HEIGHT       False                      49.3333   0.000337648  0.00033164            1.05266e-05       49.3333   50.6667          20              15                5                75                 25
BKW02       MAX_AREA     WIDTH        True                       79.4667   0.000356483  0.000349522           1.75132e-05       79.4667   20.5333          20              18                2                90                 10
BKW02       MAX_AREA     WIDTH        False                      55.2667   0.000311279  0.000306368           1.32879e-05       55.2667   44.7333          20              15                5                75                 25
BKW02       MAX_AREA     ID           True                       54.1333   0.000328588  0.00032568            9.44739e-06       54.1333   45.8667          20              16                4                80                 20
BKW02       MAX_AREA     ID           False                      76.8      0.000387478  0.000383854           1.89823e-05       76.8      23.2             20              17                3                85                 15
