Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time      Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW02       NONE         AREA         True                       85.8667    0.00555429  0.00556469           7.29238e-05       85.8667  14.1333           20              14                6                70                 30
BKW02       NONE         AREA         False                      43.5333    0.0119086   0.0118027            0.000177015       43.5333  56.4667           20              15                5                75                 25
BKW02       NONE         PERIMETER    True                       89.8667    0.00630503  0.00626159           8.80356e-05       89.8667  10.1333           20              16                4                80                 20
BKW02       NONE         PERIMETER    False                      49.9333    0.0107538   0.0107441            5.69052e-05       49.9333  50.0667           20              16                4                80                 20
BKW02       NONE         HEIGHT       True                       82         0.00732751  0.00731683           4.43831e-05       82       18                20              17                3                85                 15
BKW02       NONE         HEIGHT       False                      59.1333    0.0150655   0.0151417            0.00167501        59.1333  40.8667           20              17                3                85                 15
BKW02       NONE         WIDTH        True                       96.5333    0.0157199   0.0150168            0.0016621         96.5333   3.46667          20              18                2                90                 10
BKW02       NONE         WIDTH        False                      65.5333    0.0182476   0.0171933            0.00177275        65.5333  34.4667           20              16                4                80                 20
BKW02       NONE         ID           True                       64.3333    0.0130246   0.0120792            0.00199152        64.3333  35.6667           20              17                3                85                 15
BKW02       NONE         ID           False                      76.8       0.00792232  0.00792456           0.000113198       76.8     23.2              20              17                3                85                 15
