Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW03       VERTICALLY    AREA         False              1.91399               52        52        48               30              24                6           80                20
BKW03       VERTICALLY    PERIMETER    False              1.85992               52        52        48               30              24                6           80                20
BKW03       VERTICALLY    HEIGHT       False              1.98517               55.3333   55.3333   44.6667          30              25                5           83.3333           16.6667
BKW03       VERTICALLY    WIDTH        False              1.82585               52        52        48               30              24                6           80                20
BKW03       VERTICALLY    NONE         False              2.07732               66.4      66.4      33.6             30              25                5           83.3333           16.6667
BKW03       HORIZONTALLY  AREA         False              1.35099               20.2      20.2      79.8             30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  PERIMETER    False              1.36209               20.2      20.2      79.8             30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  HEIGHT       False              1.31167               20.2      20.2      79.8             30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  WIDTH        False              1.93083               39.6667   39.6667   60.3333          30              23                7           76.6667           23.3333
BKW03       HORIZONTALLY  NONE         False              1.63374               33.8667   33.8667   66.1333          30              20               10           66.6667           33.3333
BKW03       MAX_AREA      AREA         False              1.76556               35.0667   35.0667   64.9333          30              22                8           73.3333           26.6667
BKW03       MAX_AREA      PERIMETER    False              1.82044               38.1333   38.1333   61.8667          30              22                8           73.3333           26.6667
BKW03       MAX_AREA      HEIGHT       False              1.85761               38.1333   38.1333   61.8667          30              22                8           73.3333           26.6667
BKW03       MAX_AREA      WIDTH        False              1.99751               55.3333   55.3333   44.6667          30              25                5           83.3333           16.6667
BKW03       MAX_AREA      NONE         False              2.29173               62.9333   62.9333   37.0667          30              27                3           90                10
BKW03       NONE          AREA         False              1.75508               58.3333   58.3333   41.6667          30              26                4           86.6667           13.3333
BKW03       NONE          PERIMETER    False              1.75506               55.7333   55.7333   44.2667          30              26                4           86.6667           13.3333
BKW03       NONE          HEIGHT       False              1.60671               51.4667   51.4667   48.5333          30              24                6           80                20
BKW03       NONE          WIDTH        False              1.98281               80        80        20               30              28                2           93.3333            6.66667
BKW03       NONE          NONE         False              1.96355               80        80        20               30              28                2           93.3333            6.66667
