Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time     Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW03       NONE         AREA         True                       93.8        0.0295979  0.0296934           0.000286966       93.8      6.2              30              27                3           90                10
BKW03       NONE         AREA         False                      58.3333     0.0512242  0.0512464           0.000386675       58.3333  41.6667           30              26                4           86.6667           13.3333
BKW03       NONE         PERIMETER    True                       92.6667     0.030483   0.0302041           0.000702706       92.6667   7.33333          30              28                2           93.3333            6.66667
BKW03       NONE         PERIMETER    False                      55.7333     0.0457568  0.0456827           0.00026501        55.7333  44.2667           30              26                4           86.6667           13.3333
BKW03       NONE         HEIGHT       True                       89.7333     0.0259913  0.0258443           0.000273539       89.7333  10.2667           30              25                5           83.3333           16.6667
BKW03       NONE         HEIGHT       False                      51.4667     0.0534011  0.0530753           0.000641138       51.4667  48.5333           30              24                6           80                20
BKW03       NONE         WIDTH        True                       93.8        0.0514221  0.0513835           0.000267273       93.8      6.2              30              26                4           86.6667           13.3333
BKW03       NONE         WIDTH        False                      71.6        0.0559319  0.0554285           0.000931099       71.6     28.4              30              28                2           93.3333            6.66667
BKW03       NONE         ID           True                       78.9333     0.0521503  0.0521169           0.000202722       78.9333  21.0667           30              28                2           93.3333            6.66667
BKW03       NONE         ID           False                      80          0.0343661  0.0330083           0.00184261        80       20                30              28                2           93.3333            6.66667
