Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW04       VERTICALLY    AREA         False          0.000254822               46.2812       46.2812   53.7188          40              37                3              92.5                7.5
BKW04       VERTICALLY    PERIMETER    False          0.000248528               44.4688       44.4688   55.5312          40              36                4              90                 10
BKW04       VERTICALLY    HEIGHT       False          0.000296068               48.2812       48.2812   51.7188          40              38                2              95                  5
BKW04       VERTICALLY    WIDTH        False          0.000241375               42.2812       42.2812   57.7188          40              35                5              87.5               12.5
BKW04       VERTICALLY    ID           False          0.000285864               81.5938       81.5938   18.4062          40              34                6              85                 15
BKW04       HORIZONTALLY  AREA         False          0.000293684               18.6875       18.6875   81.3125          40              28               12              70                 30
BKW04       HORIZONTALLY  PERIMETER    False          0.000285387               17.5625       17.5625   82.4375          40              26               14              65                 35
BKW04       HORIZONTALLY  HEIGHT       False          0.000281572               17.5625       17.5625   82.4375          40              26               14              65                 35
BKW04       HORIZONTALLY  WIDTH        False          0.000286961               18.6875       18.6875   81.3125          40              28               12              70                 30
BKW04       HORIZONTALLY  ID           False          0.000314045               62.7656       62.7656   37.2344          40              34                6              85                 15
BKW04       MAX_AREA      AREA         False          0.000592899               38.5938       38.5938   61.4062          40              36                4              90                 10
BKW04       MAX_AREA      PERIMETER    False          0.000597191               38.5938       38.5938   61.4062          40              36                4              90                 10
BKW04       MAX_AREA      HEIGHT       False          0.000575876               49.3125       49.3125   50.6875          40              36                4              90                 10
BKW04       MAX_AREA      WIDTH        False          0.000598764               48.2812       48.2812   51.7188          40              38                2              95                  5
BKW04       MAX_AREA      ID           False          0.000744915               85.5312       85.5312   14.4688          40              37                3              92.5                7.5
BKW04       NONE          AREA         False          0.104399                  44.6719       44.6719   55.3281          40              35                5              87.5               12.5
BKW04       NONE          PERIMETER    False          0.116194                  48.2812       48.2812   51.7188          40              38                2              95                  5
BKW04       NONE          HEIGHT       False          0.0874877                 58.1562       58.1562   41.8438          40              38                2              95                  5
BKW04       NONE          WIDTH        False          0.141047                  63.7812       63.7812   36.2188          40              39                1              97.5                2.5
BKW04       NONE          ID           False          0.0693702                 88.7656       88.7656   11.2344          40              37                3              92.5                7.5
