Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW05       VERTICALLY    AREA         True           0.000347614                 64.92         64.92     35.08          50              39               11                78                 22
BKW05       VERTICALLY    PERIMETER    True           0.000330973                 74.01         74.01     25.99          50              41                9                82                 18
BKW05       VERTICALLY    HEIGHT       True           0.000351048                 55.1          55.1      44.9           50              32               18                64                 36
BKW05       VERTICALLY    WIDTH        True           0.000352097                 87.05         87.05     12.95          50              41                9                82                 18
BKW05       VERTICALLY    ID           True           0.000293875                 27.35         27.35     72.65          50              32               18                64                 36
BKW05       HORIZONTALLY  AREA         True           0.000340223                 90.47         90.47      9.53          50              35               15                70                 30
BKW05       HORIZONTALLY  PERIMETER    True           0.000387859                 90.88         90.88      9.12          50              40               10                80                 20
BKW05       HORIZONTALLY  HEIGHT       True           0.000452232                 77.42         77.42     22.58          50              42                8                84                 16
BKW05       HORIZONTALLY  WIDTH        True           0.000381041                 83.96         83.96     16.04          50              39               11                78                 22
BKW05       HORIZONTALLY  ID           True           0.000350094                 55.29         55.29     44.71          50              37               13                74                 26
BKW05       MAX_AREA      AREA         True           0.00101829                  92.14         92.14      7.86          50              42                8                84                 16
BKW05       MAX_AREA      PERIMETER    True           0.000855446                 93.2          93.2       6.8           50              45                5                90                 10
BKW05       MAX_AREA      HEIGHT       True           0.000919724                 80.48         80.48     19.52          50              45                5                90                 10
BKW05       MAX_AREA      WIDTH        True           0.000802565                 89.7          89.7      10.3           50              42                8                84                 16
BKW05       MAX_AREA      ID           True           0.000801563                 62.75         62.75     37.25          50              46                4                92                  8
BKW05       NONE          AREA         True           0.150616                    92.05         92.05      7.95          50              38               12                76                 24
BKW05       NONE          PERIMETER    True           0.149051                    93.13         93.13      6.87          50              36               14                72                 28
BKW05       NONE          HEIGHT       True           0.155357                    80.48         80.48     19.52          50              45                5                90                 10
BKW05       NONE          WIDTH        True           0.172683                    93.56         93.56      6.44          50              38               12                76                 24
BKW05       NONE          ID           True           0.196295                    67.88         67.88     32.12          50              47                3                94                  6
