Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW06       VERTICALLY    AREA         True                         70.02   0.000650406  0.000653982           8.97924e-06         70.02     29.98          60              48               12           80                20
BKW06       VERTICALLY    AREA         False                        33.86   0.0004498    0.000447035           1.21931e-05         33.86     66.14          60              51                9           85                15
BKW06       VERTICALLY    PERIMETER    True                         70.58   0.00070281   0.000708342           1.63753e-05         70.58     29.42          60              54                6           90                10
BKW06       VERTICALLY    PERIMETER    False                        33.86   0.000442982  0.000436068           1.23767e-05         33.86     66.14          60              51                9           85                15
BKW06       VERTICALLY    HEIGHT       True                         69.38   0.000612926  0.000606298           1.54736e-05         69.38     30.62          60              52                8           86.6667           13.3333
BKW06       VERTICALLY    HEIGHT       False                        33.86   0.000483036  0.000478745           1.11043e-05         33.86     66.14          60              51                9           85                15
BKW06       VERTICALLY    WIDTH        True                         86.9    0.00051322   0.000468731           7.47804e-05         86.9      13.1           60              34               26           56.6667           43.3333
BKW06       VERTICALLY    WIDTH        False                        32.42   0.000423574  0.000426531           1.55251e-05         32.42     67.58          60              50               10           83.3333           16.6667
BKW06       VERTICALLY    ID           True                         45.26   0.00053544   0.000533581           9.03905e-06         45.26     54.74          60              53                7           88.3333           11.6667
BKW06       VERTICALLY    ID           False                        56.18   0.000540924  0.000535011           1.3669e-05          56.18     43.82          60              53                7           88.3333           11.6667
BKW06       HORIZONTALLY  AREA         True                         95.74   0.000592041  0.00058794            1.18025e-05         95.74      4.26          60              49               11           81.6667           18.3333
BKW06       HORIZONTALLY  AREA         False                        13.24   0.000617027  0.000611067           1.15941e-05         13.24     86.76          60              37               23           61.6667           38.3333
BKW06       HORIZONTALLY  PERIMETER    True                         96.06   0.000646353  0.000641108           1.28843e-05         96.06      3.94          60              53                7           88.3333           11.6667
BKW06       HORIZONTALLY  PERIMETER    False                        13.24   0.000627041  0.000621319           9.35987e-06         13.24     86.76          60              37               23           61.6667           38.3333
BKW06       HORIZONTALLY  HEIGHT       True                         81.6    0.000984097  0.000980377           1.22581e-05         81.6      18.4           60              56                4           93.3333            6.66667
BKW06       HORIZONTALLY  HEIGHT       False                        22.88   0.000653267  0.000647545           1.63584e-05         22.88     77.12          60              39               21           65                35
BKW06       HORIZONTALLY  WIDTH        True                         88.02   0.00074892   0.00074625            1.02796e-05         88.02     11.98          60              52                8           86.6667           13.3333
BKW06       HORIZONTALLY  WIDTH        False                        22.46   0.000773478  0.000769854           1.18169e-05         22.46     77.54          60              46               14           76.6667           23.3333
BKW06       HORIZONTALLY  ID           True                         45.14   0.000752449  0.000744581           1.76249e-05         45.14     54.86          60              50               10           83.3333           16.6667
BKW06       HORIZONTALLY  ID           False                        48.32   0.000733852  0.000726223           1.64574e-05         48.32     51.68          60              49               11           81.6667           18.3333
BKW06       MAX_AREA      AREA         True                         95.92   0.0012887    0.00121379            0.000132984         95.92      4.08          60              51                9           85                15
BKW06       MAX_AREA      AREA         False                        35.78   0.00118899   0.00117373            3.09055e-05         35.78     64.22          60              52                8           86.6667           13.3333
BKW06       MAX_AREA      PERIMETER    True                         95.34   0.00121427   0.00121617            1.98407e-05         95.34      4.66          60              51                9           85                15
BKW06       MAX_AREA      PERIMETER    False                        35.78   0.00126514   0.0012455             5.55466e-05         35.78     64.22          60              52                8           86.6667           13.3333
BKW06       MAX_AREA      HEIGHT       True                         72.5    0.0014461    0.00143838            2.88755e-05         72.5      27.5           60              55                5           91.6667            8.33333
BKW06       MAX_AREA      HEIGHT       False                        28.52   0.00129929   0.00129318            2.04866e-05         28.52     71.48          60              48               12           80                20
BKW06       MAX_AREA      WIDTH        True                         92.76   0.00141101   0.00141335            2.57383e-05         92.76      7.24          60              55                5           91.6667            8.33333
BKW06       MAX_AREA      WIDTH        False                        42.5    0.00121622   0.0012064             2.0279e-05          42.5      57.5           60              53                7           88.3333           11.6667
BKW06       MAX_AREA      ID           True                         77.4    0.00141392   0.00139999            8.56042e-05         77.4      22.6           60              57                3           95                 5
BKW06       MAX_AREA      ID           False                        72.5    0.00142927   0.00142193            3.05918e-05         72.5      27.5           60              55                5           91.6667            8.33333
BKW06       NONE          AREA         True                         96.94   0.161368     0.160609              0.00130393          96.94      3.06          60              47               13           78.3333           21.6667
BKW06       NONE          AREA         False                        56.9    0.386329     0.383765              0.00540965          56.9      43.1           60              54                6           90                10
BKW06       NONE          PERIMETER    True                         97.38   0.181329     0.181142              0.00107156          97.38      2.62          60              49               11           81.6667           18.3333
BKW06       NONE          PERIMETER    False                        60      0.400375     0.399458              0.00251136          60        40             60              55                5           91.6667            8.33333
BKW06       NONE          HEIGHT       True                         72.5    0.168962     0.168763              0.0011633           72.5      27.5           60              55                5           91.6667            8.33333
BKW06       NONE          HEIGHT       False                        57.88   0.367675     0.366079              0.00461631          57.88     42.12          60              55                5           91.6667            8.33333
BKW06       NONE          WIDTH        True                         98.14   0.360116     0.359759              0.00200021          98.14      1.86          60              57                3           95                 5
BKW06       NONE          WIDTH        False                        42.5    0.410012     0.409719              0.000661396         42.5      57.5           60              53                7           88.3333           11.6667
BKW06       NONE          ID           True                         63      0.294715     0.293851              0.0018042           63        37             60              56                4           93.3333            6.66667
BKW06       NONE          ID           False                        72.5    0.244765     0.244015              0.00495065          72.5      27.5           60              55                5           91.6667            8.33333
