Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW06       VERTICALLY    AREA         True                         70.02   0.000650406  0.000653982           8.97924e-06         70.02     29.98          60              48               12           80                20
BKW06       VERTICALLY    PERIMETER    True                         70.58   0.00070281   0.000708342           1.63753e-05         70.58     29.42          60              54                6           90                10
BKW06       VERTICALLY    HEIGHT       True                         69.38   0.000612926  0.000606298           1.54736e-05         69.38     30.62          60              52                8           86.6667           13.3333
BKW06       VERTICALLY    WIDTH        True                         86.9    0.00051322   0.000468731           7.47804e-05         86.9      13.1           60              34               26           56.6667           43.3333
BKW06       VERTICALLY    ID           True                         45.26   0.00053544   0.000533581           9.03905e-06         45.26     54.74          60              53                7           88.3333           11.6667
BKW06       HORIZONTALLY  AREA         True                         95.74   0.000592041  0.00058794            1.18025e-05         95.74      4.26          60              49               11           81.6667           18.3333
BKW06       HORIZONTALLY  PERIMETER    True                         96.06   0.000646353  0.000641108           1.28843e-05         96.06      3.94          60              53                7           88.3333           11.6667
BKW06       HORIZONTALLY  HEIGHT       True                         81.6    0.000984097  0.000980377           1.22581e-05         81.6      18.4           60              56                4           93.3333            6.66667
BKW06       HORIZONTALLY  WIDTH        True                         88.02   0.00074892   0.00074625            1.02796e-05         88.02     11.98          60              52                8           86.6667           13.3333
BKW06       HORIZONTALLY  ID           True                         45.14   0.000752449  0.000744581           1.76249e-05         45.14     54.86          60              50               10           83.3333           16.6667
BKW06       MAX_AREA      AREA         True                         95.92   0.0012887    0.00121379            0.000132984         95.92      4.08          60              51                9           85                15
BKW06       MAX_AREA      PERIMETER    True                         95.34   0.00121427   0.00121617            1.98407e-05         95.34      4.66          60              51                9           85                15
BKW06       MAX_AREA      HEIGHT       True                         72.5    0.0014461    0.00143838            2.88755e-05         72.5      27.5           60              55                5           91.6667            8.33333
BKW06       MAX_AREA      WIDTH        True                         92.76   0.00141101   0.00141335            2.57383e-05         92.76      7.24          60              55                5           91.6667            8.33333
BKW06       MAX_AREA      ID           True                         77.4    0.00141392   0.00139999            8.56042e-05         77.4      22.6           60              57                3           95                 5
BKW06       NONE          AREA         True                         96.94   0.161368     0.160609              0.00130393          96.94      3.06          60              47               13           78.3333           21.6667
BKW06       NONE          PERIMETER    True                         97.38   0.181329     0.181142              0.00107156          97.38      2.62          60              49               11           81.6667           18.3333
BKW06       NONE          HEIGHT       True                         72.5    0.168962     0.168763              0.0011633           72.5      27.5           60              55                5           91.6667            8.33333
BKW06       NONE          WIDTH        True                         98.14   0.360116     0.359759              0.00200021          98.14      1.86          60              57                3           95                 5
BKW06       NONE          ID           True                         63      0.294715     0.293851              0.0018042           63        37             60              56                4           93.3333            6.66667
