Instance    SplitMode    OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW07       NONE         AREA         True              0.266111               90.2375       90.2375    9.7625          70              67                3           95.7143            4.28571
BKW07       NONE         AREA         False             0.573018               50.2875       50.2875   49.7125          70              65                5           92.8571            7.14286
BKW07       NONE         PERIMETER    True              0.155438               91.5875       91.5875    8.4125          70              65                5           92.8571            7.14286
BKW07       NONE         PERIMETER    False             0.54246                60.7125       60.7125   39.2875          70              65                5           92.8571            7.14286
BKW07       NONE         HEIGHT       True              0.159168               82.35         82.35     17.65            70              67                3           95.7143            4.28571
BKW07       NONE         HEIGHT       False             0.429455               56.6875       56.6875   43.3125          70              62                8           88.5714           11.4286
BKW07       NONE         WIDTH        True              0.180004               94.5          94.5       5.5             70              67                3           95.7143            4.28571
BKW07       NONE         WIDTH        False             0.696691               64.3          64.3      35.7             70              66                4           94.2857            5.71429
BKW07       NONE         ID           True              0.304777               79.4375       79.4375   20.5625          70              66                4           94.2857            5.71429
BKW07       NONE         ID           False             0.288154               75.8125       75.8125   24.1875          70              68                2           97.1429            2.85714
