Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW10       VERTICALLY    AREA         False                     22.5714     0.00137687   0.00136852           6.69579e-05      22.5714    77.4286         200             168               32              84                 16
BKW10       VERTICALLY    PERIMETER    False                     21.981      0.00142279   0.00143123           0.00012725       21.981     78.019          200             166               34              83                 17
BKW10       VERTICALLY    HEIGHT       False                     24.3048     0.001685     0.00168204           3.1704e-05       24.3048    75.6952         200             172               28              86                 14
BKW10       VERTICALLY    WIDTH        False                     21.981      0.00125227   0.0011847            8.97622e-05      21.981     78.019          200             166               34              83                 17
BKW10       VERTICALLY    ID           False                     41.6286     0.0016489    0.00162554           5.86428e-05      41.6286    58.3714         200             171               29              85.5               14.5
BKW10       HORIZONTALLY  AREA         False                     16.3714     0.00431018   0.00428796           0.000167984      16.3714    83.6286         200             152               48              76                 24
BKW10       HORIZONTALLY  PERIMETER    False                     16.3714     0.00429773   0.00420356           0.000186793      16.3714    83.6286         200             152               48              76                 24
BKW10       HORIZONTALLY  HEIGHT       False                      9.88571    0.00308723   0.00299668           0.000154363       9.88571   90.1143         200             103               97              51.5               48.5
BKW10       HORIZONTALLY  WIDTH        False                     28.981      0.00358438   0.0035634            9.13415e-05      28.981     71.019          200             179               21              89.5               10.5
BKW10       HORIZONTALLY  ID           False                     75.4952     0.0031981    0.00315499           8.42368e-05      75.4952    24.5048         200             190               10              95                  5
BKW10       MAX_AREA      AREA         False                     31.3143     0.00551944   0.00544953           0.000201283      31.3143    68.6857         200             188               12              94                  6
BKW10       MAX_AREA      PERIMETER    False                     31.5619     0.00573902   0.00585747           0.000195017      31.5619    68.4381         200             188               12              94                  6
BKW10       MAX_AREA      HEIGHT       False                     30.581      0.00530767   0.0052464            0.000272939      30.581     69.419          200             181               19              90.5                9.5
BKW10       MAX_AREA      WIDTH        False                     54.6        0.0045886    0.00451994           0.00018409       54.6       45.4            200             194                6              97                  3
BKW10       MAX_AREA      ID           False                     83.0667     0.00608282   0.00592065           0.000393349      83.0667    16.9333         200             192                8              96                  4
BKW10       NONE          AREA         False                     45.6381    17.8907      17.9149               0.0817818        45.6381    54.3619         200             195                5              97.5                2.5
BKW10       NONE          PERIMETER    False                     50.3619    18.6467      18.639                0.0702468        50.3619    49.6381         200             196                4              98                  2
BKW10       NONE          HEIGHT       False                     48.5905    12.5673      12.4923               0.111278         48.5905    51.4095         200             195                5              97.5                2.5
BKW10       NONE          WIDTH        False                     55.8       21.3953      21.334                0.134579         55.8       44.2            200             195                5              97.5                2.5
BKW10       NONE          ID           False                     76.2476    13.4088      13.4043               0.0873983        76.2476    23.7524         200             197                3              98.5                1.5
