Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %     Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW10       VERTICALLY    AREA         True            0.00162411               61.8381       61.8381  38.1619           200             177               23              88.5               11.5
BKW10       VERTICALLY    PERIMETER    True            0.001577                 62.5714       62.5714  37.4286           200             180               20              90                 10
BKW10       VERTICALLY    HEIGHT       True            0.00158215               50.9905       50.9905  49.0095           200             170               30              85                 15
BKW10       VERTICALLY    WIDTH        True            0.00160694               84.0667       84.0667  15.9333           200             187               13              93.5                6.5
BKW10       VERTICALLY    ID           True            0.0011745                37.2762       37.2762  62.7238           200             175               25              87.5               12.5
BKW10       HORIZONTALLY  AREA         True            0.00308776               95.3714       95.3714   4.62857          200             198                2              99                  1
BKW10       HORIZONTALLY  PERIMETER    True            0.00265188               95.5048       95.5048   4.49524          200             191                9              95.5                4.5
BKW10       HORIZONTALLY  HEIGHT       True            0.00249481               77.0952       77.0952  22.9048           200             187               13              93.5                6.5
BKW10       HORIZONTALLY  WIDTH        True            0.00188322               87.8571       87.8571  12.1429           200             190               10              95                  5
BKW10       HORIZONTALLY  ID           True            0.0023602                40.4095       40.4095  59.5905           200             187               13              93.5                6.5
BKW10       MAX_AREA      AREA         True            0.00512986               91.3429       91.3429   8.65714          200             195                5              97.5                2.5
BKW10       MAX_AREA      PERIMETER    True            0.0052063                95.9429       95.9429   4.05714          200             198                2              99                  1
BKW10       MAX_AREA      HEIGHT       True            0.00490708               72.2952       72.2952  27.7048           200             195                5              97.5                2.5
BKW10       MAX_AREA      WIDTH        True            0.00404963               94.0381       94.0381   5.9619           200             197                3              98.5                1.5
BKW10       MAX_AREA      ID           True            0.00365686               58.6286       58.6286  41.3714           200             197                3              98.5                1.5
BKW10       NONE          AREA         True            7.83921                  96.1238       96.1238   3.87619          200             196                4              98                  2
BKW10       NONE          PERIMETER    True            8.2701                   98.9905       98.9905   1.00952          200             175               25              87.5               12.5
BKW10       NONE          HEIGHT       True            7.97097                  78.8286       78.8286  21.1714           200             191                9              95.5                4.5
BKW10       NONE          WIDTH        True           11.2712                   99.4857       99.4857   0.514286         200             188               12              94                  6
BKW10       NONE          ID           True           12.5739                   58.6286       58.6286  41.3714           200             197                3              98.5                1.5
