Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time      Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW10       HORIZONTALLY  AREA         True                      95.3714     0.00409236  0.00394177           0.000288645      95.3714    4.62857         200             198                2              99                  1
BKW10       HORIZONTALLY  AREA         False                     16.3714     0.00431018  0.00428796           0.000167984      16.3714   83.6286          200             152               48              76                 24
BKW10       HORIZONTALLY  PERIMETER    True                      95.5048     0.00353732  0.00352383           0.000104106      95.5048    4.49524         200             191                9              95.5                4.5
BKW10       HORIZONTALLY  PERIMETER    False                     16.3714     0.00429773  0.00420356           0.000186793      16.3714   83.6286          200             152               48              76                 24
BKW10       HORIZONTALLY  HEIGHT       True                      77.0952     0.00342865  0.00334215           0.000150951      77.0952   22.9048          200             187               13              93.5                6.5
BKW10       HORIZONTALLY  HEIGHT       False                      9.88571    0.00308723  0.00299668           0.000154363       9.88571  90.1143          200             103               97              51.5               48.5
BKW10       HORIZONTALLY  WIDTH        True                      87.8571     0.0026926   0.00257707           0.000202061      87.8571   12.1429          200             190               10              95                  5
BKW10       HORIZONTALLY  WIDTH        False                     28.981      0.00358438  0.0035634            9.13415e-05      28.981    71.019           200             179               21              89.5               10.5
BKW10       HORIZONTALLY  ID           True                      40.4095     0.00300126  0.00297976           4.77591e-05      40.4095   59.5905          200             187               13              93.5                6.5
BKW10       HORIZONTALLY  ID           False                     75.4952     0.0031981   0.00315499           8.42368e-05      75.4952   24.5048          200             190               10              95                  5
