Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW11       VERTICALLY    AREA         True            0.00272079               65.7238       65.7238  34.2762          300             259               41           86.3333          13.6667
BKW11       VERTICALLY    AREA         False           0.00281291               37.9238       37.9238  62.0762          300             257               43           85.6667          14.3333
BKW11       VERTICALLY    PERIMETER    True            0.00273767               73.9429       73.9429  26.0571          300             261               39           87               13
BKW11       VERTICALLY    PERIMETER    False           0.00176644               37.9238       37.9238  62.0762          300             257               43           85.6667          14.3333
BKW11       VERTICALLY    HEIGHT       True            0.00239911               56.7238       56.7238  43.2762          300             260               40           86.6667          13.3333
BKW11       VERTICALLY    HEIGHT       False           0.0018898                35.7524       35.7524  64.2476          300             258               42           86               14
BKW11       VERTICALLY    WIDTH        True            0.00239744               88.9714       88.9714  11.0286          300             194              106           64.6667          35.3333
BKW11       VERTICALLY    WIDTH        False           0.00151219               37.9238       37.9238  62.0762          300             257               43           85.6667          14.3333
BKW11       VERTICALLY    ID           True            0.00183802               46.3905       46.3905  53.6095          300             265               35           88.3333          11.6667
BKW11       VERTICALLY    ID           False           0.00204906               39.2          39.2     60.8             300             253               47           84.3333          15.6667
BKW11       HORIZONTALLY  AREA         True            0.00536427               93.7905       93.7905   6.20952         300             257               43           85.6667          14.3333
BKW11       HORIZONTALLY  AREA         False           0.00476828               21.781        21.781   78.219           300             205               95           68.3333          31.6667
BKW11       HORIZONTALLY  PERIMETER    True            0.00366173               94.8857       94.8857   5.11429         300             256               44           85.3333          14.6667
BKW11       HORIZONTALLY  PERIMETER    False           0.00496788               21.781        21.781   78.219           300             205               95           68.3333          31.6667
BKW11       HORIZONTALLY  HEIGHT       True            0.00516305               82.181        82.181   17.819           300             285               15           95                5
BKW11       HORIZONTALLY  HEIGHT       False           0.00376406               10.781        10.781   89.219           300             106              194           35.3333          64.6667
BKW11       HORIZONTALLY  WIDTH        True            0.00427923               80.4286       80.4286  19.5714          300             253               47           84.3333          15.6667
BKW11       HORIZONTALLY  WIDTH        False           0.00558686               27.2667       27.2667  72.7333          300             236               64           78.6667          21.3333
BKW11       HORIZONTALLY  ID           True            0.00503669               52.4571       52.4571  47.5429          300             268               32           89.3333          10.6667
BKW11       HORIZONTALLY  ID           False           0.00489888               54.4952       54.4952  45.5048          300             267               33           89               11
BKW11       MAX_AREA      AREA         True            0.00796123               96.7143       96.7143   3.28571         300             283               17           94.3333           5.66667
BKW11       MAX_AREA      AREA         False           0.00762897               41.2667       41.2667  58.7333          300             271               29           90.3333           9.66667
BKW11       MAX_AREA      PERIMETER    True            0.00696712               97.7714       97.7714   2.22857         300             250               50           83.3333          16.6667
BKW11       MAX_AREA      PERIMETER    False           0.00771723               41.8286       41.8286  58.1714          300             270               30           90               10
BKW11       MAX_AREA      HEIGHT       True            0.00968194               82.2571       82.2571  17.7429          300             286               14           95.3333           4.66667
BKW11       MAX_AREA      HEIGHT       False           0.00819068               27.8762       27.8762  72.1238          300             226               74           75.3333          24.6667
BKW11       MAX_AREA      WIDTH        True            0.00788412               89.9905       89.9905  10.0095          300             286               14           95.3333           4.66667
BKW11       MAX_AREA      WIDTH        False           0.00523152               61.1238       61.1238  38.8762          300             284               16           94.6667           5.33333
BKW11       MAX_AREA      ID           True            0.00838408               80.5143       80.5143  19.4857          300             293                7           97.6667           2.33333
BKW11       MAX_AREA      ID           False           0.00733356               80.2762       80.2762  19.7238          300             292                8           97.3333           2.66667
BKW11       NONE          AREA         True           37.9488                   98.2          98.2      1.8             300             299                1           99.6667           0.333333
BKW11       NONE          AREA         False          66.2438                   74.9143       74.9143  25.0857          300             293                7           97.6667           2.33333
BKW11       NONE          PERIMETER    True           45.6707                  100           100        0               300             300                0          100                0
BKW11       NONE          PERIMETER    False          66.1513                   79.4667       79.4667  20.5333          300             294                6           98                2
BKW11       NONE          HEIGHT       True           36.1065                   83.6857       83.6857  16.3143          300             290               10           96.6667           3.33333
BKW11       NONE          HEIGHT       False          43.733                    61.7429       61.7429  38.2571          300             287               13           95.6667           4.33333
BKW11       NONE          WIDTH        True           57.7872                  100           100        0               300             300                0          100                0
BKW11       NONE          WIDTH        False          74.399                    75.6381       75.6381  24.3619          300             291                9           97                3
BKW11       NONE          ID           True           47.3145                   80.5143       80.5143  19.4857          300             293                7           97.6667           2.33333
BKW11       NONE          ID           False          35.6367                   87.1524       87.1524  12.8476          300             296                4           98.6667           1.33333
