Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW12       VERTICALLY    AREA         True                       80.6733    0.00854292    0.00853229           1.65192e-05       80.6733   19.3267         500             460               40              92                  8
BKW12       VERTICALLY    AREA         False                      51.1267    0.00457072    0.00455451           3.56268e-05       51.1267   48.8733         500             462               38              92.4                7.6
BKW12       VERTICALLY    PERIMETER    True                       81.0333    0.00881557    0.00879741           4.7771e-05        81.0333   18.9667         500             461               39              92.2                7.8
BKW12       VERTICALLY    PERIMETER    False                      56.2433    0.00451002    0.00447679           5.9368e-05        56.2433   43.7567         500             466               34              93.2                6.8
BKW12       VERTICALLY    HEIGHT       True                       74.5833    0.00960941    0.00956845           6.21497e-05       74.5833   25.4167         500             450               50              90                 10
BKW12       VERTICALLY    HEIGHT       False                      50.2133    0.00568471    0.00564098           7.79123e-05       50.2133   49.7867         500             465               35              93                  7
BKW12       VERTICALLY    WIDTH        True                       87.8       0.00586576    0.00587249           4.24967e-05       87.8      12.2            500             313              187              62.6               37.4
BKW12       VERTICALLY    WIDTH        False                      55.9967    0.00383987    0.00383234           4.79411e-05       55.9967   44.0033         500             457               43              91.4                8.6
BKW12       VERTICALLY    ID           True                       59.3267    0.00800271    0.00799656           3.93812e-05       59.3267   40.6733         500             458               42              91.6                8.4
BKW12       VERTICALLY    ID           False                      49.83      0.00669918    0.0066781            5.00115e-05       49.83     50.17           500             458               42              91.6                8.4
BKW12       HORIZONTALLY  AREA         True                       89.3767    0.0205091     0.0203676            0.000195287       89.3767   10.6233         500             445               55              89                 11
BKW12       HORIZONTALLY  AREA         False                       8.55      0.00928559    0.00926614           6.01444e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  PERIMETER    True                       91.2       0.0149393     0.0149243            0.000291902       91.2       8.8            500             390              110              78                 22
BKW12       HORIZONTALLY  PERIMETER    False                       8.55      0.00937166    0.00936365           3.65117e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  HEIGHT       True                       86.9067    0.0201834     0.0196266            0.000854535       86.9067   13.0933         500             462               38              92.4                7.6
BKW12       HORIZONTALLY  HEIGHT       False                       8.55      0.00937614    0.00937343           6.45511e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  WIDTH        True                       74.5833    0.0163762     0.0162556            0.000237114       74.5833   25.4167         500             463               37              92.6                7.4
BKW12       HORIZONTALLY  WIDTH        False                      26.6167    0.0142647     0.0142472            4.25978e-05       26.6167   73.3833         500             409               91              81.8               18.2
BKW12       HORIZONTALLY  ID           True                       45.3133    0.0258911     0.0159457            0.0200082         45.3133   54.6867         500             449               51              89.8               10.2
BKW12       HORIZONTALLY  ID           False                      34.7533    0.0157242     0.0157206            0.000123573       34.7533   65.2467         500             413               87              82.6               17.4
BKW12       MAX_AREA      AREA         True                       95.11      0.0205799     0.0205386            6.97126e-05       95.11      4.89           500             390              110              78                 22
BKW12       MAX_AREA      AREA         False                      28.7067    0.0293505     0.0209522            0.0171566         28.7067   71.2933         500             430               70              86                 14
BKW12       MAX_AREA      PERIMETER    True                       94.7       0.0183156     0.018302             0.000109938       94.7       5.3            500             342              158              68.4               31.6
BKW12       MAX_AREA      PERIMETER    False                      28.21      0.0216132     0.021425             0.000329919       28.21     71.79           500             427               73              85.4               14.6
BKW12       MAX_AREA      HEIGHT       True                       88.0967    0.036373      0.0282135            0.0165791         88.0967   11.9033         500             486               14              97.2                2.8
BKW12       MAX_AREA      HEIGHT       False                      24.49      0.0216557     0.0216272            6.53477e-05       24.49     75.51           500             394              106              78.8               21.2
BKW12       MAX_AREA      WIDTH        True                       89.6933    0.0270993     0.027144             0.000110289       89.6933   10.3067         500             496                4              99.2                0.8
BKW12       MAX_AREA      WIDTH        False                      67.24      0.0124371     0.011909             0.00136395        67.24     32.76           500             488               12              97.6                2.4
BKW12       MAX_AREA      ID           True                       84.9233    0.0285264     0.0286059            0.00014258        84.9233   15.0767         500             493                7              98.6                1.4
BKW12       MAX_AREA      ID           False                      75.5567    0.0288291     0.0288026            6.37557e-05       75.5567   24.4433         500             489               11              97.8                2.2
BKW12       NONE          AREA         True                       95.91    223.229       223.621                0.979097          95.91      4.09           500             383              117              76.6               23.4
BKW12       NONE          AREA         False                      66.8933  366.344       366.413                0.286294          66.8933   33.1067         500             489               11              97.8                2.2
BKW12       NONE          PERIMETER    True                       95.84    223.486       222.31                 1.75126           95.84      4.16           500             372              128              74.4               25.6
BKW12       NONE          PERIMETER    False                      68.8833  356.08        355.733                1.12638           68.8833   31.1167         500             490               10              98                  2
BKW12       NONE          HEIGHT       True                       90.05    230.05        229.889                0.420206          90.05      9.95           500             485               15              97                  3
BKW12       NONE          HEIGHT       False                      65.8767  302.29        304.626                5.96809           65.8767   34.1233         500             486               14              97.2                2.8
BKW12       NONE          WIDTH        True                       96.28    295.204       295.019                0.858855          96.28      3.72           500             461               39              92.2                7.8
BKW12       NONE          WIDTH        False                      73.9967  368.863       364.198                6.62375           73.9967   26.0033         500             490               10              98                  2
BKW12       NONE          ID           True                       88.5733  299.701       295.465                6.50975           88.5733   11.4267         500             493                7              98.6                1.4
BKW12       NONE          ID           False                      78.0967  318.79        319.034                1.11997           78.0967   21.9033         500             493                7              98.6                1.4
