Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW12       VERTICALLY    AREA         False                      51.1267    0.00457072    0.00455451           3.56268e-05       51.1267   48.8733         500             462               38              92.4                7.6
BKW12       VERTICALLY    PERIMETER    False                      56.2433    0.00451002    0.00447679           5.9368e-05        56.2433   43.7567         500             466               34              93.2                6.8
BKW12       VERTICALLY    HEIGHT       False                      50.2133    0.00568471    0.00564098           7.79123e-05       50.2133   49.7867         500             465               35              93                  7
BKW12       VERTICALLY    WIDTH        False                      55.9967    0.00383987    0.00383234           4.79411e-05       55.9967   44.0033         500             457               43              91.4                8.6
BKW12       VERTICALLY    ID           False                      49.83      0.00669918    0.0066781            5.00115e-05       49.83     50.17           500             458               42              91.6                8.4
BKW12       HORIZONTALLY  AREA         False                       8.55      0.00928559    0.00926614           6.01444e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  PERIMETER    False                       8.55      0.00937166    0.00936365           3.65117e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  HEIGHT       False                       8.55      0.00937614    0.00937343           6.45511e-05        8.55     91.45           500             183              317              36.6               63.4
BKW12       HORIZONTALLY  WIDTH        False                      26.6167    0.0142647     0.0142472            4.25978e-05       26.6167   73.3833         500             409               91              81.8               18.2
BKW12       HORIZONTALLY  ID           False                      34.7533    0.0157242     0.0157206            0.000123573       34.7533   65.2467         500             413               87              82.6               17.4
BKW12       MAX_AREA      AREA         False                      28.7067    0.0293505     0.0209522            0.0171566         28.7067   71.2933         500             430               70              86                 14
BKW12       MAX_AREA      PERIMETER    False                      28.21      0.0216132     0.021425             0.000329919       28.21     71.79           500             427               73              85.4               14.6
BKW12       MAX_AREA      HEIGHT       False                      24.49      0.0216557     0.0216272            6.53477e-05       24.49     75.51           500             394              106              78.8               21.2
BKW12       MAX_AREA      WIDTH        False                      67.24      0.0124371     0.011909             0.00136395        67.24     32.76           500             488               12              97.6                2.4
BKW12       MAX_AREA      ID           False                      75.5567    0.0288291     0.0288026            6.37557e-05       75.5567   24.4433         500             489               11              97.8                2.2
BKW12       NONE          AREA         False                      66.8933  366.344       366.413                0.286294          66.8933   33.1067         500             489               11              97.8                2.2
BKW12       NONE          PERIMETER    False                      68.8833  356.08        355.733                1.12638           68.8833   31.1167         500             490               10              98                  2
BKW12       NONE          HEIGHT       False                      65.8767  302.29        304.626                5.96809           65.8767   34.1233         500             486               14              97.2                2.8
BKW12       NONE          WIDTH        False                      73.9967  368.863       364.198                6.62375           73.9967   26.0033         500             490               10              98                  2
BKW12       NONE          ID           False                      78.0967  318.79        319.034                1.11997           78.0967   21.9033         500             493                7              98.6                1.4
