Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW12       VERTICALLY    AREA         True                       80.6733    0.00854292    0.00853229           1.65192e-05       80.6733   19.3267         500             460               40              92                  8
BKW12       VERTICALLY    PERIMETER    True                       81.0333    0.00881557    0.00879741           4.7771e-05        81.0333   18.9667         500             461               39              92.2                7.8
BKW12       VERTICALLY    HEIGHT       True                       74.5833    0.00960941    0.00956845           6.21497e-05       74.5833   25.4167         500             450               50              90                 10
BKW12       VERTICALLY    WIDTH        True                       87.8       0.00586576    0.00587249           4.24967e-05       87.8      12.2            500             313              187              62.6               37.4
BKW12       VERTICALLY    ID           True                       59.3267    0.00800271    0.00799656           3.93812e-05       59.3267   40.6733         500             458               42              91.6                8.4
BKW12       HORIZONTALLY  AREA         True                       89.3767    0.0205091     0.0203676            0.000195287       89.3767   10.6233         500             445               55              89                 11
BKW12       HORIZONTALLY  PERIMETER    True                       91.2       0.0149393     0.0149243            0.000291902       91.2       8.8            500             390              110              78                 22
BKW12       HORIZONTALLY  HEIGHT       True                       86.9067    0.0201834     0.0196266            0.000854535       86.9067   13.0933         500             462               38              92.4                7.6
BKW12       HORIZONTALLY  WIDTH        True                       74.5833    0.0163762     0.0162556            0.000237114       74.5833   25.4167         500             463               37              92.6                7.4
BKW12       HORIZONTALLY  ID           True                       45.3133    0.0258911     0.0159457            0.0200082         45.3133   54.6867         500             449               51              89.8               10.2
BKW12       MAX_AREA      AREA         True                       95.11      0.0205799     0.0205386            6.97126e-05       95.11      4.89           500             390              110              78                 22
BKW12       MAX_AREA      PERIMETER    True                       94.7       0.0183156     0.018302             0.000109938       94.7       5.3            500             342              158              68.4               31.6
BKW12       MAX_AREA      HEIGHT       True                       88.0967    0.036373      0.0282135            0.0165791         88.0967   11.9033         500             486               14              97.2                2.8
BKW12       MAX_AREA      WIDTH        True                       89.6933    0.0270993     0.027144             0.000110289       89.6933   10.3067         500             496                4              99.2                0.8
BKW12       MAX_AREA      ID           True                       84.9233    0.0285264     0.0286059            0.00014258        84.9233   15.0767         500             493                7              98.6                1.4
BKW12       NONE          AREA         True                       95.91    223.229       223.621                0.979097          95.91      4.09           500             383              117              76.6               23.4
BKW12       NONE          PERIMETER    True                       95.84    223.486       222.31                 1.75126           95.84      4.16           500             372              128              74.4               25.6
BKW12       NONE          HEIGHT       True                       90.05    230.05        229.889                0.420206          90.05      9.95           500             485               15              97                  3
BKW12       NONE          WIDTH        True                       96.28    295.204       295.019                0.858855          96.28      3.72           500             461               39              92.2                7.8
BKW12       NONE          ID           True                       88.5733  299.701       295.465                6.50975           88.5733   11.4267         500             493                7              98.6                1.4
