Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time     Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW12       MAX_AREA     AREA         True                       95.11       0.0205799  0.0205386           6.97126e-05       95.11      4.89           500             390              110              78                 22
BKW12       MAX_AREA     AREA         False                      28.7067     0.0293505  0.0209522           0.0171566         28.7067   71.2933         500             430               70              86                 14
BKW12       MAX_AREA     PERIMETER    True                       94.7        0.0183156  0.018302            0.000109938       94.7       5.3            500             342              158              68.4               31.6
BKW12       MAX_AREA     PERIMETER    False                      28.21       0.0216132  0.021425            0.000329919       28.21     71.79           500             427               73              85.4               14.6
BKW12       MAX_AREA     HEIGHT       True                       88.0967     0.036373   0.0282135           0.0165791         88.0967   11.9033         500             486               14              97.2                2.8
BKW12       MAX_AREA     HEIGHT       False                      24.49       0.0216557  0.0216272           6.53477e-05       24.49     75.51           500             394              106              78.8               21.2
BKW12       MAX_AREA     WIDTH        True                       89.6933     0.0270993  0.027144            0.000110289       89.6933   10.3067         500             496                4              99.2                0.8
BKW12       MAX_AREA     WIDTH        False                      67.24       0.0124371  0.011909            0.00136395        67.24     32.76           500             488               12              97.6                2.4
BKW12       MAX_AREA     ID           True                       84.9233     0.0285264  0.0286059           0.00014258        84.9233   15.0767         500             493                7              98.6                1.4
BKW12       MAX_AREA     ID           False                      75.5567     0.0288291  0.0288026           6.37557e-05       75.5567   24.4433         500             489               11              97.8                2.2
