Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time     Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW13       VERTICALLY    AREA         True                      94.9339      0.116755   0.103534            0.0261906        94.9339    5.06608        3152            2648              504           84.0102           15.9898
BKW13       VERTICALLY    AREA         False                     72.6849      0.0956778  0.0790932           0.0342792        72.6849   27.3151         3152            3040              112           96.4467            3.5533
BKW13       VERTICALLY    PERIMETER    True                      91.0596      0.0820553  0.0822482           0.000306834      91.0596    8.94043        3152            2340              812           74.2386           25.7614
BKW13       VERTICALLY    PERIMETER    False                     73.5465      0.0809931  0.0808082           0.000591181      73.5465   26.4535         3152            3030              122           96.1294            3.87056
BKW13       VERTICALLY    HEIGHT       True                      86.7168      0.0906435  0.0902832           0.000650632      86.7168   13.2832         3152            2741              411           86.9607           13.0393
BKW13       VERTICALLY    HEIGHT       False                     78.2632      0.0731152  0.0726967           0.000629843      78.2632   21.7368         3152            3057               95           96.986             3.01396
BKW13       VERTICALLY    WIDTH        True                      97.9108      0.0926637  0.0700307           0.0449296        97.9108    2.08919        3152            2860              292           90.736             9.26396
BKW13       VERTICALLY    WIDTH        False                     73.9661      0.0609208  0.037833            0.0463037        73.9661   26.0339         3152            2800              352           88.8325           11.1675
BKW13       VERTICALLY    ID           True                      61.0007      0.120608   0.0977159           0.0467115        61.0007   38.9993         3152            2646              506           83.9467           16.0533
BKW13       VERTICALLY    ID           False                     60.3755      0.0897346  0.0895169           0.000455733      60.3755   39.6245         3152            2591              561           82.2018           17.7982
BKW13       HORIZONTALLY  AREA         True                      51.3125      0.230229   0.228939            0.00217201       51.3125   48.6875         3152            1824             1328           57.868            42.132
BKW13       HORIZONTALLY  AREA         False                      4.21354     0.372174   0.373516            0.00219055        4.21354  95.7865         3152            1016             2136           32.2335           67.7665
BKW13       HORIZONTALLY  PERIMETER    True                      63.4264      0.183033   0.181967            0.00149158       63.4264   36.5736         3152            1994             1158           63.2614           36.7386
BKW13       HORIZONTALLY  PERIMETER    False                      4.26562     0.355907   0.35659             0.00218904        4.26562  95.7344         3152             944             2208           29.9492           70.0508
BKW13       HORIZONTALLY  HEIGHT       True                      85.3234      0.236992   0.217409            0.0398129        85.3234   14.6766         3152            2712              440           86.0406           13.9594
BKW13       HORIZONTALLY  HEIGHT       False                      1.2526      0.322697   0.322554            0.00280497        1.2526   98.7474         3152             592             2560           18.7817           81.2183
BKW13       HORIZONTALLY  WIDTH        True                      32.3698      0.310274   0.309565            0.000950182      32.3698   67.6302         3152            1712             1440           54.3147           45.6853
BKW13       HORIZONTALLY  WIDTH        False                     11.562       0.418725   0.418194            0.00323504       11.562    88.438          3152            1757             1395           55.7424           44.2576
BKW13       HORIZONTALLY  ID           True                      38.9907      0.250041   0.243007            0.0204846        38.9907   61.0093         3152            2432              720           77.1574           22.8426
BKW13       HORIZONTALLY  ID           False                     38.8179      0.240461   0.241035            0.00195488       38.8179   61.1821         3152            2419              733           76.7449           23.2551
BKW13       MAX_AREA      AREA         True                      92.3503      0.54441    0.543548            0.00196909       92.3503    7.64974        3152            2967              185           94.1307            5.86929
BKW13       MAX_AREA      AREA         False                     32.1917      0.717847   0.717957            0.00425814       32.1917   67.8083         3152            2580              572           81.8528           18.1472
BKW13       MAX_AREA      PERIMETER    True                      91.9723      0.534671   0.535523            0.0039928        91.9723    8.02767        3152            2957              195           93.8135            6.18655
BKW13       MAX_AREA      PERIMETER    False                     33.3984      0.743062   0.742867            0.00325337       33.3984   66.6016         3152            2586              566           82.0431           17.9569
BKW13       MAX_AREA      HEIGHT       True                      97.1108      0.526851   0.525175            0.00297202       97.1108    2.88916        3152            3020              132           95.8122            4.18782
BKW13       MAX_AREA      HEIGHT       False                      9.58626     0.435822   0.4326              0.00530125        9.58626  90.4137         3152            1400             1752           44.4162           55.5838
BKW13       MAX_AREA      WIDTH        True                      55.9587      0.610397   0.606891            0.0218064        55.9587   44.0413         3152            2680              472           85.0254           14.9746
BKW13       MAX_AREA      WIDTH        False                     82.3021      0.14048    0.122323            0.0367951        82.3021   17.6979         3152            3005              147           95.3363            4.66371
BKW13       MAX_AREA      ID           True                      94.4312      0.589158   0.588509            0.00209833       94.4312    5.56885        3152            3113               39           98.7627            1.23731
BKW13       MAX_AREA      ID           False                     94.6325      0.596748   0.596373            0.00145221       94.6325    5.36751        3152            3114               38           98.7944            1.20558
