Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time     Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW13       VERTICALLY    AREA         False                     72.6849      0.0956778  0.0790932           0.0342792        72.6849   27.3151         3152            3040              112           96.4467            3.5533
BKW13       VERTICALLY    PERIMETER    False                     73.5465      0.0809931  0.0808082           0.000591181      73.5465   26.4535         3152            3030              122           96.1294            3.87056
BKW13       VERTICALLY    HEIGHT       False                     78.2632      0.0731152  0.0726967           0.000629843      78.2632   21.7368         3152            3057               95           96.986             3.01396
BKW13       VERTICALLY    WIDTH        False                     73.9661      0.0609208  0.037833            0.0463037        73.9661   26.0339         3152            2800              352           88.8325           11.1675
BKW13       VERTICALLY    ID           False                     60.3755      0.0897346  0.0895169           0.000455733      60.3755   39.6245         3152            2591              561           82.2018           17.7982
BKW13       HORIZONTALLY  AREA         False                      4.21354     0.372174   0.373516            0.00219055        4.21354  95.7865         3152            1016             2136           32.2335           67.7665
BKW13       HORIZONTALLY  PERIMETER    False                      4.26562     0.355907   0.35659             0.00218904        4.26562  95.7344         3152             944             2208           29.9492           70.0508
BKW13       HORIZONTALLY  HEIGHT       False                      1.2526      0.322697   0.322554            0.00280497        1.2526   98.7474         3152             592             2560           18.7817           81.2183
BKW13       HORIZONTALLY  WIDTH        False                     11.562       0.418725   0.418194            0.00323504       11.562    88.438          3152            1757             1395           55.7424           44.2576
BKW13       HORIZONTALLY  ID           False                     38.8179      0.240461   0.241035            0.00195488       38.8179   61.1821         3152            2419              733           76.7449           23.2551
BKW13       MAX_AREA      AREA         False                     32.1917      0.717847   0.717957            0.00425814       32.1917   67.8083         3152            2580              572           81.8528           18.1472
BKW13       MAX_AREA      PERIMETER    False                     33.3984      0.743062   0.742867            0.00325337       33.3984   66.6016         3152            2586              566           82.0431           17.9569
BKW13       MAX_AREA      HEIGHT       False                      9.58626     0.435822   0.4326              0.00530125        9.58626  90.4137         3152            1400             1752           44.4162           55.5838
BKW13       MAX_AREA      WIDTH        False                     82.3021      0.14048    0.122323            0.0367951        82.3021   17.6979         3152            3005              147           95.3363            4.66371
BKW13       MAX_AREA      ID           False                     94.6325      0.596748   0.596373            0.00145221       94.6325    5.36751        3152            3114               38           98.7944            1.20558
