Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time     Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW13       VERTICALLY    AREA         True                       94.9339     0.116755   0.103534            0.0261906         94.9339   5.06608        3152            2648              504           84.0102           15.9898
BKW13       VERTICALLY    PERIMETER    True                       91.0596     0.0820553  0.0822482           0.000306834       91.0596   8.94043        3152            2340              812           74.2386           25.7614
BKW13       VERTICALLY    HEIGHT       True                       86.7168     0.0906435  0.0902832           0.000650632       86.7168  13.2832         3152            2741              411           86.9607           13.0393
BKW13       VERTICALLY    WIDTH        True                       97.9108     0.0926637  0.0700307           0.0449296         97.9108   2.08919        3152            2860              292           90.736             9.26396
BKW13       VERTICALLY    ID           True                       61.0007     0.120608   0.0977159           0.0467115         61.0007  38.9993         3152            2646              506           83.9467           16.0533
BKW13       HORIZONTALLY  AREA         True                       51.3125     0.230229   0.228939            0.00217201        51.3125  48.6875         3152            1824             1328           57.868            42.132
BKW13       HORIZONTALLY  PERIMETER    True                       63.4264     0.183033   0.181967            0.00149158        63.4264  36.5736         3152            1994             1158           63.2614           36.7386
BKW13       HORIZONTALLY  HEIGHT       True                       85.3234     0.236992   0.217409            0.0398129         85.3234  14.6766         3152            2712              440           86.0406           13.9594
BKW13       HORIZONTALLY  WIDTH        True                       32.3698     0.310274   0.309565            0.000950182       32.3698  67.6302         3152            1712             1440           54.3147           45.6853
BKW13       HORIZONTALLY  ID           True                       38.9907     0.250041   0.243007            0.0204846         38.9907  61.0093         3152            2432              720           77.1574           22.8426
BKW13       MAX_AREA      AREA         True                       92.3503     0.54441    0.543548            0.00196909        92.3503   7.64974        3152            2967              185           94.1307            5.86929
BKW13       MAX_AREA      PERIMETER    True                       91.9723     0.534671   0.535523            0.0039928         91.9723   8.02767        3152            2957              195           93.8135            6.18655
BKW13       MAX_AREA      HEIGHT       True                       97.1108     0.526851   0.525175            0.00297202        97.1108   2.88916        3152            3020              132           95.8122            4.18782
BKW13       MAX_AREA      WIDTH        True                       55.9587     0.610397   0.606891            0.0218064         55.9587  44.0413         3152            2680              472           85.0254           14.9746
BKW13       MAX_AREA      ID           True                       94.4312     0.589158   0.588509            0.00209833        94.4312   5.56885        3152            3113               39           98.7627            1.23731
