Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time    Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW13       HORIZONTALLY  AREA         True                      51.3125       0.230229  0.228939           0.00217201       51.3125    48.6875        3152            1824             1328           57.868             42.132
BKW13       HORIZONTALLY  AREA         False                      4.21354      0.372174  0.373516           0.00219055        4.21354   95.7865        3152            1016             2136           32.2335            67.7665
BKW13       HORIZONTALLY  PERIMETER    True                      63.4264       0.183033  0.181967           0.00149158       63.4264    36.5736        3152            1994             1158           63.2614            36.7386
BKW13       HORIZONTALLY  PERIMETER    False                      4.26562      0.355907  0.35659            0.00218904        4.26562   95.7344        3152             944             2208           29.9492            70.0508
BKW13       HORIZONTALLY  HEIGHT       True                      85.3234       0.236992  0.217409           0.0398129        85.3234    14.6766        3152            2712              440           86.0406            13.9594
BKW13       HORIZONTALLY  HEIGHT       False                      1.2526       0.322697  0.322554           0.00280497        1.2526    98.7474        3152             592             2560           18.7817            81.2183
BKW13       HORIZONTALLY  WIDTH        True                      32.3698       0.310274  0.309565           0.000950182      32.3698    67.6302        3152            1712             1440           54.3147            45.6853
BKW13       HORIZONTALLY  WIDTH        False                     11.562        0.418725  0.418194           0.00323504       11.562     88.438         3152            1757             1395           55.7424            44.2576
BKW13       HORIZONTALLY  ID           True                      38.9907       0.250041  0.243007           0.0204846        38.9907    61.0093        3152            2432              720           77.1574            22.8426
BKW13       HORIZONTALLY  ID           False                     38.8179       0.240461  0.241035           0.00195488       38.8179    61.1821        3152            2419              733           76.7449            23.2551
