Instance    SplitMode     OrderMode    Decrescent      Solution Quality %     Exec. Time         Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    AREA         False                     60          8.36372e-05    8.17776e-05           6.26347e-06      60        40                10               9                1           90                10
BKW01       VERTICALLY    PERIMETER    False                     60          8.48293e-05    8.22544e-05           5.44389e-06      60        40                10               9                1           90                10
BKW01       VERTICALLY    HEIGHT       False                     24          8.14438e-05    7.9155e-05            5.59466e-06      24        76                10               8                2           80                20
BKW01       VERTICALLY    WIDTH        False                     60          8.61168e-05    8.24928e-05           6.82294e-06      60        40                10               9                1           90                10
BKW01       VERTICALLY    ID           False                     60          0.000102139    9.91821e-05           6.19631e-06      60        40                10               9                1           90                10
BKW01       HORIZONTALLY  AREA         False                     12.75       7.05242e-05    6.74725e-05           6.89257e-06      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  PERIMETER    False                     12.75       7.04288e-05    6.84261e-05           5.03419e-06      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  HEIGHT       False                     12.75       7.07626e-05    7.00951e-05           4.719e-06        12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  WIDTH        False                     24          8.95977e-05    8.65459e-05           6.37858e-06      24        76                10               8                2           80                20
BKW01       HORIZONTALLY  ID           False                     52.75       7.1764e-05     6.96182e-05           5.97475e-06      52.75     47.25             10               7                3           70                30
BKW01       MAX_AREA      AREA         False                     60          0.000189352    0.000183821           1.17474e-05      60        40                10               9                1           90                10
BKW01       MAX_AREA      PERIMETER    False                     60          0.00019536     0.000188351           1.2621e-05       60        40                10               9                1           90                10
BKW01       MAX_AREA      HEIGHT       False                     60          0.000189638    0.000184536           1.21744e-05      60        40                10               9                1           90                10
BKW01       MAX_AREA      WIDTH        False                     60          0.000184679    0.000178814           1.12037e-05      60        40                10               9                1           90                10
BKW01       MAX_AREA      ID           False                     52.75       0.000230074    0.000231504           2.47106e-05      52.75     47.25             10               7                3           70                30
BKW01       NONE          AREA         False                     60          0.0016438      0.00164461            5.57227e-06      60        40                10               9                1           90                10
BKW01       NONE          PERIMETER    False                     60          0.0016748      0.00165749            3.20712e-05      60        40                10               9                1           90                10
BKW01       NONE          HEIGHT       False                     60          0.00190244     0.00180435            0.000206337      60        40                10               9                1           90                10
BKW01       NONE          WIDTH        False                     60          0.00180497     0.0018084             3.11782e-05      60        40                10               9                1           90                10
BKW01       NONE          ID           False                     52.75       0.000847721    0.000788927           0.00010252       52.75     47.25             10               7                3           70                30
BKW02       VERTICALLY    AREA         False                     29.1333     0.000172043    0.000181437           2.52195e-05      29.1333   70.8667           20              12                8           60                40
BKW02       VERTICALLY    PERIMETER    False                     29.1333     0.000126314    0.000122309           7.09094e-06      29.1333   70.8667           20              12                8           60                40
BKW02       VERTICALLY    HEIGHT       False                     34.2        0.00014596     0.000140429           7.67308e-06      34.2      65.8              20              13                7           65                35
BKW02       VERTICALLY    WIDTH        False                     26.7333     0.000114441    0.00011301            8.06546e-06      26.7333   73.2667           20              11                9           55                45
BKW02       VERTICALLY    ID           False                     57.4667     0.000182724    0.000189304           2.30932e-05      57.4667   42.5333           20              12                8           60                40
BKW02       HORIZONTALLY  AREA         False                     40.1333     0.000172758    0.000168562           8.36927e-06      40.1333   59.8667           20              14                6           70                30
BKW02       HORIZONTALLY  PERIMETER    False                     49.3333     0.000175238    0.000173569           8.77432e-06      49.3333   50.6667           20              15                5           75                25
BKW02       HORIZONTALLY  HEIGHT       False                     47.4667     0.000169945    0.000165224           9.0315e-06       47.4667   52.5333           20              14                6           70                30
BKW02       HORIZONTALLY  WIDTH        False                     60.2        0.000254059    0.000226021           4.9187e-05       60.2      39.8              20              17                3           85                15
BKW02       HORIZONTALLY  ID           False                     78.5333     0.000185442    0.000180483           9.38946e-06      78.5333   21.4667           20              16                4           80                20
BKW02       MAX_AREA      AREA         False                     43.8667     0.000322151    0.000321865           9.91821e-06      43.8667   56.1333           20              15                5           75                25
BKW02       MAX_AREA      PERIMETER    False                     60.2        0.000353718    0.000346899           1.46107e-05      60.2      39.8              20              17                3           85                15
BKW02       MAX_AREA      HEIGHT       False                     49.3333     0.000337648    0.00033164            1.05266e-05      49.3333   50.6667           20              15                5           75                25
BKW02       MAX_AREA      WIDTH        False                     55.2667     0.000311279    0.000306368           1.32879e-05      55.2667   44.7333           20              15                5           75                25
BKW02       MAX_AREA      ID           False                     76.8        0.000387478    0.000383854           1.89823e-05      76.8      23.2              20              17                3           85                15
BKW02       NONE          AREA         False                     43.5333     0.0119086      0.0118027             0.000177015      43.5333   56.4667           20              15                5           75                25
BKW02       NONE          PERIMETER    False                     49.9333     0.0107538      0.0107441             5.69052e-05      49.9333   50.0667           20              16                4           80                20
BKW02       NONE          HEIGHT       False                     59.1333     0.0150655      0.0151417             0.00167501       59.1333   40.8667           20              17                3           85                15
BKW02       NONE          WIDTH        False                     65.5333     0.0182476      0.0171933             0.00177275       65.5333   34.4667           20              16                4           80                20
BKW02       NONE          ID           False                     76.8        0.00792232     0.00792456            0.000113198      76.8      23.2              20              17                3           85                15
BKW03       VERTICALLY    AREA         False                     52          0.000246668    0.000243902           9.21493e-06      52        48                30              24                6           80                20
BKW03       VERTICALLY    PERIMETER    False                     52          0.000219727    0.000217438           9.25924e-06      52        48                30              24                6           80                20
BKW03       VERTICALLY    HEIGHT       False                     55.3333     0.000254726    0.000249147           1.4165e-05       55.3333   44.6667           30              25                5           83.3333           16.6667
BKW03       VERTICALLY    WIDTH        False                     52          0.000226974    0.000221491           8.9691e-06       52        48                30              24                6           80                20
BKW03       VERTICALLY    ID           False                     66.4        0.000255013    0.000249624           1.17901e-05      66.4      33.6              30              25                5           83.3333           16.6667
BKW03       HORIZONTALLY  AREA         False                     20.2        0.000233841    0.000231266           9.47263e-06      20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  PERIMETER    False                     20.2        0.00022769     0.000222921           8.30025e-06      20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  HEIGHT       False                     20.2        0.00024662     0.000240564           1.04422e-05      20.2      79.8              30              17               13           56.6667           43.3333
BKW03       HORIZONTALLY  WIDTH        False                     39.6667     0.000308084    0.000301838           1.25684e-05      39.6667   60.3333           30              23                7           76.6667           23.3333
BKW03       HORIZONTALLY  ID           False                     33.8667     0.000428295    0.000433922           1.69137e-05      33.8667   66.1333           30              20               10           66.6667           33.3333
BKW03       MAX_AREA      AREA         False                     35.0667     0.000502348    0.000488758           2.91308e-05      35.0667   64.9333           30              22                8           73.3333           26.6667
BKW03       MAX_AREA      PERIMETER    False                     38.1333     0.00048871     0.000483751           1.75483e-05      38.1333   61.8667           30              22                8           73.3333           26.6667
BKW03       MAX_AREA      HEIGHT       False                     38.1333     0.000535774    0.00053072            2.63093e-05      38.1333   61.8667           30              22                8           73.3333           26.6667
BKW03       MAX_AREA      WIDTH        False                     55.3333     0.000518656    0.000515938           1.59214e-05      55.3333   44.6667           30              25                5           83.3333           16.6667
BKW03       MAX_AREA      ID           False                     62.9333     0.00059104     0.000586271           1.04622e-05      62.9333   37.0667           30              27                3           90                10
BKW03       NONE          AREA         False                     58.3333     0.0512242      0.0512464             0.000386675      58.3333   41.6667           30              26                4           86.6667           13.3333
BKW03       NONE          PERIMETER    False                     55.7333     0.0457568      0.0456827             0.00026501       55.7333   44.2667           30              26                4           86.6667           13.3333
BKW03       NONE          HEIGHT       False                     51.4667     0.0534011      0.0530753             0.000641138      51.4667   48.5333           30              24                6           80                20
BKW03       NONE          WIDTH        False                     71.6        0.0559319      0.0554285             0.000931099      71.6      28.4              30              28                2           93.3333            6.66667
BKW03       NONE          ID           False                     80          0.0343661      0.0330083             0.00184261       80        20                30              28                2           93.3333            6.66667
BKW04       VERTICALLY    AREA         False                     46.2812     0.000360441    0.000358343           1.0253e-05       46.2812   53.7188           40              37                3           92.5               7.5
BKW04       VERTICALLY    PERIMETER    False                     44.4688     0.000353956    0.000350714           1.30879e-05      44.4688   55.5312           40              36                4           90                10
BKW04       VERTICALLY    HEIGHT       False                     48.2812     0.000416327    0.000407219           1.60924e-05      48.2812   51.7188           40              38                2           95                 5
BKW04       VERTICALLY    WIDTH        False                     42.2812     0.000336885    0.000328064           1.29248e-05      42.2812   57.7188           40              35                5           87.5              12.5
BKW04       VERTICALLY    ID           False                     81.5938     0.000416422    0.000408173           1.72544e-05      81.5938   18.4062           40              34                6           85                15
BKW04       HORIZONTALLY  AREA         False                     18.6875     0.000481176    0.000491142           5.15204e-05      18.6875   81.3125           40              28               12           70                30
BKW04       HORIZONTALLY  PERIMETER    False                     17.5625     0.000398636    0.000394821           1.24234e-05      17.5625   82.4375           40              26               14           65                35
BKW04       HORIZONTALLY  HEIGHT       False                     17.5625     0.000416327    0.000411272           1.61952e-05      17.5625   82.4375           40              26               14           65                35
BKW04       HORIZONTALLY  WIDTH        False                     18.6875     0.000400496    0.000393867           2.00109e-05      18.6875   81.3125           40              28               12           70                30
BKW04       HORIZONTALLY  ID           False                     62.7656     0.000449085    0.000449181           9.158e-06        62.7656   37.2344           40              34                6           85                15
BKW04       MAX_AREA      AREA         False                     38.5938     0.00074091     0.000736475           1.98399e-05      38.5938   61.4062           40              36                4           90                10
BKW04       MAX_AREA      PERIMETER    False                     38.5938     0.00076685     0.00074625            3.60527e-05      38.5938   61.4062           40              36                4           90                10
BKW04       MAX_AREA      HEIGHT       False                     49.3125     0.000779629    0.000779867           1.82368e-05      49.3125   50.6875           40              36                4           90                10
BKW04       MAX_AREA      WIDTH        False                     48.2812     0.000853062    0.000816822           8.7164e-05       48.2812   51.7188           40              38                2           95                 5
BKW04       MAX_AREA      ID           False                     85.5312     0.00112362     0.00101113            0.000162499      85.5312   14.4688           40              37                3           92.5               7.5
BKW04       NONE          AREA         False                     44.6719     0.114416       0.114925              0.00556402       44.6719   55.3281           40              35                5           87.5              12.5
BKW04       NONE          PERIMETER    False                     48.2812     0.13407        0.129769              0.00677663       48.2812   51.7188           40              38                2           95                 5
BKW04       NONE          HEIGHT       False                     58.1562     0.103932       0.102144              0.00370686       58.1562   41.8438           40              38                2           95                 5
BKW04       NONE          WIDTH        False                     63.7812     0.154315       0.153907              0.000789928      63.7812   36.2188           40              39                1           97.5               2.5
