Instance    SplitMode     OrderMode    Decrescent      Solution Quality %     Exec. Time         Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    AREA         True                      100         7.48158e-05    6.69956e-05           1.36698e-05      100        0                10              10                0          100                 0
BKW01       VERTICALLY    PERIMETER    True                      100         7.13348e-05    6.98566e-05           5.19381e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY    HEIGHT       True                       60         9.05037e-05    8.79765e-05           5.93198e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY    WIDTH        True                      100         6.16074e-05    5.93662e-05           5.11706e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY    ID           True                       60         0.000102329    0.000100136           6.35715e-06       60       40                10               9                1           90                10
BKW01       HORIZONTALLY  AREA         True                      100         6.52313e-05    6.19888e-05           7.15351e-06      100        0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    True                      100         6.44207e-05    6.27041e-05           5.70892e-06      100        0                10              10                0          100                 0
BKW01       HORIZONTALLY  HEIGHT       True                      100         6.99997e-05    6.81877e-05           6.17057e-06      100        0                10              10                0          100                 0
BKW01       HORIZONTALLY  WIDTH        True                       88.75      7.04288e-05    6.7234e-05            5.83926e-06       88.75    11.25             10               8                2           80                20
BKW01       HORIZONTALLY  ID           True                       17.75      8.05855e-05    7.9155e-05            4.48582e-06       17.75    82.25             10               7                3           70                30
BKW01       MAX_AREA      AREA         True                      100         0.000155687    0.000150442           1.11502e-05      100        0                10              10                0          100                 0
BKW01       MAX_AREA      PERIMETER    True                      100         0.000154638    0.000150681           9.50283e-06      100        0                10              10                0          100                 0
BKW01       MAX_AREA      HEIGHT       True                       98.75      0.000157166    0.000152588           1.08037e-05       98.75     1.25             10               9                1           90                10
BKW01       MAX_AREA      WIDTH        True                       88.75      0.000140667    0.000134945           1.02869e-05       88.75    11.25             10               8                2           80                20
BKW01       MAX_AREA      ID           True                       60         0.000184488    0.000180721           1.07689e-05       60       40                10               9                1           90                10
BKW01       NONE          AREA         True                      100         0.00164299     0.00163007            2.58261e-05      100        0                10              10                0          100                 0
BKW01       NONE          PERIMETER    True                      100         0.00162854     0.00160694            2.99652e-05      100        0                10              10                0          100                 0
BKW01       NONE          HEIGHT       True                       60         0.00129995     0.00130773            1.97612e-05       60       40                10               9                1           90                10
BKW01       NONE          WIDTH        True                      100         0.0020637      0.00204301            6.14188e-05      100        0                10              10                0          100                 0
BKW01       NONE          ID           True                       60         0.00167823     0.00166297            2.29764e-05       60       40                10               9                1           90                10
BKW02       VERTICALLY    AREA         True                       61         0.000150204    0.000147104           8.2052e-06        61       39                20              14                6           70                30
BKW02       VERTICALLY    PERIMETER    True                       63.4       0.000176191    0.000165939           2.29744e-05       63.4     36.6              20              15                5           75                25
BKW02       VERTICALLY    HEIGHT       True                       57.2667    0.000154543    0.000150919           9.1304e-06        57.2667  42.7333           20              13                7           65                35
BKW02       VERTICALLY    WIDTH        True                       81.0667    0.000174713    0.000168085           1.85179e-05       81.0667  18.9333           20              18                2           90                10
BKW02       VERTICALLY    ID           True                       40.7333    0.000146866    0.000139236           1.57753e-05       40.7333  59.2667           20              13                7           65                35
BKW02       HORIZONTALLY  AREA         True                       82.6667    0.000167894    0.000163555           1.00242e-05       82.6667  17.3333           20              13                7           65                35
BKW02       HORIZONTALLY  PERIMETER    True                       82.6667    0.000169897    0.000165701           9.85404e-06       82.6667  17.3333           20              13                7           65                35
BKW02       HORIZONTALLY  HEIGHT       True                       82.5333    0.00019927     0.000187159           2.02952e-05       82.5333  17.4667           20              16                4           80                20
BKW02       HORIZONTALLY  WIDTH        True                       73.4       0.000184059    0.00018239            8.19827e-06       73.4     26.6              20              17                3           85                15
BKW02       HORIZONTALLY  ID           True                       50.4       0.000168943    0.000162125           1.27098e-05       50.4     49.6              20              15                5           75                25
BKW02       MAX_AREA      AREA         True                       71.9333    0.000417852    0.000355005           0.000104333       71.9333  28.0667           20              17                3           85                15
BKW02       MAX_AREA      PERIMETER    True                       71.9333    0.00037384     0.000358343           3.95924e-05       71.9333  28.0667           20              17                3           85                15
BKW02       MAX_AREA      HEIGHT       True                       68.2       0.000350428    0.00034523            1.42704e-05       68.2     31.8              20              16                4           80                20
BKW02       MAX_AREA      WIDTH        True                       79.4667    0.000356483    0.000349522           1.75132e-05       79.4667  20.5333           20              18                2           90                10
BKW02       MAX_AREA      ID           True                       54.1333    0.000328588    0.00032568            9.44739e-06       54.1333  45.8667           20              16                4           80                20
BKW02       NONE          AREA         True                       85.8667    0.00555429     0.00556469            7.29238e-05       85.8667  14.1333           20              14                6           70                30
BKW02       NONE          PERIMETER    True                       89.8667    0.00630503     0.00626159            8.80356e-05       89.8667  10.1333           20              16                4           80                20
BKW02       NONE          HEIGHT       True                       82         0.00732751     0.00731683            4.43831e-05       82       18                20              17                3           85                15
BKW02       NONE          WIDTH        True                       96.5333    0.0157199      0.0150168             0.0016621         96.5333   3.46667          20              18                2           90                10
BKW02       NONE          ID           True                       64.3333    0.0130246      0.0120792             0.00199152        64.3333  35.6667           20              17                3           85                15
BKW03       VERTICALLY    AREA         True                       84.1333    0.00022397     0.000221014           7.99694e-06       84.1333  15.8667           30              23                7           76.6667           23.3333
