Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    NONE         True              0.74227                60        60       40                10               9                1           90                10
BKW01       VERTICALLY    NONE         False             0.703838               60        60       40                10               9                1           90                10
BKW01       HORIZONTALLY  NONE         True              0.538097               52.75     52.75    47.25             10               7                3           70                30
BKW01       HORIZONTALLY  NONE         False             0.577682               52.75     52.75    47.25             10               7                3           70                30
BKW01       MAX_AREA      NONE         True              0.532619               52.75     52.75    47.25             10               7                3           70                30
BKW01       MAX_AREA      NONE         False             0.572067               52.75     52.75    47.25             10               7                3           70                30
BKW01       NONE          NONE         True              0.473541               52.75     52.75    47.25             10               7                3           70                30
BKW01       NONE          NONE         False             0.473039               52.75     52.75    47.25             10               7                3           70                30
BKW02       VERTICALLY    NONE         True              0.873029               57.4667   57.4667  42.5333           20              12                8           60                40
BKW02       VERTICALLY    NONE         False             0.907623               57.4667   57.4667  42.5333           20              12                8           60                40
BKW02       HORIZONTALLY  NONE         True              1.26419                78.5333   78.5333  21.4667           20              16                4           80                20
BKW02       HORIZONTALLY  NONE         False             1.22871                78.5333   78.5333  21.4667           20              16                4           80                20
BKW02       MAX_AREA      NONE         True              1.34799                76.8      76.8     23.2              20              17                3           85                15
BKW02       MAX_AREA      NONE         False             1.35385                76.8      76.8     23.2              20              17                3           85                15
BKW02       NONE          NONE         True              1.07494                76.8      76.8     23.2              20              17                3           85                15
BKW02       NONE          NONE         False             1.11158                76.8      76.8     23.2              20              17                3           85                15
BKW03       VERTICALLY    NONE         True              2.03571                66.4      66.4     33.6              30              25                5           83.3333           16.6667
BKW03       VERTICALLY    NONE         False             2.07732                66.4      66.4     33.6              30              25                5           83.3333           16.6667
BKW03       HORIZONTALLY  NONE         True              1.64946                33.8667   33.8667  66.1333           30              20               10           66.6667           33.3333
BKW03       HORIZONTALLY  NONE         False             1.63374                33.8667   33.8667  66.1333           30              20               10           66.6667           33.3333
BKW03       MAX_AREA      NONE         True              2.34267                62.9333   62.9333  37.0667           30              27                3           90                10
BKW03       MAX_AREA      NONE         False             2.29173                62.9333   62.9333  37.0667           30              27                3           90                10
BKW03       NONE          NONE         True              1.94871                80        80       20                30              28                2           93.3333            6.66667
BKW03       NONE          NONE         False             1.96355                80        80       20                30              28                2           93.3333            6.66667
BKW04       VERTICALLY    NONE         True              3.40202                81.5938   81.5938  18.4062           40              34                6           85                15
BKW04       VERTICALLY    NONE         False             3.3698                 81.5938   81.5938  18.4062           40              34                6           85                15
BKW04       HORIZONTALLY  NONE         True              3.40033                62.7656   62.7656  37.2344           40              34                6           85                15
BKW04       HORIZONTALLY  NONE         False             3.40564                62.7656   62.7656  37.2344           40              34                6           85                15
BKW04       MAX_AREA      NONE         True              4.03419                85.5312   85.5312  14.4688           40              37                3           92.5               7.5
BKW04       MAX_AREA      NONE         False             4.0472                 85.5312   85.5312  14.4688           40              37                3           92.5               7.5
BKW04       NONE          NONE         True              3.57032               100       100        0                40              40                0          100                 0
BKW04       NONE          NONE         False             3.44373               100       100        0                40              40                0          100                 0
BKW05       VERTICALLY    NONE         True              3.51668                43.14     43.14    56.86             50              36               14           72                28
BKW05       VERTICALLY    NONE         False             3.45315                43.14     43.14    56.86             50              36               14           72                28
BKW05       HORIZONTALLY  NONE         True              4.40426                77.5      77.5     22.5              50              43                7           86                14
BKW05       HORIZONTALLY  NONE         False             4.31038                77.5      77.5     22.5              50              43                7           86                14
BKW05       MAX_AREA      NONE         True              4.66709                88.04     88.04    11.96             50              46                4           92                 8
BKW05       MAX_AREA      NONE         False             4.64459                88.04     88.04    11.96             50              46                4           92                 8
BKW05       NONE          NONE         True              3.8121                 88.4      88.4     11.6              50              47                3           94                 6
BKW05       NONE          NONE         False             3.88793                88.4      88.4     11.6              50              47                3           94                 6
BKW06       VERTICALLY    NONE         True              5.37828                56.18     56.18    43.82             60              53                7           88.3333           11.6667
BKW06       VERTICALLY    NONE         False             5.42962                56.18     56.18    43.82             60              53                7           88.3333           11.6667
BKW06       HORIZONTALLY  NONE         True              5.2683                 48.32     48.32    51.68             60              49               11           81.6667           18.3333
BKW06       HORIZONTALLY  NONE         False             5.24455                48.32     48.32    51.68             60              49               11           81.6667           18.3333
BKW06       MAX_AREA      NONE         True              6.4096                 72.5      72.5     27.5              60              55                5           91.6667            8.33333
BKW06       MAX_AREA      NONE         False             6.3879                 72.5      72.5     27.5              60              55                5           91.6667            8.33333
BKW06       NONE          NONE         True              4.72363                72.5      72.5     27.5              60              55                5           91.6667            8.33333
BKW06       NONE          NONE         False             4.73466                72.5      72.5     27.5              60              55                5           91.6667            8.33333
BKW07       VERTICALLY    NONE         True              6.83573                46.725    46.725   53.275            70              59               11           84.2857           15.7143
BKW07       VERTICALLY    NONE         False             7.02743                46.725    46.725   53.275            70              59               11           84.2857           15.7143
BKW07       HORIZONTALLY  NONE         True              7.19219                59.8      59.8     40.2              70              61                9           87.1429           12.8571
BKW07       HORIZONTALLY  NONE         False             7.22911                59.8      59.8     40.2              70              61                9           87.1429           12.8571
BKW07       MAX_AREA      NONE         True              8.13218                64.3375   64.3375  35.6625           70              64                6           91.4286            8.57143
BKW07       MAX_AREA      NONE         False             8.04658                64.3375   64.3375  35.6625           70              64                6           91.4286            8.57143
BKW07       NONE          NONE         True              6.83632                89.825    89.825   10.175            70              69                1           98.5714            1.42857
BKW07       NONE          NONE         False             6.91377                89.825    89.825   10.175            70              69                1           98.5714            1.42857
BKW08       VERTICALLY    NONE         True              8.1317                 70.1875   70.1875  29.8125           80              67               13           83.75             16.25
BKW08       VERTICALLY    NONE         False             8.21208                70.1875   70.1875  29.8125           80              67               13           83.75             16.25
BKW08       HORIZONTALLY  NONE         True              6.71238                36.7625   36.7625  63.2375           80              56               24           70                30
BKW08       HORIZONTALLY  NONE         False             6.7452                 36.7625   36.7625  63.2375           80              56               24           70                30
BKW08       MAX_AREA      NONE         True              9.98493                82.7125   82.7125  17.2875           80              76                4           95                 5
BKW08       MAX_AREA      NONE         False            10.0126                 82.7125   82.7125  17.2875           80              76                4           95                 5
BKW08       NONE          NONE         True              8.29708                90.3125   90.3125   9.6875           80              78                2           97.5               2.5
BKW08       NONE          NONE         False             8.41085                90.3125   90.3125   9.6875           80              78                2           97.5               2.5
BKW09       VERTICALLY    NONE         True             10.1925                 35.3467   35.3467  64.6533          100              82               18           82                18
BKW09       VERTICALLY    NONE         False            10.1504                 35.3467   35.3467  64.6533          100              82               18           82                18
BKW09       HORIZONTALLY  NONE         True             12.2348                 54.92     54.92    45.08            100              83               17           83                17
BKW09       HORIZONTALLY  NONE         False            12.1123                 54.92     54.92    45.08            100              83               17           83                17
BKW09       MAX_AREA      NONE         True             14.6448                 78.2      78.2     21.8             100              94                6           94                 6
BKW09       MAX_AREA      NONE         False            14.6195                 78.2      78.2     21.8             100              94                6           94                 6
BKW09       NONE          NONE         True             11.364                  78.8667   78.8667  21.1333          100              96                4           96                 4
BKW09       NONE          NONE         False            11.3542                 78.8667   78.8667  21.1333          100              96                4           96                 4
BKW10       VERTICALLY    NONE         True             32.6026                 41.6286   41.6286  58.3714          200             171               29           85.5              14.5
BKW10       VERTICALLY    NONE         False            31.9907                 41.6286   41.6286  58.3714          200             171               29           85.5              14.5
BKW10       HORIZONTALLY  NONE         True             43.4175                 75.4952   75.4952  24.5048          200             190               10           95                 5
BKW10       HORIZONTALLY  NONE         False            43.508                  75.4952   75.4952  24.5048          200             190               10           95                 5
BKW10       MAX_AREA      NONE         True             46.0088                 83.0667   83.0667  16.9333          200             192                8           96                 4
BKW10       MAX_AREA      NONE         False            45.7631                 83.0667   83.0667  16.9333          200             192                8           96                 4
BKW10       NONE          NONE         True             39.0223                 77.4476   77.4476  22.5524          200             198                2           99                 1
BKW10       NONE          NONE         False            39.8218                 77.4476   77.4476  22.5524          200             198                2           99                 1
BKW11       VERTICALLY    NONE         True             63.6481                 39.2      39.2     60.8             300             253               47           84.3333           15.6667
BKW11       VERTICALLY    NONE         False            64.6103                 39.2      39.2     60.8             300             253               47           84.3333           15.6667
BKW11       HORIZONTALLY  NONE         True             84.6847                 54.4952   54.4952  45.5048          300             267               33           89                11
BKW11       HORIZONTALLY  NONE         False            84.1186                 54.4952   54.4952  45.5048          300             267               33           89                11
BKW11       MAX_AREA      NONE         True             94.5522                 80.2762   80.2762  19.7238          300             292                8           97.3333            2.66667
BKW11       MAX_AREA      NONE         False            90.4822                 80.2762   80.2762  19.7238          300             292                8           97.3333            2.66667
BKW11       NONE          NONE         True             85.9816                 88.9524   88.9524  11.0476          300             297                3           99                 1
BKW11       NONE          NONE         False            85.2723                 88.9524   88.9524  11.0476          300             297                3           99                 1
BKW12       VERTICALLY    NONE         True            186.688                  49.83     49.83    50.17            500             458               42           91.6               8.4
BKW12       VERTICALLY    NONE         False           187.828                  49.83     49.83    50.17            500             458               42           91.6               8.4
BKW12       HORIZONTALLY  NONE         True            191.811                  34.7533   34.7533  65.2467          500             413               87           82.6              17.4
BKW12       HORIZONTALLY  NONE         False           191.795                  34.7533   34.7533  65.2467          500             413               87           82.6              17.4
BKW12       MAX_AREA      NONE         True            273.571                  75.5567   75.5567  24.4433          500             489               11           97.8               2.2
BKW12       MAX_AREA      NONE         False           270.632                  75.5567   75.5567  24.4433          500             489               11           97.8               2.2
BKW12       NONE          NONE         True            292.6                    95.4267   95.4267   4.57333         500             498                2           99.6               0.4
BKW12       NONE          NONE         False           291.377                  95.4267   95.4267   4.57333         500             498                2           99.6               0.4
