Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    PERIMETER    True                      100        7.13348e-05   6.98566e-05           5.19381e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY    PERIMETER    False                      60        8.48293e-05   8.22544e-05           5.44389e-06       60       40                10               9                1           90                10
BKW01       HORIZONTALLY  PERIMETER    True                      100        6.44207e-05   6.27041e-05           5.70892e-06      100        0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    False                      12.75     7.04288e-05   6.84261e-05           5.03419e-06       12.75    87.25             10               6                4           60                40
BKW01       MAX_AREA      PERIMETER    True                      100        0.000154638   0.000150681           9.50283e-06      100        0                10              10                0          100                 0
BKW01       MAX_AREA      PERIMETER    False                      60        0.00019536    0.000188351           1.2621e-05        60       40                10               9                1           90                10
BKW01       NONE          PERIMETER    True                      100        0.00162854    0.00160694            2.99652e-05      100        0                10              10                0          100                 0
BKW01       NONE          PERIMETER    False                      60        0.0016748     0.00165749            3.20712e-05       60       40                10               9                1           90                10
BKW02       VERTICALLY    PERIMETER    True                       63.4      0.000176191   0.000165939           2.29744e-05       63.4     36.6              20              15                5           75                25
BKW02       VERTICALLY    PERIMETER    False                      29.1333   0.000126314   0.000122309           7.09094e-06       29.1333  70.8667           20              12                8           60                40
BKW02       HORIZONTALLY  PERIMETER    True                       82.6667   0.000169897   0.000165701           9.85404e-06       82.6667  17.3333           20              13                7           65                35
BKW02       HORIZONTALLY  PERIMETER    False                      49.3333   0.000175238   0.000173569           8.77432e-06       49.3333  50.6667           20              15                5           75                25
BKW02       MAX_AREA      PERIMETER    True                       71.9333   0.00037384    0.000358343           3.95924e-05       71.9333  28.0667           20              17                3           85                15
BKW02       MAX_AREA      PERIMETER    False                      60.2      0.000353718   0.000346899           1.46107e-05       60.2     39.8              20              17                3           85                15
BKW02       NONE          PERIMETER    True                       89.8667   0.00630503    0.00626159            8.80356e-05       89.8667  10.1333           20              16                4           80                20
BKW02       NONE          PERIMETER    False                      49.9333   0.0107538     0.0107441             5.69052e-05       49.9333  50.0667           20              16                4           80                20
BKW03       VERTICALLY    PERIMETER    True                       80.1333   0.000243568   0.000252008           1.33076e-05       80.1333  19.8667           30              22                8           73.3333           26.6667
BKW03       VERTICALLY    PERIMETER    False                      52        0.000219727   0.000217438           9.25924e-06       52       48                30              24                6           80                20
BKW03       HORIZONTALLY  PERIMETER    True                       93        0.000295782   0.000295639           6.09457e-06       93        7                30              27                3           90                10
BKW03       HORIZONTALLY  PERIMETER    False                      20.2      0.00022769    0.000222921           8.30025e-06       20.2     79.8              30              17               13           56.6667           43.3333
