Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    WIDTH        True                      100        6.16074e-05   5.93662e-05           5.11706e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY    WIDTH        False                      60        8.61168e-05   8.24928e-05           6.82294e-06       60       40                10               9                1           90                10
BKW01       HORIZONTALLY  WIDTH        True                       88.75     7.04288e-05   6.7234e-05            5.83926e-06       88.75    11.25             10               8                2           80                20
BKW01       HORIZONTALLY  WIDTH        False                      24        8.95977e-05   8.65459e-05           6.37858e-06       24       76                10               8                2           80                20
BKW01       MAX_AREA      WIDTH        True                       88.75     0.000140667   0.000134945           1.02869e-05       88.75    11.25             10               8                2           80                20
BKW01       MAX_AREA      WIDTH        False                      60        0.000184679   0.000178814           1.12037e-05       60       40                10               9                1           90                10
BKW01       NONE          WIDTH        True                      100        0.0020637     0.00204301            6.14188e-05      100        0                10              10                0          100                 0
BKW01       NONE          WIDTH        False                      60        0.00180497    0.0018084             3.11782e-05       60       40                10               9                1           90                10
BKW02       VERTICALLY    WIDTH        True                       81.0667   0.000174713   0.000168085           1.85179e-05       81.0667  18.9333           20              18                2           90                10
BKW02       VERTICALLY    WIDTH        False                      26.7333   0.000114441   0.00011301            8.06546e-06       26.7333  73.2667           20              11                9           55                45
BKW02       HORIZONTALLY  WIDTH        True                       73.4      0.000184059   0.00018239            8.19827e-06       73.4     26.6              20              17                3           85                15
BKW02       HORIZONTALLY  WIDTH        False                      60.2      0.000254059   0.000226021           4.9187e-05        60.2     39.8              20              17                3           85                15
BKW02       MAX_AREA      WIDTH        True                       79.4667   0.000356483   0.000349522           1.75132e-05       79.4667  20.5333           20              18                2           90                10
BKW02       MAX_AREA      WIDTH        False                      55.2667   0.000311279   0.000306368           1.32879e-05       55.2667  44.7333           20              15                5           75                25
BKW02       NONE          WIDTH        True                       96.5333   0.0157199     0.0150168             0.0016621         96.5333   3.46667          20              18                2           90                10
BKW02       NONE          WIDTH        False                      65.5333   0.0182476     0.0171933             0.00177275        65.5333  34.4667           20              16                4           80                20
BKW03       VERTICALLY    WIDTH        True                       88.6      0.000239754   0.000235558           9.5315e-06        88.6     11.4              30              24                6           80                20
BKW03       VERTICALLY    WIDTH        False                      52        0.000226974   0.000221491           8.9691e-06        52       48                30              24                6           80                20
BKW03       HORIZONTALLY  WIDTH        True                       58.1333   0.000286531   0.000279665           1.03413e-05       58.1333  41.8667           30              24                6           80                20
BKW03       HORIZONTALLY  WIDTH        False                      39.6667   0.000308084   0.000301838           1.25684e-05       39.6667  60.3333           30              23                7           76.6667           23.3333
BKW03       MAX_AREA      WIDTH        True                       78.3333   0.000645876   0.000633717           2.51085e-05       78.3333  21.6667           30              28                2           93.3333            6.66667
BKW03       MAX_AREA      WIDTH        False                      55.3333   0.000518656   0.000515938           1.59214e-05       55.3333  44.6667           30              25                5           83.3333           16.6667
BKW03       NONE          WIDTH        True                       93.8      0.0514221     0.0513835             0.000267273       93.8      6.2              30              26                4           86.6667           13.3333
BKW03       NONE          WIDTH        False                      71.6      0.0559319     0.0554285             0.000931099       71.6     28.4              30              28                2           93.3333            6.66667
BKW04       VERTICALLY    WIDTH        True                       94.5      0.000481224   0.000481844           9.39575e-06       94.5      5.5              40              35                5           87.5              12.5
