Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       MAX_AREA     AREA         True                      100        0.000155687  0.000150442           1.11502e-05      100        0                10              10                0          100                 0
BKW01       MAX_AREA     AREA         False                      60        0.000189352  0.000183821           1.17474e-05       60       40                10               9                1           90                10
BKW01       MAX_AREA     PERIMETER    True                      100        0.000154638  0.000150681           9.50283e-06      100        0                10              10                0          100                 0
BKW01       MAX_AREA     PERIMETER    False                      60        0.00019536   0.000188351           1.2621e-05        60       40                10               9                1           90                10
BKW01       MAX_AREA     HEIGHT       True                       98.75     0.000157166  0.000152588           1.08037e-05       98.75     1.25             10               9                1           90                10
BKW01       MAX_AREA     HEIGHT       False                      60        0.000189638  0.000184536           1.21744e-05       60       40                10               9                1           90                10
BKW01       MAX_AREA     WIDTH        True                       88.75     0.000140667  0.000134945           1.02869e-05       88.75    11.25             10               8                2           80                20
BKW01       MAX_AREA     WIDTH        False                      60        0.000184679  0.000178814           1.12037e-05       60       40                10               9                1           90                10
BKW01       MAX_AREA     ID           True                       60        0.000184488  0.000180721           1.07689e-05       60       40                10               9                1           90                10
BKW01       MAX_AREA     ID           False                      52.75     0.000230074  0.000231504           2.47106e-05       52.75    47.25             10               7                3           70                30
BKW02       MAX_AREA     AREA         True                       71.9333   0.000417852  0.000355005           0.000104333       71.9333  28.0667           20              17                3           85                15
BKW02       MAX_AREA     AREA         False                      43.8667   0.000322151  0.000321865           9.91821e-06       43.8667  56.1333           20              15                5           75                25
BKW02       MAX_AREA     PERIMETER    True                       71.9333   0.00037384   0.000358343           3.95924e-05       71.9333  28.0667           20              17                3           85                15
BKW02       MAX_AREA     PERIMETER    False                      60.2      0.000353718  0.000346899           1.46107e-05       60.2     39.8              20              17                3           85                15
BKW02       MAX_AREA     HEIGHT       True                       68.2      0.000350428  0.00034523            1.42704e-05       68.2     31.8              20              16                4           80                20
BKW02       MAX_AREA     HEIGHT       False                      49.3333   0.000337648  0.00033164            1.05266e-05       49.3333  50.6667           20              15                5           75                25
BKW02       MAX_AREA     WIDTH        True                       79.4667   0.000356483  0.000349522           1.75132e-05       79.4667  20.5333           20              18                2           90                10
BKW02       MAX_AREA     WIDTH        False                      55.2667   0.000311279  0.000306368           1.32879e-05       55.2667  44.7333           20              15                5           75                25
BKW02       MAX_AREA     ID           True                       54.1333   0.000328588  0.00032568            9.44739e-06       54.1333  45.8667           20              16                4           80                20
BKW02       MAX_AREA     ID           False                      76.8      0.000387478  0.000383854           1.89823e-05       76.8     23.2              20              17                3           85                15
BKW03       MAX_AREA     AREA         True                       92.4      0.00055542   0.000549078           2.55536e-05       92.4      7.6              30              25                5           83.3333           16.6667
BKW03       MAX_AREA     AREA         False                      35.0667   0.000502348  0.000488758           2.91308e-05       35.0667  64.9333           30              22                8           73.3333           26.6667
