Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time        Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       NONE         AREA         True                      100        0.00164299    0.00163007            2.58261e-05      100        0                10              10                0          100                 0
BKW01       NONE         AREA         False                      60        0.0016438     0.00164461            5.57227e-06       60       40                10               9                1           90                10
BKW01       NONE         PERIMETER    True                      100        0.00162854    0.00160694            2.99652e-05      100        0                10              10                0          100                 0
BKW01       NONE         PERIMETER    False                      60        0.0016748     0.00165749            3.20712e-05       60       40                10               9                1           90                10
BKW01       NONE         HEIGHT       True                       60        0.00129995    0.00130773            1.97612e-05       60       40                10               9                1           90                10
BKW01       NONE         HEIGHT       False                      60        0.00190244    0.00180435            0.000206337       60       40                10               9                1           90                10
BKW01       NONE         WIDTH        True                      100        0.0020637     0.00204301            6.14188e-05      100        0                10              10                0          100                 0
BKW01       NONE         WIDTH        False                      60        0.00180497    0.0018084             3.11782e-05       60       40                10               9                1           90                10
BKW01       NONE         ID           True                       60        0.00167823    0.00166297            2.29764e-05       60       40                10               9                1           90                10
BKW01       NONE         ID           False                      52.75     0.000847721   0.000788927           0.00010252        52.75    47.25             10               7                3           70                30
BKW02       NONE         AREA         True                       85.8667   0.00555429    0.00556469            7.29238e-05       85.8667  14.1333           20              14                6           70                30
BKW02       NONE         AREA         False                      43.5333   0.0119086     0.0118027             0.000177015       43.5333  56.4667           20              15                5           75                25
BKW02       NONE         PERIMETER    True                       89.8667   0.00630503    0.00626159            8.80356e-05       89.8667  10.1333           20              16                4           80                20
BKW02       NONE         PERIMETER    False                      49.9333   0.0107538     0.0107441             5.69052e-05       49.9333  50.0667           20              16                4           80                20
BKW02       NONE         HEIGHT       True                       82        0.00732751    0.00731683            4.43831e-05       82       18                20              17                3           85                15
BKW02       NONE         HEIGHT       False                      59.1333   0.0150655     0.0151417             0.00167501        59.1333  40.8667           20              17                3           85                15
BKW02       NONE         WIDTH        True                       96.5333   0.0157199     0.0150168             0.0016621         96.5333   3.46667          20              18                2           90                10
BKW02       NONE         WIDTH        False                      65.5333   0.0182476     0.0171933             0.00177275        65.5333  34.4667           20              16                4           80                20
BKW02       NONE         ID           True                       64.3333   0.0130246     0.0120792             0.00199152        64.3333  35.6667           20              17                3           85                15
BKW02       NONE         ID           False                      76.8      0.00792232    0.00792456            0.000113198       76.8     23.2              20              17                3           85                15
BKW03       NONE         AREA         True                       93.8      0.0295979     0.0296934             0.000286966       93.8      6.2              30              27                3           90                10
BKW03       NONE         AREA         False                      58.3333   0.0512242     0.0512464             0.000386675       58.3333  41.6667           30              26                4           86.6667           13.3333
BKW03       NONE         PERIMETER    True                       92.6667   0.030483      0.0302041             0.000702706       92.6667   7.33333          30              28                2           93.3333            6.66667
BKW03       NONE         PERIMETER    False                      55.7333   0.0457568     0.0456827             0.00026501        55.7333  44.2667           30              26                4           86.6667           13.3333
BKW03       NONE         HEIGHT       True                       89.7333   0.0259913     0.0258443             0.000273539       89.7333  10.2667           30              25                5           83.3333           16.6667
BKW03       NONE         HEIGHT       False                      51.4667   0.0534011     0.0530753             0.000641138       51.4667  48.5333           30              24                6           80                20
BKW03       NONE         WIDTH        True                       93.8      0.0514221     0.0513835             0.000267273       93.8      6.2              30              26                4           86.6667           13.3333
BKW03       NONE         WIDTH        False                      71.6      0.0559319     0.0554285             0.000931099       71.6     28.4              30              28                2           93.3333            6.66667
BKW03       NONE         ID           True                       78.9333   0.0521503     0.0521169             0.000202722       78.9333  21.0667           30              28                2           93.3333            6.66667
BKW03       NONE         ID           False                      80        0.0343661     0.0330083             0.00184261        80       20                30              28                2           93.3333            6.66667
BKW04       NONE         AREA         True                       96.1875   0.0452466     0.04529               0.000270823       96.1875   3.8125           40              33                7           82.5              17.5
BKW04       NONE         AREA         False                      44.6719   0.114416      0.114925              0.00556402        44.6719  55.3281           40              35                5           87.5              12.5
BKW04       NONE         PERIMETER    True                       95.0625   0.0556697     0.0515587             0.0104959         95.0625   4.9375           40              30               10           75                25
BKW04       NONE         PERIMETER    False                      48.2812   0.13407       0.129769              0.00677663        48.2812  51.7188           40              38                2           95                 5
BKW04       NONE         HEIGHT       True                       94        0.0527213     0.0527265             7.94933e-05       94        6                40              37                3           92.5               7.5
BKW04       NONE         HEIGHT       False                      58.1562   0.103932      0.102144              0.00370686        58.1562  41.8438           40              38                2           95                 5
BKW04       NONE         WIDTH        True                       93.875    0.118128      0.115213              0.00506034        93.875    6.125            40              38                2           95                 5
BKW04       NONE         WIDTH        False                      63.7812   0.154315      0.153907              0.000789928       63.7812  36.2188           40              39                1           97.5               2.5
BKW04       NONE         ID           True                       48.2812   0.0522459     0.0522554             0.000144188       48.2812  51.7188           40              38                2           95                 5
BKW04       NONE         ID           False                      88.7656   0.0849498     0.0818629             0.00568272        88.7656  11.2344           40              37                3           92.5               7.5
BKW05       NONE         AREA         True                       92.05     0.177481      0.177084              0.0018622         92.05     7.95             50              38               12           76                24
BKW05       NONE         AREA         False                      62.75     0.247756      0.245759              0.00419351        62.75    37.25             50              46                4           92                 8
BKW05       NONE         PERIMETER    True                       93.13     0.19128       0.192509              0.0078643         93.13     6.87             50              36               14           72                28
BKW05       NONE         PERIMETER    False                      67.88     0.276854      0.268955              0.0190976         67.88    32.12             50              47                3           94                 6
BKW05       NONE         HEIGHT       True                       80.48     0.201295      0.188862              0.0227721         80.48    19.52             50              45                5           90                10
BKW05       NONE         HEIGHT       False                      62.59     0.288999      0.294411              0.0135754         62.59    37.41             50              46                4           92                 8
BKW05       NONE         WIDTH        True                       93.56     0.193728      0.192913              0.00165758        93.56     6.44             50              38               12           76                24
BKW05       NONE         WIDTH        False                      59.57     0.282892      0.282608              0.00153101        59.57    40.43             50              45                5           90                10
BKW05       NONE         ID           True                       67.88     0.236274      0.235473              0.00124915        67.88    32.12             50              47                3           94                 6
BKW05       NONE         ID           False                      88.04     0.156715      0.156714              0.000210655       88.04    11.96             50              46                4           92                 8
BKW06       NONE         AREA         True                       96.94     0.161368      0.160609              0.00130393        96.94     3.06             60              47               13           78.3333           21.6667
BKW06       NONE         AREA         False                      56.9      0.386329      0.383765              0.00540965        56.9     43.1              60              54                6           90                10
BKW06       NONE         PERIMETER    True                       97.38     0.181329      0.181142              0.00107156        97.38     2.62             60              49               11           81.6667           18.3333
BKW06       NONE         PERIMETER    False                      60        0.400375      0.399458              0.00251136        60       40                60              55                5           91.6667            8.33333
BKW06       NONE         HEIGHT       True                       72.5      0.168962      0.168763              0.0011633         72.5     27.5              60              55                5           91.6667            8.33333
BKW06       NONE         HEIGHT       False                      57.88     0.367675      0.366079              0.00461631        57.88    42.12             60              55                5           91.6667            8.33333
BKW06       NONE         WIDTH        True                       98.14     0.360116      0.359759              0.00200021        98.14     1.86             60              57                3           95                 5
BKW06       NONE         WIDTH        False                      42.5      0.410012      0.409719              0.000661396       42.5     57.5              60              53                7           88.3333           11.6667
BKW06       NONE         ID           True                       63        0.294715      0.293851              0.0018042         63       37                60              56                4           93.3333            6.66667
BKW06       NONE         ID           False                      72.5      0.244765      0.244015              0.00495065        72.5     27.5              60              55                5           91.6667            8.33333
BKW07       NONE         AREA         True                       90.2375   0.314977      0.315251              0.00149347        90.2375   9.7625           70              67                3           95.7143            4.28571
BKW07       NONE         AREA         False                      50.2875   0.657058      0.659514              0.00881721        50.2875  49.7125           70              65                5           92.8571            7.14286
BKW07       NONE         PERIMETER    True                       91.5875   0.234417      0.233835              0.00104207        91.5875   8.4125           70              65                5           92.8571            7.14286
