Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY   AREA         True                      100        7.48158e-05  6.69956e-05           1.36698e-05      100        0                10              10                0          100                 0
BKW01       VERTICALLY   AREA         False                      60        8.36372e-05  8.17776e-05           6.26347e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY   PERIMETER    True                      100        7.13348e-05  6.98566e-05           5.19381e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY   PERIMETER    False                      60        8.48293e-05  8.22544e-05           5.44389e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY   HEIGHT       True                       60        9.05037e-05  8.79765e-05           5.93198e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY   HEIGHT       False                      24        8.14438e-05  7.9155e-05            5.59466e-06       24       76                10               8                2           80                20
BKW01       VERTICALLY   WIDTH        True                      100        6.16074e-05  5.93662e-05           5.11706e-06      100        0                10              10                0          100                 0
BKW01       VERTICALLY   WIDTH        False                      60        8.61168e-05  8.24928e-05           6.82294e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY   ID           True                       60        0.000102329  0.000100136           6.35715e-06       60       40                10               9                1           90                10
BKW01       VERTICALLY   ID           False                      60        0.000102139  9.91821e-05           6.19631e-06       60       40                10               9                1           90                10
BKW02       VERTICALLY   AREA         True                       61        0.000150204  0.000147104           8.2052e-06        61       39                20              14                6           70                30
BKW02       VERTICALLY   AREA         False                      29.1333   0.000172043  0.000181437           2.52195e-05       29.1333  70.8667           20              12                8           60                40
BKW02       VERTICALLY   PERIMETER    True                       63.4      0.000176191  0.000165939           2.29744e-05       63.4     36.6              20              15                5           75                25
BKW02       VERTICALLY   PERIMETER    False                      29.1333   0.000126314  0.000122309           7.09094e-06       29.1333  70.8667           20              12                8           60                40
BKW02       VERTICALLY   HEIGHT       True                       57.2667   0.000154543  0.000150919           9.1304e-06        57.2667  42.7333           20              13                7           65                35
BKW02       VERTICALLY   HEIGHT       False                      34.2      0.00014596   0.000140429           7.67308e-06       34.2     65.8              20              13                7           65                35
BKW02       VERTICALLY   WIDTH        True                       81.0667   0.000174713  0.000168085           1.85179e-05       81.0667  18.9333           20              18                2           90                10
BKW02       VERTICALLY   WIDTH        False                      26.7333   0.000114441  0.00011301            8.06546e-06       26.7333  73.2667           20              11                9           55                45
BKW02       VERTICALLY   ID           True                       40.7333   0.000146866  0.000139236           1.57753e-05       40.7333  59.2667           20              13                7           65                35
BKW02       VERTICALLY   ID           False                      57.4667   0.000182724  0.000189304           2.30932e-05       57.4667  42.5333           20              12                8           60                40
BKW03       VERTICALLY   AREA         True                       84.1333   0.00022397   0.000221014           7.99694e-06       84.1333  15.8667           30              23                7           76.6667           23.3333
BKW03       VERTICALLY   AREA         False                      52        0.000246668  0.000243902           9.21493e-06       52       48                30              24                6           80                20
BKW03       VERTICALLY   PERIMETER    True                       80.1333   0.000243568  0.000252008           1.33076e-05       80.1333  19.8667           30              22                8           73.3333           26.6667
BKW03       VERTICALLY   PERIMETER    False                      52        0.000219727  0.000217438           9.25924e-06       52       48                30              24                6           80                20
BKW03       VERTICALLY   HEIGHT       True                       75.4667   0.000232983  0.000226498           1.09998e-05       75.4667  24.5333           30              22                8           73.3333           26.6667
BKW03       VERTICALLY   HEIGHT       False                      55.3333   0.000254726  0.000249147           1.4165e-05        55.3333  44.6667           30              25                5           83.3333           16.6667
BKW03       VERTICALLY   WIDTH        True                       88.6      0.000239754  0.000235558           9.5315e-06        88.6     11.4              30              24                6           80                20
BKW03       VERTICALLY   WIDTH        False                      52        0.000226974  0.000221491           8.9691e-06        52       48                30              24                6           80                20
BKW03       VERTICALLY   ID           True                       65.9333   0.000240564  0.000235081           1.22604e-05       65.9333  34.0667           30              25                5           83.3333           16.6667
BKW03       VERTICALLY   ID           False                      66.4      0.000255013  0.000249624           1.17901e-05       66.4     33.6              30              25                5           83.3333           16.6667
BKW04       VERTICALLY   AREA         True                       91.0781   0.000413847  0.000410795           1.0146e-05        91.0781   8.92188          40              34                6           85                15
BKW04       VERTICALLY   AREA         False                      46.2812   0.000360441  0.000358343           1.0253e-05        46.2812  53.7188           40              37                3           92.5               7.5
BKW04       VERTICALLY   PERIMETER    True                       93.4062   0.00041132   0.000406504           1.45583e-05       93.4062   6.59375          40              36                4           90                10
BKW04       VERTICALLY   PERIMETER    False                      44.4688   0.000353956  0.000350714           1.30879e-05       44.4688  55.5312           40              36                4           90                10
BKW04       VERTICALLY   HEIGHT       True                       88.4375   0.000381422  0.00037837            8.31312e-06       88.4375  11.5625           40              32                8           80                20
BKW04       VERTICALLY   HEIGHT       False                      48.2812   0.000416327  0.000407219           1.60924e-05       48.2812  51.7188           40              38                2           95                 5
BKW04       VERTICALLY   WIDTH        True                       94.5      0.000481224  0.000481844           9.39575e-06       94.5      5.5              40              35                5           87.5              12.5
BKW04       VERTICALLY   WIDTH        False                      42.2812   0.000336885  0.000328064           1.29248e-05       42.2812  57.7188           40              35                5           87.5              12.5
BKW04       VERTICALLY   ID           True                       46.2812   0.000394678  0.000390768           1.26892e-05       46.2812  53.7188           40              37                3           92.5               7.5
BKW04       VERTICALLY   ID           False                      81.5938   0.000416422  0.000408173           1.72544e-05       81.5938  18.4062           40              34                6           85                15
