Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         VERTICALLY    AREA         False                      56.6071   8.91685e-05  8.60691e-05           7.47282e-06       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         VERTICALLY    PERIMETER    False                      56.6071   9.00745e-05  8.7738e-05            5.92008e-06       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         VERTICALLY    HEIGHT       False                      74.75     8.81195e-05  8.60691e-05           5.25949e-06       74.75     25.25            23               9               14           39.1304            60.8696
OF1         VERTICALLY    WIDTH        False                      85.8571   0.000110388  0.000107527           5.25603e-06       85.8571   14.1429          23               8               15           34.7826            65.2174
OF1         VERTICALLY    ID           False                      78.75     0.000104761  0.000102043           6.38428e-06       78.75     21.25            23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  AREA         False                      56.2143   9.57012e-05  9.27448e-05           5.31112e-06       56.2143   43.7857          23               7               16           30.4348            69.5652
OF1         HORIZONTALLY  PERIMETER    False                      70.7143   0.000101662  9.799e-05             6.80993e-06       70.7143   29.2857          23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  HEIGHT       False                      58.1429   8.58784e-05  8.39233e-05           4.84969e-06       58.1429   41.8571          23               6               17           26.087             73.913
OF1         HORIZONTALLY  WIDTH        False                      85.8571   9.25541e-05  9.01222e-05           5.77426e-06       85.8571   14.1429          23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  ID           False                      60.25     8.06332e-05  7.7486e-05            6.90904e-06       60.25     39.75            23               6               17           26.087             73.913
OF1         MAX_AREA      AREA         False                      56.6071   0.000204086  0.000200272           1.08725e-05       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         MAX_AREA      PERIMETER    False                      56.6071   0.000185156  0.000181913           9.19641e-06       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         MAX_AREA      HEIGHT       False                      64.4286   0.00017972   0.000174761           1.0976e-05        64.4286   35.5714          23               7               16           30.4348            69.5652
OF1         MAX_AREA      WIDTH        False                      85.8571   0.000205135  0.000203371           8.02958e-06       85.8571   14.1429          23               8               15           34.7826            65.2174
OF1         MAX_AREA      ID           False                      69.1786   0.000281477  0.000277042           8.95718e-06       69.1786   30.8214          23               8               15           34.7826            65.2174
OF1         NONE          AREA         False                      56.6071   0.00387659   0.0038693             2.77414e-05       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         NONE          PERIMETER    False                      56.6071   0.00546713   0.00545335            4.71395e-05       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         NONE          HEIGHT       False                      64.4286   0.00351505   0.00350738            1.4675e-05        64.4286   35.5714          23               7               16           30.4348            69.5652
OF1         NONE          WIDTH        False                      89        0.00117393   0.00117445            4.719e-06         89        11               23               9               14           39.1304            60.8696
OF1         NONE          ID           False                      78.75     0.00174804   0.00174832            2.8824e-06        78.75     21.25            23               8               15           34.7826            65.2174
OF2         VERTICALLY    AREA         False                      62.8214   9.15051e-05  8.96454e-05           5.22436e-06       62.8214   37.1786          24               8               16           33.3333            66.6667
OF2         VERTICALLY    PERIMETER    False                      76.0714   0.000100279  9.82285e-05           5.57023e-06       76.0714   23.9286          24               9               15           37.5               62.5
OF2         VERTICALLY    HEIGHT       False                      78.5714   0.000110722  0.000115871           1.03536e-05       78.5714   21.4286          24               9               15           37.5               62.5
OF2         VERTICALLY    WIDTH        False                      54.75     8.39233e-05  8.08239e-05           5.71409e-06       54.75     45.25            24               6               18           25                 75
OF2         VERTICALLY    ID           False                      82.4643   9.01699e-05  8.58307e-05           7.07007e-06       82.4643   17.5357          24               7               17           29.1667            70.8333
OF2         HORIZONTALLY  AREA         False                      50.2857   9.69887e-05  9.32217e-05           6.25439e-06       50.2857   49.7143          24               7               17           29.1667            70.8333
OF2         HORIZONTALLY  PERIMETER    False                      50.2857   9.68933e-05  9.27448e-05           6.68355e-06       50.2857   49.7143          24               7               17           29.1667            70.8333
OF2         HORIZONTALLY  HEIGHT       False                      35.4286   8.13961e-05  7.96318e-05           4.67592e-06       35.4286   64.5714          24               5               19           20.8333            79.1667
OF2         HORIZONTALLY  WIDTH        False                      79.6071   0.000101852  9.91821e-05           7.16748e-06       79.6071   20.3929          24               9               15           37.5               62.5
OF2         HORIZONTALLY  ID           False                      82.7143   8.18253e-05  7.86781e-05           6.45828e-06       82.7143   17.2857          24               7               17           29.1667            70.8333
OF2         MAX_AREA      AREA         False                      50.2857   0.000174618  0.0001688             1.24733e-05       50.2857   49.7143          24               7               17           29.1667            70.8333
OF2         MAX_AREA      PERIMETER    False                      50.2857   0.000174189  0.000172615           8.11128e-06       50.2857   49.7143          24               7               17           29.1667            70.8333
OF2         MAX_AREA      HEIGHT       False                      49.7143   0.000156784  0.000154018           8.54138e-06       49.7143   50.2857          24               6               18           25                 75
OF2         MAX_AREA      WIDTH        False                      54.75     0.000154829  0.000153542           5.87226e-06       54.75     45.25            24               6               18           25                 75
OF2         MAX_AREA      ID           False                      82.4643   0.000161219  0.000157356           9.50737e-06       82.4643   17.5357          24               7               17           29.1667            70.8333
OF2         NONE          AREA         False                      75.3571   0.00522213   0.00523853            2.93824e-05       75.3571   24.6429          24               9               15           37.5               62.5
OF2         NONE          PERIMETER    False                      63.1786   0.0049437    0.00478625            0.000326128       63.1786   36.8214          24               8               16           33.3333            66.6667
OF2         NONE          HEIGHT       False                      64.5714   0.00526438   0.00526452            7.44324e-06       64.5714   35.4286          24               8               16           33.3333            66.6667
OF2         NONE          WIDTH        False                      71.3214   0.00245285   0.00245667            9.44691e-06       71.3214   28.6786          24               8               16           33.3333            66.6667
OF2         NONE          ID           False                      82.4643   0.00188279   0.00187635            1.34507e-05       82.4643   17.5357          24               7               17           29.1667            70.8333
OKP1        VERTICALLY    AREA         False                      65.74     0.000409698  0.000404119           1.10495e-05       65.74     34.26            50              24               26           48                 52
OKP1        VERTICALLY    PERIMETER    False                      59.86     0.000396442  0.000393391           8.31312e-06       59.86     40.14            50              23               27           46                 54
OKP1        VERTICALLY    HEIGHT       False                      91.38     0.000209093  0.000207186           6.67061e-06       91.38      8.62            50              21               29           42                 58
OKP1        VERTICALLY    WIDTH        False                      65.74     0.000423241  0.000419855           9.36035e-06       65.74     34.26            50              24               26           48                 52
OKP1        VERTICALLY    ID           False                      82.12     0.000408983  0.000407219           1.1108e-05        82.12     17.88            50              23               27           46                 54
OKP1        HORIZONTALLY  AREA         False                      58.66     0.000250721  0.00024581            9.96875e-06       58.66     41.34            50              21               29           42                 58
OKP1        HORIZONTALLY  PERIMETER    False                      57.92     0.000238132  0.000234365           9.4978e-06        57.92     42.08            50              19               31           38                 62
OKP1        HORIZONTALLY  HEIGHT       False                      69.32     0.000118637  0.000116587           5.56818e-06       69.32     30.68            50              13               37           26                 74
OKP1        HORIZONTALLY  WIDTH        False                      61.06     0.000283718  0.000280857           8.61216e-06       61.06     38.94            50              24               26           48                 52
OKP1        HORIZONTALLY  ID           False                      68.56     0.000196552  0.000193119           7.61836e-06       68.56     31.44            50              17               33           34                 66
OKP1        MAX_AREA      AREA         False                      67.06     0.000705147  0.000698328           1.71612e-05       67.06     32.94            50              25               25           50                 50
OKP1        MAX_AREA      PERIMETER    False                      67.16     0.000505877  0.000495911           1.53037e-05       67.16     32.84            50              17               33           34                 66
OKP1        MAX_AREA      HEIGHT       False                      78.56     0.000295877  0.000293255           8.76265e-06       78.56     21.44            50              15               35           30                 70
OKP1        MAX_AREA      WIDTH        False                      65.74     0.000680542  0.000670433           2.06259e-05       65.74     34.26            50              24               26           48                 52
OKP1        MAX_AREA      ID           False                      62.66     0.000575829  0.00057435            1.69505e-05       62.66     37.34            50              20               30           40                 60
OKP1        NONE          AREA         False                      67.06     0.021143     0.0210521             0.000247968       67.06     32.94            50              25               25           50                 50
OKP1        NONE          PERIMETER    False                      65.92     0.0223252    0.0224469             0.00022057        65.92     34.08            50              25               25           50                 50
OKP1        NONE          HEIGHT       False                      91.38     0.00668344   0.00661278            9.99377e-05       91.38      8.62            50              21               29           42                 58
OKP1        NONE          WIDTH        False                      65.74     0.0228897    0.0229747             0.000436613       65.74     34.26            50              24               26           48                 52
OKP1        NONE          ID           False                      92.12     0.0185555    0.0185151             0.000101494       92.12      7.88            50              25               25           50                 50
OKP2        VERTICALLY    AREA         False                      57.02     0.000196171  0.000193596           1.24448e-05       57.02     42.98            30              12               18           40                 60
OKP2        VERTICALLY    PERIMETER    False                      67.76     0.000207376  0.00020504            7.35072e-06       67.76     32.24            30              13               17           43.3333            56.6667
OKP2        VERTICALLY    HEIGHT       False                      77.02     0.000178432  0.00017643            6.73439e-06       77.02     22.98            30              12               18           40                 60
OKP2        VERTICALLY    WIDTH        False                      68.24     0.000195789  0.000193357           6.99083e-06       68.24     31.76            30              12               18           40                 60
OKP2        VERTICALLY    ID           False                      70.42     0.000163507  0.000161409           7.59864e-06       70.42     29.58            30              11               19           36.6667            63.3333
OKP2        HORIZONTALLY  AREA         False                      51.7      0.000173235  0.000160694           2.2436e-05        51.7      48.3             30              10               20           33.3333            66.6667
OKP2        HORIZONTALLY  PERIMETER    False                      41.18     0.000108767  0.000106812           6.01533e-06       41.18     58.82            30               7               23           23.3333            76.6667
OKP2        HORIZONTALLY  HEIGHT       False                      55.62     9.59396e-05  9.39369e-05           5.40658e-06       55.62     44.38            30               7               23           23.3333            76.6667
OKP2        HORIZONTALLY  WIDTH        False                      51.7      0.000155258  0.000152588           7.04913e-06       51.7      48.3             30              10               20           33.3333            66.6667
