Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT02      VERTICALLY    AREA         True                       75.976    4.01974e-05  3.76701e-05           4.95911e-06       75.976    24.024           20               3               17                15                 85
GCUT02      VERTICALLY    AREA         False                      29.5232   4.23908e-05  4.07696e-05           4.36612e-06       29.5232   70.4768          20               3               17                15                 85
GCUT02      VERTICALLY    PERIMETER    True                       75.976    4.04358e-05  3.83854e-05           4.7243e-06        75.976    24.024           20               3               17                15                 85
GCUT02      VERTICALLY    PERIMETER    False                      50.1248   5.53131e-05  5.36442e-05           3.59056e-06       50.1248   49.8752          20               4               16                20                 80
GCUT02      VERTICALLY    HEIGHT       True                       60.1696   3.2568e-05   3.0756e-05            4.50504e-06       60.1696   39.8304          20               2               18                10                 90
GCUT02      VERTICALLY    HEIGHT       False                      46.0144   5.35965e-05  5.17368e-05           4.61425e-06       46.0144   53.9856          20               4               16                20                 80
GCUT02      VERTICALLY    WIDTH        True                       67.6032   4.35352e-05  4.12464e-05           4.79595e-06       67.6032   32.3968          20               3               17                15                 85
GCUT02      VERTICALLY    WIDTH        False                      39.1968   4.25816e-05  4.05312e-05           3.73215e-06       39.1968   60.8032          20               3               17                15                 85
GCUT02      VERTICALLY    ID           True                       69.6704   5.12123e-05  4.86374e-05           5.88155e-06       69.6704   30.3296          20               4               16                20                 80
GCUT02      VERTICALLY    ID           False                      56.8624   5.57899e-05  5.34058e-05           4.9209e-06        56.8624   43.1376          20               4               16                20                 80
GCUT02      HORIZONTALLY  AREA         True                       65.656    3.29018e-05  3.12328e-05           3.51051e-06       65.656    34.344           20               2               18                10                 90
GCUT02      HORIZONTALLY  AREA         False                      56.2416   7.13348e-05  6.98566e-05           4.91027e-06       56.2416   43.7584          20               5               15                25                 75
GCUT02      HORIZONTALLY  PERIMETER    True                       65.656    3.33309e-05  3.09944e-05           4.57217e-06       65.656    34.344           20               2               18                10                 90
GCUT02      HORIZONTALLY  PERIMETER    False                      63.64     7.45773e-05  7.1764e-05            4.57962e-06       63.64     36.36            20               5               15                25                 75
GCUT02      HORIZONTALLY  HEIGHT       True                       60.1696   3.35217e-05  3.17097e-05           3.68308e-06       60.1696   39.8304          20               2               18                10                 90
GCUT02      HORIZONTALLY  HEIGHT       False                      44.344    4.58717e-05  4.48227e-05           3.35349e-06       44.344    55.656           20               3               17                15                 85
GCUT02      HORIZONTALLY  WIDTH        True                       68.1568   5.53131e-05  5.29289e-05           6.05414e-06       68.1568   31.8432          20               4               16                20                 80
GCUT02      HORIZONTALLY  WIDTH        False                      56.2416   7.24792e-05  7.05719e-05           5.21696e-06       56.2416   43.7584          20               5               15                25                 75
GCUT02      HORIZONTALLY  ID           True                       76.7008   7.0715e-05   6.8903e-05            4.26656e-06       76.7008   23.2992          20               5               15                25                 75
GCUT02      HORIZONTALLY  ID           False                      56.8624   5.76973e-05  5.55515e-05           4.32584e-06       56.8624   43.1376          20               4               16                20                 80
GCUT02      MAX_AREA      AREA         True                       77.6864   7.88212e-05  7.51019e-05           6.88134e-06       77.6864   22.3136          20               3               17                15                 85
GCUT02      MAX_AREA      AREA         False                      41.5536   0.000104761  0.000104427           5.83926e-06       41.5536   58.4464          20               4               16                20                 80
GCUT02      MAX_AREA      PERIMETER    True                       77.6864   7.55787e-05  7.36713e-05           5.48259e-06       77.6864   22.3136          20               3               17                15                 85
GCUT02      MAX_AREA      PERIMETER    False                      41.5536   0.00010128   9.84669e-05           7.15319e-06       41.5536   58.4464          20               4               16                20                 80
GCUT02      MAX_AREA      HEIGHT       True                       60.1696   5.75542e-05  5.50747e-05           5.65731e-06       60.1696   39.8304          20               2               18                10                 90
GCUT02      MAX_AREA      HEIGHT       False                      54.664    0.000102949  9.98974e-05           6.88266e-06       54.664    45.336           20               4               16                20                 80
GCUT02      MAX_AREA      WIDTH        True                       68.1568   9.99451e-05  9.56059e-05           9.08547e-06       68.1568   31.8432          20               4               16                20                 80
GCUT02      MAX_AREA      WIDTH        False                      39.1968   7.82013e-05  7.77245e-05           6.84224e-06       39.1968   60.8032          20               3               17                15                 85
GCUT02      MAX_AREA      ID           True                       69.984    0.000102472  9.9659e-05            6.89092e-06       69.984    30.016           20               4               16                20                 80
GCUT02      MAX_AREA      ID           False                      73.8544   0.000122595  0.000118494           8.71634e-06       73.8544   26.1456          20               5               15                25                 75
GCUT02      NONE          AREA         True                       77.6864   0.000129843  0.000126362           6.3396e-06        77.6864   22.3136          20               3               17                15                 85
GCUT02      NONE          AREA         False                      56.2416   0.00127311   0.00127149            8.4353e-06        56.2416   43.7584          20               5               15                25                 75
GCUT02      NONE          PERIMETER    True                       77.6864   0.000129747  0.000126123           7.01032e-06       77.6864   22.3136          20               3               17                15                 85
GCUT02      NONE          PERIMETER    False                      76.2352   0.00133896   0.001333              1.48288e-05       76.2352   23.7648          20               6               14                30                 70
GCUT02      NONE          HEIGHT       True                       72.2      0.000128031  0.000125408           6.07102e-06       72.2      27.8             20               3               17                15                 85
GCUT02      NONE          HEIGHT       False                      54.664    0.000774622  0.000771046           1.46894e-05       54.664    45.336           20               4               16                20                 80
GCUT02      NONE          WIDTH        True                       68.1568   0.00035162   0.000349283           5.51649e-06       68.1568   31.8432          20               4               16                20                 80
GCUT02      NONE          WIDTH        False                      50.1248   0.000846434  0.000844002           4.02186e-06       50.1248   49.8752          20               4               16                20                 80
GCUT02      NONE          ID           True                       69.984    0.000656366  0.000654697           8.01881e-06       69.984    30.016           20               4               16                20                 80
GCUT02      NONE          ID           False                      56.8624   0.000451708  0.00045085            8.50403e-06       56.8624   43.1376          20               4               16                20                 80
