Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT03      VERTICALLY    AREA         False                      54.9824   7.96318e-05  8.01086e-05           5.24738e-06       54.9824   45.0176          30               5               25           16.6667            83.3333
GCUT03      VERTICALLY    PERIMETER    False                      68.3104   9.47475e-05  9.34601e-05           5.55183e-06       68.3104   31.6896          30               6               24           20                 80
GCUT03      VERTICALLY    HEIGHT       False                      72.8752   7.84397e-05  7.48634e-05           5.96714e-06       72.8752   27.1248          30               5               25           16.6667            83.3333
GCUT03      VERTICALLY    WIDTH        False                      40.2928   5.04017e-05  5.03063e-05           4.0196e-06        40.2928   59.7072          30               3               27           10                 90
GCUT03      VERTICALLY    ID           False                      66.1776   6.35147e-05  6.10352e-05           4.87821e-06       66.1776   33.8224          30               4               26           13.3333            86.6667
GCUT03      HORIZONTALLY  AREA         False                      61.6464   7.71046e-05  7.53403e-05           6.95202e-06       61.6464   38.3536          30               5               25           16.6667            83.3333
GCUT03      HORIZONTALLY  PERIMETER    False                      61.6464   8.08716e-05  7.77245e-05           7.1325e-06        61.6464   38.3536          30               5               25           16.6667            83.3333
GCUT03      HORIZONTALLY  HEIGHT       False                      36.6032   5.77927e-05  5.50747e-05           4.35099e-06       36.6032   63.3968          30               3               27           10                 90
GCUT03      HORIZONTALLY  WIDTH        False                      49.6064   6.96659e-05  6.65188e-05           6.60966e-06       49.6064   50.3936          30               4               26           13.3333            86.6667
GCUT03      HORIZONTALLY  ID           False                      57.9184   8.64983e-05  8.39233e-05           6.6234e-06        57.9184   42.0816          30               4               26           13.3333            86.6667
GCUT03      MAX_AREA      AREA         False                      41.5568   0.00011282   0.000108719           9.53603e-06       41.5568   58.4432          30               4               26           13.3333            86.6667
GCUT03      MAX_AREA      PERIMETER    False                      41.5568   0.00011158   0.000107288           9.37807e-06       41.5568   58.4432          30               4               26           13.3333            86.6667
GCUT03      MAX_AREA      HEIGHT       False                      56.2256   0.000108862  0.000106335           6.44983e-06       56.2256   43.7744          30               4               26           13.3333            86.6667
GCUT03      MAX_AREA      WIDTH        False                      58.9504   0.000113916  0.00011301            5.80763e-06       58.9504   41.0496          30               4               26           13.3333            86.6667
GCUT03      MAX_AREA      ID           False                      66.1776   0.000105906  0.000101805           8.44069e-06       66.1776   33.8224          30               4               26           13.3333            86.6667
GCUT03      NONE          AREA         False                      67.7792   0.00358415   0.00360918            3.82678e-05       67.7792   32.2208          30               6               24           20                 80
GCUT03      NONE          PERIMETER    False                      68.104    0.00317931   0.00317574            1.22e-05          68.104    31.896           30               6               24           20                 80
GCUT03      NONE          HEIGHT       False                      56.2256   0.00131464   0.0012517             8.10066e-05       56.2256   43.7744          30               4               26           13.3333            86.6667
GCUT03      NONE          WIDTH        False                      58.9504   0.0006392    0.000638962           6.12694e-06       58.9504   41.0496          30               4               26           13.3333            86.6667
GCUT03      NONE          ID           False                      57.9184   0.00121841   0.00121522            1.48247e-05       57.9184   42.0816          30               4               26           13.3333            86.6667
