Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT01      VERTICALLY    AREA         True                       77.3888   3.74317e-05  3.50475e-05           7.11591e-06       77.3888   22.6112          10               3                7          30                  70
GCUT01      VERTICALLY    AREA         False                      62.0688   4.87804e-05  4.76837e-05           4.70742e-06       62.0688   37.9312          10               4                6          40                  60
GCUT01      HORIZONTALLY  AREA         True                       67.7568   3.30925e-05  2.40803e-05           1.94661e-05       67.7568   32.2432          10               2                8          20                  80
GCUT01      HORIZONTALLY  AREA         False                      43.8528   3.87669e-05  3.71933e-05           3.34331e-06       43.8528   56.1472          10               3                7          30                  70
GCUT01      MAX_AREA      AREA         True                       77.3888   7.01427e-05  6.84261e-05           8.51845e-06       77.3888   22.6112          10               3                7          30                  70
GCUT01      MAX_AREA      AREA         False                      62.0688   9.4986e-05   9.03606e-05           8.04937e-06       62.0688   37.9312          10               4                6          40                  60
GCUT01      NONE          AREA         True                       77.3888   0.00012126   0.00011611            1.12877e-05       77.3888   22.6112          10               3                7          30                  70
GCUT01      NONE          AREA         False                      62.0688   0.000469971  0.000468969           7.78341e-06       62.0688   37.9312          10               4                6          40                  60
GCUT02      VERTICALLY    AREA         True                       75.976    4.01974e-05  3.76701e-05           4.95911e-06       75.976    24.024           20               3               17          15                  85
GCUT02      VERTICALLY    AREA         False                      29.5232   4.23908e-05  4.07696e-05           4.36612e-06       29.5232   70.4768          20               3               17          15                  85
GCUT02      HORIZONTALLY  AREA         True                       65.656    3.29018e-05  3.12328e-05           3.51051e-06       65.656    34.344           20               2               18          10                  90
GCUT02      HORIZONTALLY  AREA         False                      56.2416   7.13348e-05  6.98566e-05           4.91027e-06       56.2416   43.7584          20               5               15          25                  75
GCUT02      MAX_AREA      AREA         True                       77.6864   7.88212e-05  7.51019e-05           6.88134e-06       77.6864   22.3136          20               3               17          15                  85
GCUT02      MAX_AREA      AREA         False                      41.5536   0.000104761  0.000104427           5.83926e-06       41.5536   58.4464          20               4               16          20                  80
