Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT01      HORIZONTALLY  AREA         True                       67.7568   3.30925e-05  2.40803e-05           1.94661e-05       67.7568   32.2432          10               2                8          20                  80
GCUT01      HORIZONTALLY  AREA         False                      43.8528   3.87669e-05  3.71933e-05           3.34331e-06       43.8528   56.1472          10               3                7          30                  70
GCUT01      HORIZONTALLY  PERIMETER    True                       67.3808   2.70367e-05  2.55108e-05           3.05548e-06       67.3808   32.6192          10               2                8          20                  80
GCUT01      HORIZONTALLY  PERIMETER    False                      43.8528   3.94344e-05  3.8147e-05            3.98266e-06       43.8528   56.1472          10               3                7          30                  70
GCUT01      HORIZONTALLY  HEIGHT       True                       67.3808   2.80857e-05  2.69413e-05           3.39661e-06       67.3808   32.6192          10               2                8          20                  80
GCUT01      HORIZONTALLY  HEIGHT       False                      31.1552   2.9707e-05   2.88486e-05           4.04216e-06       31.1552   68.8448          10               2                8          20                  80
GCUT01      HORIZONTALLY  WIDTH        True                       67.7568   2.57015e-05  2.38419e-05           4.56221e-06       67.7568   32.2432          10               2                8          20                  80
GCUT01      HORIZONTALLY  WIDTH        False                      43.8528   4.03404e-05  3.79086e-05           4.25268e-06       43.8528   56.1472          10               3                7          30                  70
GCUT01      HORIZONTALLY  ID           True                       47.4752   4.11987e-05  3.71933e-05           6.50389e-06       47.4752   52.5248          10               3                7          30                  70
GCUT01      HORIZONTALLY  ID           False                      67.7568   2.40803e-05  2.24113e-05           3.68432e-06       67.7568   32.2432          10               2                8          20                  80
GCUT02      HORIZONTALLY  AREA         True                       65.656    3.29018e-05  3.12328e-05           3.51051e-06       65.656    34.344           20               2               18          10                  90
GCUT02      HORIZONTALLY  AREA         False                      56.2416   7.13348e-05  6.98566e-05           4.91027e-06       56.2416   43.7584          20               5               15          25                  75
GCUT02      HORIZONTALLY  PERIMETER    True                       65.656    3.33309e-05  3.09944e-05           4.57217e-06       65.656    34.344           20               2               18          10                  90
GCUT02      HORIZONTALLY  PERIMETER    False                      63.64     7.45773e-05  7.1764e-05            4.57962e-06       63.64     36.36            20               5               15          25                  75
GCUT02      HORIZONTALLY  HEIGHT       True                       60.1696   3.35217e-05  3.17097e-05           3.68308e-06       60.1696   39.8304          20               2               18          10                  90
GCUT02      HORIZONTALLY  HEIGHT       False                      44.344    4.58717e-05  4.48227e-05           3.35349e-06       44.344    55.656           20               3               17          15                  85
GCUT02      HORIZONTALLY  WIDTH        True                       68.1568   5.53131e-05  5.29289e-05           6.05414e-06       68.1568   31.8432          20               4               16          20                  80
GCUT02      HORIZONTALLY  WIDTH        False                      56.2416   7.24792e-05  7.05719e-05           5.21696e-06       56.2416   43.7584          20               5               15          25                  75
GCUT02      HORIZONTALLY  ID           True                       76.7008   7.0715e-05   6.8903e-05            4.26656e-06       76.7008   23.2992          20               5               15          25                  75
GCUT02      HORIZONTALLY  ID           False                      56.8624   5.76973e-05  5.55515e-05           4.32584e-06       56.8624   43.1376          20               4               16          20                  80
GCUT03      HORIZONTALLY  AREA         True                       87.016    5.87463e-05  5.74589e-05           4.70501e-06       87.016    12.984           30               4               26          13.3333             86.6667
GCUT03      HORIZONTALLY  AREA         False                      61.6464   7.71046e-05  7.53403e-05           6.95202e-06       61.6464   38.3536          30               5               25          16.6667             83.3333
GCUT03      HORIZONTALLY  PERIMETER    True                       93.5504   6.18935e-05  5.96046e-05           4.9797e-06        93.5504    6.4496          30               4               26          13.3333             86.6667
GCUT03      HORIZONTALLY  PERIMETER    False                      61.6464   8.08716e-05  7.77245e-05           7.1325e-06        61.6464   38.3536          30               5               25          16.6667             83.3333
GCUT03      HORIZONTALLY  HEIGHT       True                       68.152    5.58853e-05  5.4121e-05            4.51512e-06       68.152    31.848           30               3               27          10                  90
GCUT03      HORIZONTALLY  HEIGHT       False                      36.6032   5.77927e-05  5.50747e-05           4.35099e-06       36.6032   63.3968          30               3               27          10                  90
GCUT03      HORIZONTALLY  WIDTH        True                       75.7456   6.27518e-05  6.00815e-05           4.52468e-06       75.7456   24.2544          30               4               26          13.3333             86.6667
GCUT03      HORIZONTALLY  WIDTH        False                      49.6064   6.96659e-05  6.65188e-05           6.60966e-06       49.6064   50.3936          30               4               26          13.3333             86.6667
GCUT03      HORIZONTALLY  ID           True                       56.0832   6.74725e-05  6.48499e-05           5.06885e-06       56.0832   43.9168          30               4               26          13.3333             86.6667
GCUT03      HORIZONTALLY  ID           False                      57.9184   8.64983e-05  8.39233e-05           6.6234e-06        57.9184   42.0816          30               4               26          13.3333             86.6667
GCUT04      HORIZONTALLY  AREA         True                       83.6768   6.53744e-05  6.12736e-05           1.02386e-05       83.6768   16.3232          50               3               47           6                  94
GCUT04      HORIZONTALLY  AREA         False                      71.9872   0.000146818  0.000143051           7.55061e-06       71.9872   28.0128          50               7               43          14                  86
GCUT04      HORIZONTALLY  PERIMETER    True                       83.6768   6.11782e-05  5.81741e-05           5.58246e-06       83.6768   16.3232          50               3               47           6                  94
GCUT04      HORIZONTALLY  PERIMETER    False                      54.7504   0.000130653  0.000127792           6.14732e-06       54.7504   45.2496          50               6               44          12                  88
GCUT04      HORIZONTALLY  HEIGHT       True                       82.728    7.10487e-05  6.50883e-05           1.14907e-05       82.728    17.272           50               4               46           8                  92
GCUT04      HORIZONTALLY  HEIGHT       False                      34.8656   7.44343e-05  7.29561e-05           5.49378e-06       34.8656   65.1344          50               3               47           6                  94
GCUT04      HORIZONTALLY  WIDTH        True                       96.1424   8.43525e-05  8.10623e-05           7.75267e-06       96.1424    3.8576          50               5               45          10                  90
GCUT04      HORIZONTALLY  WIDTH        False                      64.032    0.000129986  0.000127792           4.11685e-06       64.032    35.968           50               6               44          12                  88
GCUT04      HORIZONTALLY  ID           True                       79.336    8.54015e-05  8.22544e-05           7.41999e-06       79.336    20.664           50               4               46           8                  92
GCUT04      HORIZONTALLY  ID           False                      67.7552   8.90255e-05  8.96454e-05           7.33865e-06       67.7552   32.2448          50               4               46           8                  92
GCUT05      HORIZONTALLY  AREA         True                       56.5568   2.79903e-05  2.6226e-05            4.25322e-06       56.5568   43.4432          10               2                8          20                  80
GCUT05      HORIZONTALLY  AREA         False                      56.6948   5.04494e-05  4.86374e-05           5.52926e-06       56.6948   43.3052          10               4                6          40                  60
GCUT05      HORIZONTALLY  PERIMETER    True                       56.5568   2.72751e-05  2.59876e-05           3.97123e-06       56.5568   43.4432          10               2                8          20                  80
GCUT05      HORIZONTALLY  PERIMETER    False                      56.9356   4.96387e-05  4.72069e-05           5.1144e-06        56.9356   43.0644          10               4                6          40                  60
GCUT05      HORIZONTALLY  HEIGHT       True                       56.5568   4.03404e-05  3.88622e-05           3.87208e-06       56.5568   43.4432          10               2                8          20                  80
GCUT05      HORIZONTALLY  HEIGHT       False                      57.0664   3.7241e-05   3.48091e-05           4.35047e-06       57.0664   42.9336          10               3                7          30                  70
GCUT05      HORIZONTALLY  WIDTH        True                       63.9648   3.69072e-05  3.48091e-05           4.01903e-06       63.9648   36.0352          10               3                7          30                  70
GCUT05      HORIZONTALLY  WIDTH        False                      52.9212   5.15938e-05  4.88758e-05           5.22915e-06       52.9212   47.0788          10               4                6          40                  60
GCUT05      HORIZONTALLY  ID           True                       57.342    5.03063e-05  4.79221e-05           5.27762e-06       57.342    42.658           10               4                6          40                  60
GCUT05      HORIZONTALLY  ID           False                      52.5148   5.2166e-05   5.126e-05             5.12328e-06       52.5148   47.4852          10               4                6          40                  60
GCUT06      HORIZONTALLY  AREA         True                       89.7596   5.49316e-05  5.31673e-05           5.28107e-06       89.7596   10.2404          20               4               16          20                  80
GCUT06      HORIZONTALLY  AREA         False                      51.546    6.02722e-05  5.93662e-05           4.53472e-06       51.546    48.454           20               4               16          20                  80
GCUT06      HORIZONTALLY  PERIMETER    True                       79.2576   4.55379e-05  4.31538e-05           5.73594e-06       79.2576   20.7424          20               3               17          15                  85
GCUT06      HORIZONTALLY  PERIMETER    False                      51.546    5.97954e-05  5.84126e-05           5.46889e-06       51.546    48.454           20               4               16          20                  80
GCUT06      HORIZONTALLY  HEIGHT       True                       59.9172   3.39031e-05  3.29018e-05           3.77093e-06       59.9172   40.0828          20               2               18          10                  90
GCUT06      HORIZONTALLY  HEIGHT       False                      54.9244   4.68254e-05  4.3869e-05            5.31112e-06       54.9244   45.0756          20               3               17          15                  85
GCUT06      HORIZONTALLY  WIDTH        True                       67.9596   4.42028e-05  4.19617e-05           5.62506e-06       67.9596   32.0404          20               3               17          15                  85
GCUT06      HORIZONTALLY  WIDTH        False                      57.9372   6.26087e-05  5.96046e-05           5.94346e-06       57.9372   42.0628          20               4               16          20                  80
GCUT06      HORIZONTALLY  ID           True                       58.5072   4.67777e-05  4.48227e-05           4.60191e-06       58.5072   41.4928          20               3               17          15                  85
GCUT06      HORIZONTALLY  ID           False                      81.918    5.80788e-05  5.62668e-05           4.50504e-06       81.918    18.082           20               4               16          20                  80
GCUT07      HORIZONTALLY  AREA         True                       72.406    4.67777e-05  4.55379e-05           4.46906e-06       72.406    27.594           30               3               27          10                  90
GCUT07      HORIZONTALLY  AREA         False                      29.6964   6.2418e-05   5.84126e-05           5.59629e-06       29.6964   70.3036          30               3               27          10                  90
GCUT07      HORIZONTALLY  PERIMETER    True                       72.406    4.77314e-05  4.50611e-05           5.94499e-06       72.406    27.594           30               3               27          10                  90
GCUT07      HORIZONTALLY  PERIMETER    False                      29.6964   5.9557e-05   5.72205e-05           4.73824e-06       29.6964   70.3036          30               3               27          10                  90
GCUT07      HORIZONTALLY  HEIGHT       True                       72.406    4.63009e-05  4.41074e-05           6.04362e-06       72.406    27.594           30               3               27          10                  90
GCUT07      HORIZONTALLY  HEIGHT       False                      19.4796   4.52518e-05  4.36306e-05           4.83326e-06       19.4796   80.5204          30               2               28           6.66667            93.3333
GCUT07      HORIZONTALLY  WIDTH        True                       72.406    4.71115e-05  4.55379e-05           4.1504e-06        72.406    27.594           30               3               27          10                  90
GCUT07      HORIZONTALLY  WIDTH        False                      29.6964   6.15597e-05  5.8651e-05            4.69e-06          29.6964   70.3036          30               3               27          10                  90
GCUT07      HORIZONTALLY  ID           True                       50.1948   7.20978e-05  6.86646e-05           6.58415e-06       50.1948   49.8052          30               4               26          13.3333             86.6667
GCUT07      HORIZONTALLY  ID           False                      68.8716   6.47545e-05  6.22272e-05           6.07589e-06       68.8716   31.1284          30               4               26          13.3333             86.6667
GCUT08      HORIZONTALLY  AREA         True                       72.1296   6.44684e-05  6.31809e-05           8.00831e-06       72.1296   27.8704          50               2               48           4                  96
GCUT08      HORIZONTALLY  AREA         False                      61.8724   0.00012908   0.000126362           6.73439e-06       61.8724   38.1276          50               6               44          12                  88
GCUT08      HORIZONTALLY  PERIMETER    True                       72.1296   4.93526e-05  4.72069e-05           4.31268e-06       72.1296   27.8704          50               2               48           4                  96
GCUT08      HORIZONTALLY  PERIMETER    False                      61.8724   0.000138092  0.000125647           2.4408e-05        61.8724   38.1276          50               6               44          12                  88
GCUT08      HORIZONTALLY  HEIGHT       True                       72.1296   6.45161e-05  6.19888e-05           1.08815e-05       72.1296   27.8704          50               2               48           4                  96
GCUT08      HORIZONTALLY  HEIGHT       False                      39.6812   7.40528e-05  7.05719e-05           8.34887e-06       39.6812   60.3188          50               3               47           6                  94
GCUT08      HORIZONTALLY  WIDTH        True                       63.4032   5.84126e-05  5.65052e-05           4.07689e-06       63.4032   36.5968          50               3               47           6                  94
GCUT08      HORIZONTALLY  WIDTH        False                      66.0228   0.000132227  0.000128746           6.62889e-06       66.0228   33.9772          50               6               44          12                  88
GCUT08      HORIZONTALLY  ID           True                       72.664    8.59261e-05  8.36849e-05           6.65457e-06       72.664    27.336           50               4               46           8                  92
GCUT08      HORIZONTALLY  ID           False                      66.914    9.01699e-05  8.67844e-05           6.63883e-06       66.914    33.086           50               4               46           8                  92
GCUT09      HORIZONTALLY  AREA         True                       77.7122   5.07832e-05  4.86374e-05           4.86981e-06       77.7122   22.2878          10               4                6          40                  60
GCUT09      HORIZONTALLY  AREA         False                      24.9023   2.985e-05    2.7895e-05            4.06963e-06       24.9023   75.0977          10               2                8          20                  80
GCUT09      HORIZONTALLY  PERIMETER    True                       77.7122   4.81606e-05  4.60148e-05           4.46804e-06       77.7122   22.2878          10               4                6          40                  60
GCUT09      HORIZONTALLY  PERIMETER    False                      24.9023   2.90871e-05  2.67029e-05           5.16439e-06       24.9023   75.0977          10               2                8          20                  80
GCUT09      HORIZONTALLY  HEIGHT       True                       48.8453   2.94209e-05  2.81334e-05           4.5652e-06        48.8453   51.1547          10               2                8          20                  80
GCUT09      HORIZONTALLY  HEIGHT       False                      24.9023   2.85625e-05  2.71797e-05           3.73458e-06       24.9023   75.0977          10               2                8          20                  80
