Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

GCUT01      NONE         AREA         True                       77.3888   0.00012126   0.00011611            1.12877e-05       77.3888   22.6112          10               3                7          30                  70
GCUT01      NONE         AREA         False                      62.0688   0.000469971  0.000468969           7.78341e-06       62.0688   37.9312          10               4                6          40                  60
GCUT01      NONE         PERIMETER    True                       67.3808   5.62191e-05  5.29289e-05           5.51649e-06       67.3808   32.6192          10               2                8          20                  80
GCUT01      NONE         PERIMETER    False                      63.48     0.000582457  0.000579357           8.19966e-06       63.48     36.52            10               4                6          40                  60
GCUT01      NONE         HEIGHT       True                       67.3808   5.49316e-05  5.26905e-05           4.8852e-06        67.3808   32.6192          10               2                8          20                  80
GCUT01      NONE         HEIGHT       False                      49.7472   0.000371695  0.000368357           9.96122e-06       49.7472   50.2528          10               3                7          30                  70
GCUT01      NONE         WIDTH        True                       77.3888   0.000118542  0.000115633           7.5053e-06        77.3888   22.6112          10               3                7          30                  70
GCUT01      NONE         WIDTH        False                      62.0688   0.000229025  0.000225544           1.00471e-05       62.0688   37.9312          10               4                6          40                  60
GCUT01      NONE         ID           True                       63.104    0.000211     0.000197172           2.62377e-05       63.104    36.896           10               4                6          40                  60
GCUT01      NONE         ID           False                      77.3888   0.000114298  0.000111818           7.08645e-06       77.3888   22.6112          10               3                7          30                  70
GCUT02      NONE         AREA         True                       77.6864   0.000129843  0.000126362           6.3396e-06        77.6864   22.3136          20               3               17          15                  85
GCUT02      NONE         AREA         False                      56.2416   0.00127311   0.00127149            8.4353e-06        56.2416   43.7584          20               5               15          25                  75
GCUT02      NONE         PERIMETER    True                       77.6864   0.000129747  0.000126123           7.01032e-06       77.6864   22.3136          20               3               17          15                  85
GCUT02      NONE         PERIMETER    False                      76.2352   0.00133896   0.001333              1.48288e-05       76.2352   23.7648          20               6               14          30                  70
GCUT02      NONE         HEIGHT       True                       72.2      0.000128031  0.000125408           6.07102e-06       72.2      27.8             20               3               17          15                  85
GCUT02      NONE         HEIGHT       False                      54.664    0.000774622  0.000771046           1.46894e-05       54.664    45.336           20               4               16          20                  80
GCUT02      NONE         WIDTH        True                       68.1568   0.00035162   0.000349283           5.51649e-06       68.1568   31.8432          20               4               16          20                  80
GCUT02      NONE         WIDTH        False                      50.1248   0.000846434  0.000844002           4.02186e-06       50.1248   49.8752          20               4               16          20                  80
GCUT02      NONE         ID           True                       69.984    0.000656366  0.000654697           8.01881e-06       69.984    30.016           20               4               16          20                  80
GCUT02      NONE         ID           False                      56.8624   0.000451708  0.00045085            8.50403e-06       56.8624   43.1376          20               4               16          20                  80
GCUT03      NONE         AREA         True                       87.3984   0.000427628  0.000427246           8.26539e-06       87.3984   12.6016          30               4               26          13.3333             86.6667
GCUT03      NONE         AREA         False                      67.7792   0.00358415   0.00360918            3.82678e-05       67.7792   32.2208          30               6               24          20                  80
GCUT03      NONE         PERIMETER    True                       86.0608   0.000366545  0.000361919           1.24249e-05       86.0608   13.9392          30               3               27          10                  90
GCUT03      NONE         PERIMETER    False                      68.104    0.00317931   0.00317574            1.22e-05          68.104    31.896           30               6               24          20                  80
GCUT03      NONE         HEIGHT       True                       76.6      0.000225973  0.000225306           6.90575e-06       76.6      23.4             30               4               26          13.3333             86.6667
GCUT03      NONE         HEIGHT       False                      56.2256   0.00131464   0.0012517             8.10066e-05       56.2256   43.7744          30               4               26          13.3333             86.6667
GCUT03      NONE         WIDTH        True                       87.0368   0.000354624  0.000352383           6.28557e-06       87.0368   12.9632          30               4               26          13.3333             86.6667
GCUT03      NONE         WIDTH        False                      58.9504   0.0006392    0.000638962           6.12694e-06       58.9504   41.0496          30               4               26          13.3333             86.6667
GCUT03      NONE         ID           True                       77.184    0.00103116   0.000988722           9.48473e-05       77.184    22.816           30               6               24          20                  80
GCUT03      NONE         ID           False                      57.9184   0.00121841   0.00121522            1.48247e-05       57.9184   42.0816          30               4               26          13.3333             86.6667
GCUT04      NONE         AREA         True                       94.3856   0.000424194  0.000377178           7.37458e-05       94.3856    5.6144          50               4               46           8                  92
GCUT04      NONE         AREA         False                      75.2704   0.0063355    0.00631666            4.23728e-05       75.2704   24.7296          50               8               42          16                  84
GCUT04      NONE         PERIMETER    True                       94.3856   0.000369072  0.000362396           1.01254e-05       94.3856    5.6144          50               4               46           8                  92
GCUT04      NONE         PERIMETER    False                      75.2704   0.00636544   0.00631332            7.50201e-05       75.2704   24.7296          50               8               42          16                  84
GCUT04      NONE         HEIGHT       True                       93.4368   0.000379848  0.000376701           6.12397e-06       93.4368    6.5632          50               5               45          10                  90
GCUT04      NONE         HEIGHT       False                      62.848    0.00367494   0.00368023            1.86896e-05       62.848    37.152           50               6               44          12                  88
