Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    AREA         False                      70        4.16279e-05  4.05312e-05           4.68078e-06       70       30                10               4                6           40                 60
NGCUT01     VERTICALLY    PERIMETER    False                      60        3.32832e-05  3.19481e-05           4.17498e-06       60       40                10               3                7           30                 70
NGCUT01     VERTICALLY    HEIGHT       False                      70        4.3726e-05   4.22001e-05           4.94763e-06       70       30                10               4                6           40                 60
NGCUT01     VERTICALLY    WIDTH        False                      78        4.673e-05    4.50611e-05           4.69872e-06       78       22                10               4                6           40                 60
NGCUT01     VERTICALLY    ID           False                      78        4.81129e-05  4.52995e-05           5.50205e-06       78       22                10               4                6           40                 60
NGCUT01     HORIZONTALLY  AREA         False                      92        4.51088e-05  4.31538e-05           4.0162e-06        92        8                10               5                5           50                 50
NGCUT01     HORIZONTALLY  PERIMETER    False                      76        3.91483e-05  3.71933e-05           4.41274e-06       76       24                10               4                6           40                 60
NGCUT01     HORIZONTALLY  HEIGHT       False                      92        4.32491e-05  4.12464e-05           4.57515e-06       92        8                10               5                5           50                 50
NGCUT01     HORIZONTALLY  WIDTH        False                      78        4.52042e-05  4.17233e-05           6.5217e-06        78       22                10               4                6           40                 60
NGCUT01     HORIZONTALLY  ID           False                      58        3.47614e-05  3.33786e-05           4.36352e-06       58       42                10               3                7           30                 70
NGCUT01     MAX_AREA      AREA         False                      92        9.62257e-05  9.2268e-05            8.61427e-06       92        8                10               5                5           50                 50
NGCUT01     MAX_AREA      PERIMETER    False                      60        6.28948e-05  5.93662e-05           7.83727e-06       60       40                10               3                7           30                 70
NGCUT01     MAX_AREA      HEIGHT       False                      92        9.26971e-05  9.01222e-05           6.8744e-06        92        8                10               5                5           50                 50
NGCUT01     MAX_AREA      WIDTH        False                      78        9.40323e-05  9.25064e-05           7.11207e-06       78       22                10               4                6           40                 60
NGCUT01     MAX_AREA      ID           False                      78        9.42707e-05  9.08375e-05           7.4065e-06        78       22                10               4                6           40                 60
NGCUT01     NONE          AREA         False                      70        0.000353765  0.000348568           1.07065e-05       70       30                10               4                6           40                 60
NGCUT01     NONE          PERIMETER    False                      76        0.000197554  0.000194788           7.94703e-06       76       24                10               4                6           40                 60
NGCUT01     NONE          HEIGHT       False                      92        0.000408888  0.000409842           1.07145e-05       92        8                10               5                5           50                 50
NGCUT01     NONE          WIDTH        False                      78        0.000196457  0.000193119           7.80179e-06       78       22                10               4                6           40                 60
NGCUT01     NONE          ID           False                      58        0.000216818  0.000212908           7.37573e-06       58       42                10               3                7           30                 70
NGCUT02     VERTICALLY    AREA         False                      76        6.93798e-05  6.69956e-05           5.26684e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     VERTICALLY    PERIMETER    False                      76        7.16209e-05  6.93798e-05           5.77071e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     VERTICALLY    HEIGHT       False                      56        6.38962e-05  6.17504e-05           6.02591e-06       56       44                17               6               11           35.2941            64.7059
NGCUT02     VERTICALLY    WIDTH        False                      78        4.64916e-05  4.36306e-05           5.17758e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    ID           False                      64        5.16415e-05  4.98295e-05           5.76283e-06       64       36                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  AREA         False                      52        7.76768e-05  7.53403e-05           5.57798e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  PERIMETER    False                      52        7.76768e-05  7.36713e-05           7.6997e-06        52       48                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  HEIGHT       False                      52        7.82967e-05  7.29561e-05           7.08003e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  WIDTH        False                      88        6.13213e-05  5.98431e-05           6.51612e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     HORIZONTALLY  ID           False                      82        8.45432e-05  8.10623e-05           7.57946e-06       82       18                17               9                8           52.9412            47.0588
NGCUT02     MAX_AREA      AREA         False                      52        0.000138283  0.00013566            7.98044e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      PERIMETER    False                      52        0.000142813  0.000141382           7.3191e-06        52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      HEIGHT       False                      52        0.000137663  0.000136137           7.35412e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      WIDTH        False                      78        0.000102091  9.72748e-05           8.85865e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      ID           False                      82        0.000169992  0.000166178           9.33554e-06       82       18                17               9                8           52.9412            47.0588
NGCUT02     NONE          AREA         False                      76        0.00114837   0.00109267            0.000117533       76       24                17               7               10           41.1765            58.8235
NGCUT02     NONE          PERIMETER    False                      76        0.00107827   0.00107694            4.70984e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     NONE          HEIGHT       False                      86        0.00134726   0.00134945            1.25558e-05       86       14                17               8                9           47.0588            52.9412
NGCUT02     NONE          WIDTH        False                      88        0.000553226  0.000549793           7.79829e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     NONE          ID           False                      82        0.000933886  0.000932217           1.35953e-05       82       18                17               9                8           52.9412            47.0588
NGCUT03     VERTICALLY    AREA         False                      66        8.54015e-05  8.24928e-05           5.27848e-06       66       34                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY    PERIMETER    False                      57        7.47681e-05  7.20024e-05           6.06652e-06       57       43                21               7               14           33.3333            66.6667
NGCUT03     VERTICALLY    HEIGHT       False                      66        8.50201e-05  8.10623e-05           6.85486e-06       66       34                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY    WIDTH        False                      64        5.24044e-05  4.91142e-05           5.94308e-06       64       36                21               5               16           23.8095            76.1905
NGCUT03     VERTICALLY    ID           False                      70        7.57217e-05  7.27177e-05           6.05902e-06       70       30                21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  AREA         False                      72        9.57489e-05  9.34601e-05           6.18713e-06       72       28                21               9               12           42.8571            57.1429
NGCUT03     HORIZONTALLY  PERIMETER    False                      72        9.64165e-05  9.46522e-05           6.06465e-06       72       28                21               9               12           42.8571            57.1429
NGCUT03     HORIZONTALLY  HEIGHT       False                      80        9.48906e-05  9.2268e-05            5.73594e-06       80       20                21               9               12           42.8571            57.1429
NGCUT03     HORIZONTALLY  WIDTH        False                      78        8.61168e-05  8.2016e-05            7.82129e-06       78       22                21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  ID           False                      70        9.40323e-05  9.05991e-05           6.5634e-06        70       30                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA      AREA         False                      60        0.000185966  0.000184298           1.06688e-05       60       40                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA      PERIMETER    False                      72        0.000187302  0.000184059           1.00878e-05       72       28                21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA      HEIGHT       False                      80        0.000188351  0.000182152           1.29687e-05       80       20                21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA      WIDTH        False                      78        0.000167227  0.000163078           1.08438e-05       78       22                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA      ID           False                      70        0.000174761  0.0001688             1.11349e-05       70       30                21               8               13           38.0952            61.9048
NGCUT03     NONE          AREA         False                      86        0.00535707   0.0053668             2.67469e-05       86       14                21               9               12           42.8571            57.1429
NGCUT03     NONE          PERIMETER    False                      72        0.00190721   0.00186586            0.000101585       72       28                21               9               12           42.8571            57.1429
NGCUT03     NONE          HEIGHT       False                      88        0.00291681   0.00291872            1.70778e-05       88       12                21              10               11           47.619             52.381
NGCUT03     NONE          WIDTH        False                      72        0.00305543   0.00339913            0.000449096       72       28                21               7               14           33.3333            66.6667
NGCUT03     NONE          ID           False                      80        0.00251474   0.00241876            0.00021172        80       20                21               9               12           42.8571            57.1429
NGCUT04     VERTICALLY    AREA         False                      20        2.45571e-05  2.26498e-05           4.19779e-06       20       80                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    PERIMETER    False                      30        2.25067e-05  2.00272e-05           4.63195e-06       30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    HEIGHT       False                      20        2.56538e-05  2.38419e-05           4.0534e-06        20       80                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    WIDTH        False                      30        2.31743e-05  2.12193e-05           4.34e-06          30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    ID           False                      70        3.33786e-05  3.09944e-05           4.44253e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     HORIZONTALLY  AREA         False                      52        4.64916e-05  4.3869e-05            4.95314e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     HORIZONTALLY  PERIMETER    False                      52        4.53472e-05  4.26769e-05           5.50205e-06       52       48                 7               4                3           57.1429            42.8571
