Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    AREA         True                       78        5.21183e-05  4.673e-05             1.11049e-05       78       22                10               4                6           40                 60
NGCUT01     VERTICALLY    PERIMETER    True                       62        3.19004e-05  3.00407e-05           4.4919e-06        62       38                10               3                7           30                 70
NGCUT01     VERTICALLY    HEIGHT       True                       78        4.97341e-05  4.81606e-05           4.5126e-06        78       22                10               4                6           40                 60
NGCUT01     VERTICALLY    WIDTH        True                       72        3.67165e-05  3.52859e-05           4.70839e-06       72       28                10               4                6           40                 60
NGCUT01     VERTICALLY    ID           True                       76        4.68731e-05  4.43459e-05           4.51764e-06       76       24                10               4                6           40                 60
NGCUT01     HORIZONTALLY  AREA         True                       62        3.26157e-05  3.09944e-05           4.74782e-06       62       38                10               3                7           30                 70
NGCUT01     HORIZONTALLY  PERIMETER    True                       62        2.93732e-05  2.76566e-05           4.29259e-06       62       38                10               3                7           30                 70
NGCUT01     HORIZONTALLY  HEIGHT       True                       78        4.1008e-05   3.83854e-05           4.27029e-06       78       22                10               4                6           40                 60
NGCUT01     HORIZONTALLY  WIDTH        True                       92        4.3726e-05   4.07696e-05           5.52308e-06       92        8                10               5                5           50                 50
NGCUT01     HORIZONTALLY  ID           True                       76        4.75407e-05  4.52995e-05           3.97695e-06       76       24                10               4                6           40                 60
NGCUT01     MAX_AREA      AREA         True                       78        9.84669e-05  9.29832e-05           8.98683e-06       78       22                10               4                6           40                 60
NGCUT01     MAX_AREA      PERIMETER    True                       62        6.814e-05    6.4373e-05            6.34462e-06       62       38                10               3                7           30                 70
NGCUT01     MAX_AREA      HEIGHT       True                       78        9.48429e-05  9.03606e-05           1.0083e-05        78       22                10               4                6           40                 60
NGCUT01     MAX_AREA      WIDTH        True                       92        8.92162e-05  8.58307e-05           6.35894e-06       92        8                10               5                5           50                 50
NGCUT01     MAX_AREA      ID           True                       76        9.84192e-05  9.65595e-05           7.09414e-06       76       24                10               4                6           40                 60
NGCUT01     NONE          AREA         True                       62        0.000230789  0.000223637           1.25482e-05       62       38                10               3                7           30                 70
NGCUT01     NONE          PERIMETER    True                       62        0.000114679  0.000112534           5.8342e-06        62       38                10               3                7           30                 70
NGCUT01     NONE          HEIGHT       True                       78        0.000192642  0.000188112           8.08095e-06       78       22                10               4                6           40                 60
NGCUT01     NONE          WIDTH        True                       92        0.000286436  0.000283241           1.00018e-05       92        8                10               5                5           50                 50
NGCUT01     NONE          ID           True                       76        0.000201559  0.000199318           5.37495e-06       76       24                10               4                6           40                 60
NGCUT02     VERTICALLY    AREA         True                       97        6.49452e-05  6.50883e-05           9.35938e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    PERIMETER    True                       97        4.26769e-05  3.95775e-05           4.92552e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    HEIGHT       True                       78        4.81606e-05  4.52995e-05           5.38847e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    WIDTH        True                       97        4.52042e-05  4.33922e-05           4.65887e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    ID           True                       70        5.08785e-05  4.93526e-05           4.64176e-06       70       30                17               4               13           23.5294            76.4706
NGCUT02     HORIZONTALLY  AREA         True                       91        5.71728e-05  5.34058e-05           7.27454e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  PERIMETER    True                       91        5.73158e-05  5.65052e-05           5.69536e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  HEIGHT       True                       90        5.98431e-05  5.67436e-05           6.26637e-06       90       10                17               7               10           41.1765            58.8235
NGCUT02     HORIZONTALLY  WIDTH        True                       91        8.06808e-05  8.10623e-05           1.16411e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  ID           True                       64        8.24928e-05  8.70228e-05           1.08201e-05       64       36                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      AREA         True                       91        0.000106525  0.000105619           6.65081e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      PERIMETER    True                       91        0.000110149  0.000104189           1.01377e-05       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      HEIGHT       True                       78        9.83715e-05  9.5129e-05            8.01399e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      WIDTH        True                       91        0.000102854  9.91821e-05           9.10572e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      ID           True                       64        0.000137091  0.000133276           8.97797e-06       64       36                17               6               11           35.2941            64.7059
NGCUT02     NONE          AREA         True                       97        0.000383615  0.000379086           8.99821e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     NONE          PERIMETER    True                       97        0.000376749  0.000374079           9.62857e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     NONE          HEIGHT       True                       90        0.000703573  0.000700235           5.9576e-06        90       10                17               7               10           41.1765            58.8235
NGCUT02     NONE          WIDTH        True                       91        0.000589943  0.000586987           6.87804e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     NONE          ID           True                       88        0.00075531   0.000759363           6.87043e-06       88       12                17               7               10           41.1765            58.8235
NGCUT03     VERTICALLY    AREA         True                       90        5.84602e-05  5.6982e-05            5.21129e-06       90       10                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY    PERIMETER    True                       84        5.04494e-05  4.8399e-05            5.2139e-06        84       16                21               5               16           23.8095            76.1905
NGCUT03     VERTICALLY    HEIGHT       True                       85        5.80311e-05  5.57899e-05           5.3686e-06        85       15                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY    WIDTH        True                       88        5.87463e-05  5.57899e-05           6.18346e-06       88       12                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY    ID           True                       93        7.20024e-05  6.96182e-05           6.56582e-06       93        7                21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  AREA         True                       81        5.05924e-05  4.81606e-05           6.12397e-06       81       19                21               4               17           19.0476            80.9524
NGCUT03     HORIZONTALLY  PERIMETER    True                       90        6.59466e-05  6.34193e-05           5.7648e-06        90       10                21               7               14           33.3333            66.6667
NGCUT03     HORIZONTALLY  HEIGHT       True                       93        6.63757e-05  6.41346e-05           5.8451e-06        93        7                21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  WIDTH        True                       90        6.85215e-05  6.58035e-05           5.28537e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     HORIZONTALLY  ID           True                       90        0.000159931  0.000167608           1.85197e-05       90       10                21              11               10           52.381             47.619
NGCUT03     MAX_AREA      AREA         True                       80        9.90868e-05  9.70364e-05           6.67334e-06       80       20                21               5               16           23.8095            76.1905
NGCUT03     MAX_AREA      PERIMETER    True                       90        0.000130463  0.000127316           8.87148e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA      HEIGHT       True                       85        0.000122499  0.000119925           7.37388e-06       85       15                21               6               15           28.5714            71.4286
NGCUT03     MAX_AREA      WIDTH        True                       90        0.000130367  0.000127316           6.66618e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA      ID           True                       90        0.00020771   0.000202417           1.04496e-05       90       10                21              11               10           52.381             47.619
NGCUT03     NONE          AREA         True                       90        0.000606346  0.000597954           1.47353e-05       90       10                21               6               15           28.5714            71.4286
NGCUT03     NONE          PERIMETER    True                       84        0.000549841  0.000547647           7.55362e-06       84       16                21               5               16           23.8095            76.1905
NGCUT03     NONE          HEIGHT       True                       93        0.000912476  0.000908852           8.62456e-06       93        7                21               8               13           38.0952            61.9048
NGCUT03     NONE          WIDTH        True                       90        0.000712872  0.000709772           8.59234e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     NONE          ID           True                       93        0.00315442   0.00315213            1.82789e-05       93        7                21               8               13           38.0952            61.9048
NGCUT04     VERTICALLY    AREA         True                       70        3.19004e-05  2.98023e-05           4.42046e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     VERTICALLY    PERIMETER    True                       78        4.24862e-05  3.93391e-05           5.73475e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY    HEIGHT       True                       30        2.20776e-05  2.00272e-05           4.02807e-06       30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    WIDTH        True                       78        4.42982e-05  4.22001e-05           4.44099e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY    ID           True                       62        3.86238e-05  3.69549e-05           4.64274e-06       62       38                 7               4                3           57.1429            42.8571
NGCUT04     HORIZONTALLY  AREA         True                       92        4.6587e-05   4.50611e-05           5.05222e-06       92        8                 7               6                1           85.7143            14.2857
NGCUT04     HORIZONTALLY  PERIMETER    True                       78        4.56333e-05  4.29153e-05           5.06571e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     HORIZONTALLY  HEIGHT       True                       70        3.68118e-05  3.45707e-05           5.24217e-06       70       30                 7               4                3           57.1429            42.8571
