Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT07     VERTICALLY    AREA         False                        20.25   5.63145e-05  5.24521e-05           8.18495e-06         20.25     79.75           8               6                2              75                 25
NGCUT07     VERTICALLY    PERIMETER    False                        20.25   5.79834e-05  5.43594e-05           6.97781e-06         20.25     79.75           8               6                2              75                 25
NGCUT07     VERTICALLY    HEIGHT       False                        20.25   6.66618e-05  6.86646e-05           9.40059e-06         20.25     79.75           8               6                2              75                 25
NGCUT07     VERTICALLY    WIDTH        False                         8.25   5.27382e-05  5.03063e-05           5.32565e-06          8.25     91.75           8               5                3              62.5               37.5
NGCUT07     VERTICALLY    ID           False                        20.25   6.66618e-05  6.29425e-05           9.33749e-06         20.25     79.75           8               6                2              75                 25
NGCUT07     HORIZONTALLY  AREA         False                        33.75   6.94752e-05  6.74725e-05           6.12249e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     HORIZONTALLY  PERIMETER    False                        33.75   6.81877e-05  6.65188e-05           5.71608e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     HORIZONTALLY  HEIGHT       False                       100      7.83443e-05  7.58171e-05           8.05784e-06         43.75     56.25           8               8                0             100                  0
NGCUT07     HORIZONTALLY  WIDTH        False                        33.75   7.24316e-05  6.96182e-05           7.6997e-06          33.75     66.25           8               7                1              87.5               12.5
NGCUT07     HORIZONTALLY  ID           False                       100      7.61032e-05  7.39098e-05           5.60441e-06         43.75     56.25           8               8                0             100                  0
NGCUT07     MAX_AREA      AREA         False                        33.75   0.000213671  0.000211716           8.79555e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     MAX_AREA      PERIMETER    False                        33.75   0.000136805  0.000132799           7.89075e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     MAX_AREA      HEIGHT       False                       100      0.000166416  0.000161171           1.00113e-05         43.75     56.25           8               8                0             100                  0
NGCUT07     MAX_AREA      WIDTH        False                        33.75   0.000151968  0.000149965           8.45711e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     MAX_AREA      ID           False                        33.75   0.0001472    0.00014472            8.75435e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     NONE          AREA         False                        33.75   0.00057478   0.000569582           9.87341e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     NONE          PERIMETER    False                        33.75   0.000566196  0.000559807           9.94683e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     NONE          HEIGHT       False                       100      0.000749397  0.000746727           8.55308e-06         43.75     56.25           8               8                0             100                  0
NGCUT07     NONE          WIDTH        False                        33.75   0.000569916  0.000566959           8.21157e-06         33.75     66.25           8               7                1              87.5               12.5
NGCUT07     NONE          ID           False                       100      0.00074439   0.000738621           1.3904e-05          43.75     56.25           8               8                0             100                  0
