Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT09     MAX_AREA     AREA         True                         55.5    0.000146484  0.000142097           1.23072e-05         55.5      44.5           18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     AREA         False                        72.75   0.000214577  0.000211239           8.76265e-06         72.75     27.25          18              10                8           55.5556            44.4444
NGCUT09     MAX_AREA     PERIMETER    True                         84.25   0.000226307  0.000258446           5.25425e-05         84.25     15.75          18               8               10           44.4444            55.5556
NGCUT09     MAX_AREA     PERIMETER    False                        72.75   0.000216436  0.000210285           1.20701e-05         72.75     27.25          18              10                8           55.5556            44.4444
NGCUT09     MAX_AREA     HEIGHT       True                         55.5    0.000143385  0.000141144           8.45173e-06         55.5      44.5           18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     HEIGHT       False                        74      0.00013566   0.000133991           1.06816e-05         74        26             18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     WIDTH        True                         78.5    0.000160646  0.000154495           2.74409e-05         78.5      21.5           18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     WIDTH        False                        46.75   0.00013752   0.000136137           8.29806e-06         46.75     53.25          18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     ID           True                         55.5    0.000139713  0.000134706           8.60952e-06         55.5      44.5           18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA     ID           False                        76.5    0.000207663  0.000195265           2.02294e-05         76.5      23.5           18               9                9           50                 50
