Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    HEIGHT       True                       78        4.97341e-05  4.81606e-05           4.5126e-06        78        22               10               4                6           40                 60
NGCUT01     VERTICALLY    HEIGHT       False                      70        4.3726e-05   4.22001e-05           4.94763e-06       70        30               10               4                6           40                 60
NGCUT01     HORIZONTALLY  HEIGHT       True                       78        4.1008e-05   3.83854e-05           4.27029e-06       78        22               10               4                6           40                 60
NGCUT01     HORIZONTALLY  HEIGHT       False                      92        4.32491e-05  4.12464e-05           4.57515e-06       92         8               10               5                5           50                 50
NGCUT01     MAX_AREA      HEIGHT       True                       78        9.48429e-05  9.03606e-05           1.0083e-05        78        22               10               4                6           40                 60
NGCUT01     MAX_AREA      HEIGHT       False                      92        9.26971e-05  9.01222e-05           6.8744e-06        92         8               10               5                5           50                 50
NGCUT01     NONE          HEIGHT       True                       78        0.000192642  0.000188112           8.08095e-06       78        22               10               4                6           40                 60
NGCUT01     NONE          HEIGHT       False                      92        0.000408888  0.000409842           1.07145e-05       92         8               10               5                5           50                 50
NGCUT02     VERTICALLY    HEIGHT       True                       78        4.81606e-05  4.52995e-05           5.38847e-06       78        22               17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    HEIGHT       False                      56        6.38962e-05  6.17504e-05           6.02591e-06       56        44               17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  HEIGHT       True                       90        5.98431e-05  5.67436e-05           6.26637e-06       90        10               17               7               10           41.1765            58.8235
NGCUT02     HORIZONTALLY  HEIGHT       False                      52        7.82967e-05  7.29561e-05           7.08003e-06       52        48               17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      HEIGHT       True                       78        9.83715e-05  9.5129e-05            8.01399e-06       78        22               17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      HEIGHT       False                      52        0.000137663  0.000136137           7.35412e-06       52        48               17               6               11           35.2941            64.7059
NGCUT02     NONE          HEIGHT       True                       90        0.000703573  0.000700235           5.9576e-06        90        10               17               7               10           41.1765            58.8235
NGCUT02     NONE          HEIGHT       False                      86        0.00134726   0.00134945            1.25558e-05       86        14               17               8                9           47.0588            52.9412
NGCUT03     VERTICALLY    HEIGHT       True                       85        5.80311e-05  5.57899e-05           5.3686e-06        85        15               21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY    HEIGHT       False                      66        8.50201e-05  8.10623e-05           6.85486e-06       66        34               21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  HEIGHT       True                       93        6.63757e-05  6.41346e-05           5.8451e-06        93         7               21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  HEIGHT       False                      80        9.48906e-05  9.2268e-05            5.73594e-06       80        20               21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA      HEIGHT       True                       85        0.000122499  0.000119925           7.37388e-06       85        15               21               6               15           28.5714            71.4286
NGCUT03     MAX_AREA      HEIGHT       False                      80        0.000188351  0.000182152           1.29687e-05       80        20               21               9               12           42.8571            57.1429
NGCUT03     NONE          HEIGHT       True                       93        0.000912476  0.000908852           8.62456e-06       93         7               21               8               13           38.0952            61.9048
NGCUT03     NONE          HEIGHT       False                      88        0.00291681   0.00291872            1.70778e-05       88        12               21              10               11           47.619             52.381
NGCUT04     VERTICALLY    HEIGHT       True                       30        2.20776e-05  2.00272e-05           4.02807e-06       30        70                7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY    HEIGHT       False                      20        2.56538e-05  2.38419e-05           4.0534e-06        20        80                7               2                5           28.5714            71.4286
NGCUT04     HORIZONTALLY  HEIGHT       True                       70        3.68118e-05  3.45707e-05           5.24217e-06       70        30                7               4                3           57.1429            42.8571
NGCUT04     HORIZONTALLY  HEIGHT       False                      78        4.70638e-05  4.48227e-05           5.14807e-06       78        22                7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA      HEIGHT       True                       70        7.48634e-05  7.20024e-05           6.882e-06         70        30                7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA      HEIGHT       False                      78        0.000101376  9.84669e-05           8.3377e-06        78        22                7               5                2           71.4286            28.5714
NGCUT04     NONE          HEIGHT       True                       70        0.000187826  0.00018549            5.85054e-06       70        30                7               4                3           57.1429            42.8571
NGCUT04     NONE          HEIGHT       False                      78        0.000293541  0.000290871           5.90662e-06       78        22                7               5                2           71.4286            28.5714
NGCUT05     VERTICALLY    HEIGHT       True                       71.3333   4.1008e-05   3.8147e-05            5.70414e-06       71.3333   28.6667          14               4               10           28.5714            71.4286
NGCUT05     VERTICALLY    HEIGHT       False                      75.3333   5.71728e-05  5.24521e-05           6.22524e-06       75.3333   24.6667          14               6                8           42.8571            57.1429
NGCUT05     HORIZONTALLY  HEIGHT       True                       78.6667   5.14507e-05  4.95911e-05           5.42086e-06       78.6667   21.3333          14               5                9           35.7143            64.2857
NGCUT05     HORIZONTALLY  HEIGHT       False                      70        7.41959e-05  7.20024e-05           5.81937e-06       70        30               14               6                8           42.8571            57.1429
NGCUT05     MAX_AREA      HEIGHT       True                       71.3333   8.71181e-05  8.34465e-05           8.22264e-06       71.3333   28.6667          14               4               10           28.5714            71.4286
NGCUT05     MAX_AREA      HEIGHT       False                      70        0.000136471  0.00013423            9.08322e-06       70        30               14               6                8           42.8571            57.1429
NGCUT05     NONE          HEIGHT       True                       78.6667   0.00029521   0.000291824           9.40881e-06       78.6667   21.3333          14               5                9           35.7143            64.2857
NGCUT05     NONE          HEIGHT       False                      70        0.000586367  0.000546217           9.9226e-05        70        30               14               6                8           42.8571            57.1429
NGCUT06     VERTICALLY    HEIGHT       True                       68        8.3065e-05   8.13007e-05           5.68137e-06       68        32               15               6                9           40                 60
NGCUT06     VERTICALLY    HEIGHT       False                      78.6667   7.37667e-05  7.10487e-05           7.2686e-06        78.6667   21.3333          15               7                8           46.6667            53.3333
NGCUT06     HORIZONTALLY  HEIGHT       True                       70.6667   8.06332e-05  7.67708e-05           6.29244e-06       70.6667   29.3333          15               7                8           46.6667            53.3333
NGCUT06     HORIZONTALLY  HEIGHT       False                      57.3333   6.69956e-05  6.41346e-05           5.64e-06          57.3333   42.6667          15               5               10           33.3333            66.6667
NGCUT06     MAX_AREA      HEIGHT       True                       70.6667   0.000170612  0.000166655           9.40905e-06       70.6667   29.3333          15               7                8           46.6667            53.3333
NGCUT06     MAX_AREA      HEIGHT       False                      57.3333   0.000119257  0.000116825           8.51845e-06       57.3333   42.6667          15               5               10           33.3333            66.6667
NGCUT06     NONE          HEIGHT       True                       70.6667   0.00153131   0.00151634            2.20185e-05       70.6667   29.3333          15               7                8           46.6667            53.3333
NGCUT06     NONE          HEIGHT       False                      73.3333   0.00110459   0.00109339            2.11981e-05       73.3333   26.6667          15               7                8           46.6667            53.3333
NGCUT07     VERTICALLY    HEIGHT       True                       20.25     6.49452e-05  6.22272e-05           6.90772e-06       20.25     79.75             8               6                2           75                 25
NGCUT07     VERTICALLY    HEIGHT       False                      20.25     6.66618e-05  6.86646e-05           9.40059e-06       20.25     79.75             8               6                2           75                 25
NGCUT07     HORIZONTALLY  HEIGHT       True                      100        7.57217e-05  7.31945e-05           5.30684e-06       43.75     56.25             8               8                0          100                  0
NGCUT07     HORIZONTALLY  HEIGHT       False                     100        7.83443e-05  7.58171e-05           8.05784e-06       43.75     56.25             8               8                0          100                  0
NGCUT07     MAX_AREA      HEIGHT       True                       33.75     0.00014863   0.000145674           9.05062e-06       33.75     66.25             8               7                1           87.5               12.5
NGCUT07     MAX_AREA      HEIGHT       False                     100        0.000166416  0.000161171           1.00113e-05       43.75     56.25             8               8                0          100                  0
NGCUT07     NONE          HEIGHT       True                      100        0.000736761  0.000733614           1.00242e-05       43.75     56.25             8               8                0          100                  0
