Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    ID           True                       76        4.68731e-05  4.43459e-05           4.51764e-06       76       24                10               4                6           40                 60
NGCUT01     VERTICALLY    ID           False                      78        4.81129e-05  4.52995e-05           5.50205e-06       78       22                10               4                6           40                 60
NGCUT01     HORIZONTALLY  ID           True                       76        4.75407e-05  4.52995e-05           3.97695e-06       76       24                10               4                6           40                 60
NGCUT01     HORIZONTALLY  ID           False                      58        3.47614e-05  3.33786e-05           4.36352e-06       58       42                10               3                7           30                 70
NGCUT01     MAX_AREA      ID           True                       76        9.84192e-05  9.65595e-05           7.09414e-06       76       24                10               4                6           40                 60
NGCUT01     MAX_AREA      ID           False                      78        9.42707e-05  9.08375e-05           7.4065e-06        78       22                10               4                6           40                 60
NGCUT01     NONE          ID           True                       76        0.000201559  0.000199318           5.37495e-06       76       24                10               4                6           40                 60
NGCUT01     NONE          ID           False                      58        0.000216818  0.000212908           7.37573e-06       58       42                10               3                7           30                 70
NGCUT02     VERTICALLY    ID           True                       70        5.08785e-05  4.93526e-05           4.64176e-06       70       30                17               4               13           23.5294            76.4706
NGCUT02     VERTICALLY    ID           False                      64        5.16415e-05  4.98295e-05           5.76283e-06       64       36                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  ID           True                       64        8.24928e-05  8.70228e-05           1.08201e-05       64       36                17               6               11           35.2941            64.7059
NGCUT02     HORIZONTALLY  ID           False                      82        8.45432e-05  8.10623e-05           7.57946e-06       82       18                17               9                8           52.9412            47.0588
NGCUT02     MAX_AREA      ID           True                       64        0.000137091  0.000133276           8.97797e-06       64       36                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      ID           False                      82        0.000169992  0.000166178           9.33554e-06       82       18                17               9                8           52.9412            47.0588
NGCUT02     NONE          ID           True                       88        0.00075531   0.000759363           6.87043e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     NONE          ID           False                      82        0.000933886  0.000932217           1.35953e-05       82       18                17               9                8           52.9412            47.0588
NGCUT03     VERTICALLY    ID           True                       93        7.20024e-05  6.96182e-05           6.56582e-06       93        7                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY    ID           False                      70        7.57217e-05  7.27177e-05           6.05902e-06       70       30                21               8               13           38.0952            61.9048
NGCUT03     HORIZONTALLY  ID           True                       90        0.000159931  0.000167608           1.85197e-05       90       10                21              11               10           52.381             47.619
NGCUT03     HORIZONTALLY  ID           False                      70        9.40323e-05  9.05991e-05           6.5634e-06        70       30                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA      ID           True                       90        0.00020771   0.000202417           1.04496e-05       90       10                21              11               10           52.381             47.619
NGCUT03     MAX_AREA      ID           False                      70        0.000174761  0.0001688             1.11349e-05       70       30                21               8               13           38.0952            61.9048
NGCUT03     NONE          ID           True                       93        0.00315442   0.00315213            1.82789e-05       93        7                21               8               13           38.0952            61.9048
NGCUT03     NONE          ID           False                      80        0.00251474   0.00241876            0.00021172        80       20                21               9               12           42.8571            57.1429
NGCUT04     VERTICALLY    ID           True                       62        3.86238e-05  3.69549e-05           4.64274e-06       62       38                 7               4                3           57.1429            42.8571
NGCUT04     VERTICALLY    ID           False                      70        3.33786e-05  3.09944e-05           4.44253e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     HORIZONTALLY  ID           True                       88        5.50747e-05  5.48363e-05           5.47844e-06       88       12                 7               6                1           85.7143            14.2857
NGCUT04     HORIZONTALLY  ID           False                      92        4.67777e-05  4.52995e-05           4.49696e-06       92        8                 7               6                1           85.7143            14.2857
NGCUT04     MAX_AREA      ID           True                       88        0.000107145  0.000102758           8.05361e-06       88       12                 7               6                1           85.7143            14.2857
NGCUT04     MAX_AREA      ID           False                      70        7.61986e-05  7.34329e-05           6.63232e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     NONE          ID           True                       88        0.000424051  0.000420094           6.05151e-06       88       12                 7               6                1           85.7143            14.2857
NGCUT04     NONE          ID           False                      92        0.000409985  0.000407219           8.8986e-06        92        8                 7               6                1           85.7143            14.2857
NGCUT05     VERTICALLY    ID           True                       75.3333   5.42641e-05  5.17368e-05           6.47621e-06       75.3333  24.6667           14               6                8           42.8571            57.1429
NGCUT05     VERTICALLY    ID           False                      71.3333   4.673e-05    4.48227e-05           4.92321e-06       71.3333  28.6667           14               4               10           28.5714            71.4286
NGCUT05     HORIZONTALLY  ID           True                       83.3333   6.70433e-05  6.4373e-05            4.5647e-06        83.3333  16.6667           14               6                8           42.8571            57.1429
NGCUT05     HORIZONTALLY  ID           False                      65.3333   5.20229e-05  4.93526e-05           6.71207e-06       65.3333  34.6667           14               4               10           28.5714            71.4286
NGCUT05     MAX_AREA      ID           True                       83.3333   0.000129557  0.000126123           8.7971e-06        83.3333  16.6667           14               6                8           42.8571            57.1429
NGCUT05     MAX_AREA      ID           False                      58        7.30038e-05  7.05719e-05           6.54744e-06       58       42                14               3               11           21.4286            78.5714
NGCUT05     NONE          ID           True                       83.3333   0.000420189  0.000416994           6.58588e-06       83.3333  16.6667           14               6                8           42.8571            57.1429
NGCUT05     NONE          ID           False                      65.3333   0.000287056  0.000284195           8.65561e-06       65.3333  34.6667           14               4               10           28.5714            71.4286
NGCUT06     VERTICALLY    ID           True                       72        6.88076e-05  6.29425e-05           7.91119e-06       72       28                15               6                9           40                 60
NGCUT06     VERTICALLY    ID           False                      70.6667   7.66277e-05  7.31945e-05           6.0815e-06        70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     HORIZONTALLY  ID           True                       72        7.1764e-05   6.84261e-05           9.8787e-06        72       28                15               6                9           40                 60
NGCUT06     HORIZONTALLY  ID           False                      74.6667   7.48634e-05  7.12872e-05           6.10091e-06       74.6667  25.3333           15               6                9           40                 60
NGCUT06     MAX_AREA      ID           True                       72        0.000126123  0.000121593           9.32336e-06       72       28                15               6                9           40                 60
NGCUT06     MAX_AREA      ID           False                      80        0.00015645   0.000152349           9.57173e-06       80       20                15               7                8           46.6667            53.3333
NGCUT06     NONE          ID           True                       84        0.000895262  0.000897884           1.3716e-05        84       16                15               7                8           46.6667            53.3333
NGCUT06     NONE          ID           False                      70.6667   0.00160666   0.00152802            0.00014542        70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT07     VERTICALLY    ID           True                       20.25     8.70228e-05  8.34465e-05           7.80325e-06       20.25    79.75              8               6                2           75                 25
NGCUT07     VERTICALLY    ID           False                      20.25     6.66618e-05  6.29425e-05           9.33749e-06       20.25    79.75              8               6                2           75                 25
NGCUT07     HORIZONTALLY  ID           True                      100        7.77721e-05  7.39098e-05           6.3643e-06        43.75    56.25              8               8                0          100                  0
NGCUT07     HORIZONTALLY  ID           False                     100        7.61032e-05  7.39098e-05           5.60441e-06       43.75    56.25              8               8                0          100                  0
NGCUT07     MAX_AREA      ID           True                      100        0.000172472  0.000171661           8.74005e-06       43.75    56.25              8               8                0          100                  0
NGCUT07     MAX_AREA      ID           False                      33.75     0.0001472    0.00014472            8.75435e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     NONE          ID           True                      100        0.000740957  0.000737429           9.83649e-06       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE          ID           False                     100        0.00074439   0.000738621           1.3904e-05        43.75    56.25              8               8                0          100                  0
NGCUT08     VERTICALLY    ID           True                       73        6.78539e-05  6.55651e-05           6.05527e-06       73       27                13               7                6           53.8462            46.1538
NGCUT08     VERTICALLY    ID           False                      38.25     4.9448e-05   4.60148e-05           6.95202e-06       38.25    61.75             13               4                9           30.7692            69.2308
NGCUT08     HORIZONTALLY  ID           True                       69.5      7.4482e-05   7.08103e-05           6.59795e-06       69.5     30.5              13               6                7           46.1538            53.8462
NGCUT08     HORIZONTALLY  ID           False                      62.75     9.0456e-05   8.91685e-05           6.38784e-06       62.75    37.25             13               8                5           61.5385            38.4615
NGCUT08     MAX_AREA      ID           True                       69.5      0.000134754  0.000131607           8.36085e-06       69.5     30.5              13               6                7           46.1538            53.8462
NGCUT08     MAX_AREA      ID           False                      64.75     0.000175095  0.000169992           1.05019e-05       64.75    35.25             13               8                5           61.5385            38.4615
NGCUT08     NONE          ID           True                       69.5      0.000908756  0.00086236            9.08277e-05       69.5     30.5              13               6                7           46.1538            53.8462
NGCUT08     NONE          ID           False                      64.75     0.00125551   0.0012126             9.73478e-05       64.75    35.25             13               8                5           61.5385            38.4615
NGCUT09     VERTICALLY    ID           True                       55.5      7.46727e-05  7.1764e-05            7.43377e-06       55.5     44.5              18               6               12           33.3333            66.6667
NGCUT09     VERTICALLY    ID           False                      62.5      9.50813e-05  9.13143e-05           6.86115e-06       62.5     37.5              18               9                9           50                 50
NGCUT09     HORIZONTALLY  ID           True                       60.75     8.83102e-05  8.55923e-05           6.17794e-06       60.75    39.25             18               7               11           38.8889            61.1111
NGCUT09     HORIZONTALLY  ID           False                      66.25     7.0858e-05   6.81877e-05           6.96803e-06       66.25    33.75             18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA      ID           True                       55.5      0.000139713  0.000134706           8.60952e-06       55.5     44.5              18               6               12           33.3333            66.6667
NGCUT09     MAX_AREA      ID           False                      76.5      0.000207663  0.000195265           2.02294e-05       76.5     23.5              18               9                9           50                 50
NGCUT09     NONE          ID           True                       76.75     0.00246787   0.00231457            0.000294332       76.75    23.25             18               7               11           38.8889            61.1111
