Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    PERIMETER    True                       62        3.19004e-05  3.00407e-05           4.4919e-06        62       38                10               3                7           30                 70
NGCUT01     VERTICALLY    PERIMETER    False                      60        3.32832e-05  3.19481e-05           4.17498e-06       60       40                10               3                7           30                 70
NGCUT01     HORIZONTALLY  PERIMETER    True                       62        2.93732e-05  2.76566e-05           4.29259e-06       62       38                10               3                7           30                 70
NGCUT01     HORIZONTALLY  PERIMETER    False                      76        3.91483e-05  3.71933e-05           4.41274e-06       76       24                10               4                6           40                 60
NGCUT01     MAX_AREA      PERIMETER    True                       62        6.814e-05    6.4373e-05            6.34462e-06       62       38                10               3                7           30                 70
NGCUT01     MAX_AREA      PERIMETER    False                      60        6.28948e-05  5.93662e-05           7.83727e-06       60       40                10               3                7           30                 70
NGCUT01     NONE          PERIMETER    True                       62        0.000114679  0.000112534           5.8342e-06        62       38                10               3                7           30                 70
NGCUT01     NONE          PERIMETER    False                      76        0.000197554  0.000194788           7.94703e-06       76       24                10               4                6           40                 60
NGCUT02     VERTICALLY    PERIMETER    True                       97        4.26769e-05  3.95775e-05           4.92552e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    PERIMETER    False                      76        7.16209e-05  6.93798e-05           5.77071e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     HORIZONTALLY  PERIMETER    True                       91        5.73158e-05  5.65052e-05           5.69536e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  PERIMETER    False                      52        7.76768e-05  7.36713e-05           7.6997e-06        52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA      PERIMETER    True                       91        0.000110149  0.000104189           1.01377e-05       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      PERIMETER    False                      52        0.000142813  0.000141382           7.3191e-06        52       48                17               6               11           35.2941            64.7059
NGCUT02     NONE          PERIMETER    True                       97        0.000376749  0.000374079           9.62857e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     NONE          PERIMETER    False                      76        0.00107827   0.00107694            4.70984e-06       76       24                17               7               10           41.1765            58.8235
NGCUT03     VERTICALLY    PERIMETER    True                       84        5.04494e-05  4.8399e-05            5.2139e-06        84       16                21               5               16           23.8095            76.1905
NGCUT03     VERTICALLY    PERIMETER    False                      57        7.47681e-05  7.20024e-05           6.06652e-06       57       43                21               7               14           33.3333            66.6667
NGCUT03     HORIZONTALLY  PERIMETER    True                       90        6.59466e-05  6.34193e-05           5.7648e-06        90       10                21               7               14           33.3333            66.6667
NGCUT03     HORIZONTALLY  PERIMETER    False                      72        9.64165e-05  9.46522e-05           6.06465e-06       72       28                21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA      PERIMETER    True                       90        0.000130463  0.000127316           8.87148e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA      PERIMETER    False                      72        0.000187302  0.000184059           1.00878e-05       72       28                21               9               12           42.8571            57.1429
NGCUT03     NONE          PERIMETER    True                       84        0.000549841  0.000547647           7.55362e-06       84       16                21               5               16           23.8095            76.1905
NGCUT03     NONE          PERIMETER    False                      72        0.00190721   0.00186586            0.000101585       72       28                21               9               12           42.8571            57.1429
NGCUT04     VERTICALLY    PERIMETER    True                       78        4.24862e-05  3.93391e-05           5.73475e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY    PERIMETER    False                      30        2.25067e-05  2.00272e-05           4.63195e-06       30       70                 7               2                5           28.5714            71.4286
NGCUT04     HORIZONTALLY  PERIMETER    True                       78        4.56333e-05  4.29153e-05           5.06571e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     HORIZONTALLY  PERIMETER    False                      52        4.53472e-05  4.26769e-05           5.50205e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA      PERIMETER    True                       78        9.67979e-05  9.32217e-05           6.51367e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA      PERIMETER    False                      52        8.82149e-05  8.41618e-05           7.1605e-06        52       48                 7               4                3           57.1429            42.8571
NGCUT04     NONE          PERIMETER    True                       78        0.000292778  0.000290394           7.74035e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     NONE          PERIMETER    False                      52        0.000194883  0.000191927           6.91101e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT05     VERTICALLY    PERIMETER    True                       92.6667   4.58241e-05  4.29153e-05           5.21347e-06       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     VERTICALLY    PERIMETER    False                      31.3333   2.61784e-05  2.43187e-05           4.34524e-06       31.3333  68.6667           14               2               12           14.2857            85.7143
NGCUT05     HORIZONTALLY  PERIMETER    True                       79.3333   4.80175e-05  4.52995e-05           4.89217e-06       79.3333  20.6667           14               4               10           28.5714            71.4286
NGCUT05     HORIZONTALLY  PERIMETER    False                      60        6.47068e-05  6.38962e-05           4.56769e-06       60       40                14               5                9           35.7143            64.2857
NGCUT05     MAX_AREA      PERIMETER    True                       79.3333   9.43661e-05  9.03606e-05           1.07763e-05       79.3333  20.6667           14               4               10           28.5714            71.4286
NGCUT05     MAX_AREA      PERIMETER    False                      60        0.000119925  0.000115395           8.88889e-06       60       40                14               5                9           35.7143            64.2857
NGCUT05     NONE          PERIMETER    True                       92.6667   0.000312424  0.000308037           1.05106e-05       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     NONE          PERIMETER    False                      60        0.000341892  0.000340939           8.02164e-06       60       40                14               5                9           35.7143            64.2857
NGCUT06     VERTICALLY    PERIMETER    True                       90.6667   6.66618e-05  6.38962e-05           5.13038e-06       90.6667   9.33333          15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY    PERIMETER    False                      70.6667   8.77857e-05  8.53539e-05           8.14457e-06       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     HORIZONTALLY  PERIMETER    True                       64        7.09534e-05  6.24657e-05           1.48607e-05       64       36                15               5               10           33.3333            66.6667
NGCUT06     HORIZONTALLY  PERIMETER    False                      69.3333   6.61373e-05  6.27041e-05           6.55647e-06       69.3333  30.6667           15               6                9           40                 60
NGCUT06     MAX_AREA      PERIMETER    True                       64        0.000118113  0.000116348           8.26539e-06       64       36                15               5               10           33.3333            66.6667
NGCUT06     MAX_AREA      PERIMETER    False                      70.6667   0.000168228  0.000164032           9.87939e-06       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     NONE          PERIMETER    True                       77.3333   0.000723839  0.0007236             8.4751e-06        77.3333  22.6667           15               6                9           40                 60
NGCUT06     NONE          PERIMETER    False                      88        0.00228376   0.00219107            0.000159599       88       12                15               8                7           53.3333            46.6667
NGCUT07     VERTICALLY    PERIMETER    True                      100        8.23021e-05  8.15392e-05           5.9124e-06        43.75    56.25              8               8                0          100                  0
NGCUT07     VERTICALLY    PERIMETER    False                      20.25     5.79834e-05  5.43594e-05           6.97781e-06       20.25    79.75              8               6                2           75                 25
NGCUT07     HORIZONTALLY  PERIMETER    True                      100        7.30038e-05  7.05719e-05           6.9615e-06        43.75    56.25              8               8                0          100                  0
NGCUT07     HORIZONTALLY  PERIMETER    False                      33.75     6.81877e-05  6.65188e-05           5.71608e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     MAX_AREA      PERIMETER    True                      100        0.000166702  0.000161886           1.04865e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     MAX_AREA      PERIMETER    False                      33.75     0.000136805  0.000132799           7.89075e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     NONE          PERIMETER    True                      100        0.000746536  0.000735998           1.43973e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE          PERIMETER    False                      33.75     0.000566196  0.000559807           9.94683e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT08     VERTICALLY    PERIMETER    True                       85.25     5.57899e-05  5.29289e-05           6.02402e-06       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     VERTICALLY    PERIMETER    False                      33        4.70161e-05  4.48227e-05           4.78361e-06       33       67                13               4                9           30.7692            69.2308
NGCUT08     HORIZONTALLY  PERIMETER    True                       85.25     7.04288e-05  6.84261e-05           5.24217e-06       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     HORIZONTALLY  PERIMETER    False                      62.75     8.62598e-05  8.29697e-05           7.75121e-06       62.75    37.25             13               8                5           61.5385            38.4615
NGCUT08     MAX_AREA      PERIMETER    True                       85.25     0.000132084  0.000127554           9.87064e-06       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     MAX_AREA      PERIMETER    False                      53.5      0.000156355  0.000152588           9.76923e-06       53.5     46.5              13               7                6           53.8462            46.1538
NGCUT08     NONE          PERIMETER    True                       85.25     0.000444031  0.000440598           1.50733e-05       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     NONE          PERIMETER    False                      64.75     0.00150189   0.00144053            0.000115537       64.75    35.25             13               8                5           61.5385            38.4615
NGCUT09     VERTICALLY    PERIMETER    True                       84.25     7.55787e-05  7.31945e-05           6.52414e-06       84.25    15.75             18               8               10           44.4444            55.5556
NGCUT09     VERTICALLY    PERIMETER    False                      49.25     8.4734e-05   8.24928e-05           7.21995e-06       49.25    50.75             18               8               10           44.4444            55.5556
NGCUT09     HORIZONTALLY  PERIMETER    True                       79        5.56946e-05  5.29289e-05           7.66596e-06       79       21                18               5               13           27.7778            72.2222
NGCUT09     HORIZONTALLY  PERIMETER    False                      57        0.000114059  0.000109911           7.98129e-06       57       43                18               9                9           50                 50
NGCUT09     MAX_AREA      PERIMETER    True                       84.25     0.000226307  0.000258446           5.25425e-05       84.25    15.75             18               8               10           44.4444            55.5556
NGCUT09     MAX_AREA      PERIMETER    False                      72.75     0.000216436  0.000210285           1.20701e-05       72.75    27.25             18              10                8           55.5556            44.4444
NGCUT09     NONE          PERIMETER    True                       84.25     0.000754452  0.000750303           6.85651e-06       84.25    15.75             18               8               10           44.4444            55.5556
NGCUT09     NONE          PERIMETER    False                      72.75     0.0039856    0.0039835             6.69511e-06       72.75    27.25             18              10                8           55.5556            44.4444
NGCUT10     VERTICALLY    PERIMETER    True                       91        5.14507e-05  4.91142e-05           5.65288e-06       91        9                13               6                7           46.1538            53.8462
NGCUT10     VERTICALLY    PERIMETER    False                      29.4444   3.29971e-05  3.0756e-05            5.11706e-06       29.4444  70.5556           13               4                9           30.7692            69.2308
NGCUT10     HORIZONTALLY  PERIMETER    True                       87.6667   5.04971e-05  4.76837e-05           5.63475e-06       87.6667  12.3333           13               4                9           30.7692            69.2308
NGCUT10     HORIZONTALLY  PERIMETER    False                      90.1111   6.34193e-05  6.12736e-05           5.92699e-06       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT10     MAX_AREA      PERIMETER    True                       87.6667   9.12189e-05  8.74996e-05           7.80995e-06       87.6667  12.3333           13               4                9           30.7692            69.2308
NGCUT10     MAX_AREA      PERIMETER    False                      90.1111   0.000138569  0.000133276           9.89411e-06       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT10     NONE          PERIMETER    True                       87.6667   0.000444937  0.000441551           8.28161e-06       87.6667  12.3333           13               4                9           30.7692            69.2308
NGCUT10     NONE          PERIMETER    False                      90.1111   0.000564098  0.000566959           6.49795e-06       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT11     VERTICALLY    PERIMETER    True                       79.7778   8.6832e-05   8.4877e-05            5.4564e-06        79.7778  20.2222           15               7                8           46.6667            53.3333
NGCUT11     VERTICALLY    PERIMETER    False                      46        7.17163e-05  6.81877e-05           6.19962e-06       46       54                15               6                9           40                 60
NGCUT11     HORIZONTALLY  PERIMETER    True                       78.4444   9.00745e-05  8.7738e-05            6.36966e-06       78.4444  21.5556           15               8                7           53.3333            46.6667
NGCUT11     HORIZONTALLY  PERIMETER    False                      44.6667   8.36372e-05  8.13007e-05           5.70693e-06       44.6667  55.3333           15               7                8           46.6667            53.3333
NGCUT11     MAX_AREA      PERIMETER    True                       64.4444   0.000116825  0.000111818           9.5665e-06        64.4444  35.5556           15               5               10           33.3333            66.6667
NGCUT11     MAX_AREA      PERIMETER    False                      44.6667   0.000165796  0.000160217           1.04943e-05       44.6667  55.3333           15               7                8           46.6667            53.3333
NGCUT11     NONE          PERIMETER    True                       92.5556   0.00124326   0.00124288            9.09822e-06       92.5556   7.44444          15               9                6           60                 40
NGCUT11     NONE          PERIMETER    False                      63.3333   0.00142422   0.00142288            1.11141e-05       63.3333  36.6667           15               8                7           53.3333            46.6667
NGCUT12     VERTICALLY    PERIMETER    True                       95        9.67503e-05  9.36985e-05           6.72222e-06       95        5                22               9               13           40.9091            59.0909
NGCUT12     VERTICALLY    PERIMETER    False                      52        8.28743e-05  8.03471e-05           5.42757e-06       52       48                22               7               15           31.8182            68.1818
NGCUT12     HORIZONTALLY  PERIMETER    True                       97.6667   9.408e-05    9.10759e-05           7.05751e-06       97.6667   2.33333          22              10               12           45.4545            54.5455
NGCUT12     HORIZONTALLY  PERIMETER    False                      53.3333   0.000137234  0.000133276           6.46567e-06       53.3333  46.6667           22              10               12           45.4545            54.5455
NGCUT12     MAX_AREA      PERIMETER    True                       95        0.000192642  0.000190258           9.28425e-06       95        5                22               9               13           40.9091            59.0909
NGCUT12     MAX_AREA      PERIMETER    False                      53.3333   0.000226068  0.00022006            1.18208e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
NGCUT12     NONE          PERIMETER    True                       95        0.00142913   0.0014286             9.84111e-06       95        5                22               9               13           40.9091            59.0909
NGCUT12     NONE          PERIMETER    False                      53.3333   0.00465908   0.00466418            2.45331e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
