Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY    WIDTH        True                       72        3.67165e-05  3.52859e-05           4.70839e-06       72       28                10               4                6           40                 60
NGCUT01     VERTICALLY    WIDTH        False                      78        4.673e-05    4.50611e-05           4.69872e-06       78       22                10               4                6           40                 60
NGCUT01     HORIZONTALLY  WIDTH        True                       92        4.3726e-05   4.07696e-05           5.52308e-06       92        8                10               5                5           50                 50
NGCUT01     HORIZONTALLY  WIDTH        False                      78        4.52042e-05  4.17233e-05           6.5217e-06        78       22                10               4                6           40                 60
NGCUT01     MAX_AREA      WIDTH        True                       92        8.92162e-05  8.58307e-05           6.35894e-06       92        8                10               5                5           50                 50
NGCUT01     MAX_AREA      WIDTH        False                      78        9.40323e-05  9.25064e-05           7.11207e-06       78       22                10               4                6           40                 60
NGCUT01     NONE          WIDTH        True                       92        0.000286436  0.000283241           1.00018e-05       92        8                10               5                5           50                 50
NGCUT01     NONE          WIDTH        False                      78        0.000196457  0.000193119           7.80179e-06       78       22                10               4                6           40                 60
NGCUT02     VERTICALLY    WIDTH        True                       97        4.52042e-05  4.33922e-05           4.65887e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY    WIDTH        False                      78        4.64916e-05  4.36306e-05           5.17758e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  WIDTH        True                       91        8.06808e-05  8.10623e-05           1.16411e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     HORIZONTALLY  WIDTH        False                      88        6.13213e-05  5.98431e-05           6.51612e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     MAX_AREA      WIDTH        True                       91        0.000102854  9.91821e-05           9.10572e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA      WIDTH        False                      78        0.000102091  9.72748e-05           8.85865e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     NONE          WIDTH        True                       91        0.000589943  0.000586987           6.87804e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     NONE          WIDTH        False                      88        0.000553226  0.000549793           7.79829e-06       88       12                17               7               10           41.1765            58.8235
NGCUT03     VERTICALLY    WIDTH        True                       88        5.87463e-05  5.57899e-05           6.18346e-06       88       12                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY    WIDTH        False                      64        5.24044e-05  4.91142e-05           5.94308e-06       64       36                21               5               16           23.8095            76.1905
NGCUT03     HORIZONTALLY  WIDTH        True                       90        6.85215e-05  6.58035e-05           5.28537e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     HORIZONTALLY  WIDTH        False                      78        8.61168e-05  8.2016e-05            7.82129e-06       78       22                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA      WIDTH        True                       90        0.000130367  0.000127316           6.66618e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA      WIDTH        False                      78        0.000167227  0.000163078           1.08438e-05       78       22                21               8               13           38.0952            61.9048
NGCUT03     NONE          WIDTH        True                       90        0.000712872  0.000709772           8.59234e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     NONE          WIDTH        False                      72        0.00305543   0.00339913            0.000449096       72       28                21               7               14           33.3333            66.6667
NGCUT04     VERTICALLY    WIDTH        True                       78        4.42982e-05  4.22001e-05           4.44099e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY    WIDTH        False                      30        2.31743e-05  2.12193e-05           4.34e-06          30       70                 7               2                5           28.5714            71.4286
NGCUT04     HORIZONTALLY  WIDTH        True                       78        4.73022e-05  4.43459e-05           5.16791e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     HORIZONTALLY  WIDTH        False                      52        4.54426e-05  4.29153e-05           5.17011e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA      WIDTH        True                       78        0.000138092  0.000136137           8.05474e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA      WIDTH        False                      52        0.000110435  0.000120163           1.71299e-05       52       48                 7               4                3           57.1429            42.8571
NGCUT04     NONE          WIDTH        True                       78        0.000294685  0.00029254            6.31337e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     NONE          WIDTH        False                      52        0.000198174  0.000196457           5.76046e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT05     VERTICALLY    WIDTH        True                       92.6667   5.32627e-05  5.07832e-05           6.30904e-06       92.6667   7.33333          14               6                8           42.8571            57.1429
NGCUT05     VERTICALLY    WIDTH        False                      31.3333   2.35081e-05  2.09808e-05           4.53773e-06       31.3333  68.6667           14               2               12           14.2857            85.7143
NGCUT05     HORIZONTALLY  WIDTH        True                       79.3333   6.11305e-05  5.74589e-05           7.06556e-06       79.3333  20.6667           14               5                9           35.7143            64.2857
NGCUT05     HORIZONTALLY  WIDTH        False                      78.6667   5.04494e-05  4.8399e-05            4.86888e-06       78.6667  21.3333           14               5                9           35.7143            64.2857
NGCUT05     MAX_AREA      WIDTH        True                       79.3333   0.000109386  0.000106096           7.18965e-06       79.3333  20.6667           14               5                9           35.7143            64.2857
NGCUT05     MAX_AREA      WIDTH        False                      78.6667   0.000105143  0.00010252            7.70502e-06       78.6667  21.3333           14               5                9           35.7143            64.2857
NGCUT05     NONE          WIDTH        True                       92.6667   0.000437689  0.000433445           7.86044e-06       92.6667   7.33333          14               6                8           42.8571            57.1429
NGCUT05     NONE          WIDTH        False                      78.6667   0.000334167  0.000320435           3.65621e-05       78.6667  21.3333           14               5                9           35.7143            64.2857
NGCUT06     VERTICALLY    WIDTH        True                       76        7.69138e-05  7.41482e-05           6.68695e-06       76       24                15               7                8           46.6667            53.3333
