Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     MAX_AREA     AREA         True                       78        9.84669e-05  9.29832e-05           8.98683e-06       78       22                10               4                6           40                 60
NGCUT01     MAX_AREA     AREA         False                      92        9.62257e-05  9.2268e-05            8.61427e-06       92        8                10               5                5           50                 50
NGCUT01     MAX_AREA     PERIMETER    True                       62        6.814e-05    6.4373e-05            6.34462e-06       62       38                10               3                7           30                 70
NGCUT01     MAX_AREA     PERIMETER    False                      60        6.28948e-05  5.93662e-05           7.83727e-06       60       40                10               3                7           30                 70
NGCUT01     MAX_AREA     HEIGHT       True                       78        9.48429e-05  9.03606e-05           1.0083e-05        78       22                10               4                6           40                 60
NGCUT01     MAX_AREA     HEIGHT       False                      92        9.26971e-05  9.01222e-05           6.8744e-06        92        8                10               5                5           50                 50
NGCUT01     MAX_AREA     WIDTH        True                       92        8.92162e-05  8.58307e-05           6.35894e-06       92        8                10               5                5           50                 50
NGCUT01     MAX_AREA     WIDTH        False                      78        9.40323e-05  9.25064e-05           7.11207e-06       78       22                10               4                6           40                 60
NGCUT01     MAX_AREA     ID           True                       76        9.84192e-05  9.65595e-05           7.09414e-06       76       24                10               4                6           40                 60
NGCUT01     MAX_AREA     ID           False                      78        9.42707e-05  9.08375e-05           7.4065e-06        78       22                10               4                6           40                 60
NGCUT02     MAX_AREA     AREA         True                       91        0.000106525  0.000105619           6.65081e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA     AREA         False                      52        0.000138283  0.00013566            7.98044e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA     PERIMETER    True                       91        0.000110149  0.000104189           1.01377e-05       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA     PERIMETER    False                      52        0.000142813  0.000141382           7.3191e-06        52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA     HEIGHT       True                       78        9.83715e-05  9.5129e-05            8.01399e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA     HEIGHT       False                      52        0.000137663  0.000136137           7.35412e-06       52       48                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA     WIDTH        True                       91        0.000102854  9.91821e-05           9.10572e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA     WIDTH        False                      78        0.000102091  9.72748e-05           8.85865e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     MAX_AREA     ID           True                       64        0.000137091  0.000133276           8.97797e-06       64       36                17               6               11           35.2941            64.7059
NGCUT02     MAX_AREA     ID           False                      82        0.000169992  0.000166178           9.33554e-06       82       18                17               9                8           52.9412            47.0588
NGCUT03     MAX_AREA     AREA         True                       80        9.90868e-05  9.70364e-05           6.67334e-06       80       20                21               5               16           23.8095            76.1905
NGCUT03     MAX_AREA     AREA         False                      60        0.000185966  0.000184298           1.06688e-05       60       40                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA     PERIMETER    True                       90        0.000130463  0.000127316           8.87148e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA     PERIMETER    False                      72        0.000187302  0.000184059           1.00878e-05       72       28                21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA     HEIGHT       True                       85        0.000122499  0.000119925           7.37388e-06       85       15                21               6               15           28.5714            71.4286
NGCUT03     MAX_AREA     HEIGHT       False                      80        0.000188351  0.000182152           1.29687e-05       80       20                21               9               12           42.8571            57.1429
NGCUT03     MAX_AREA     WIDTH        True                       90        0.000130367  0.000127316           6.66618e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     MAX_AREA     WIDTH        False                      78        0.000167227  0.000163078           1.08438e-05       78       22                21               8               13           38.0952            61.9048
NGCUT03     MAX_AREA     ID           True                       90        0.00020771   0.000202417           1.04496e-05       90       10                21              11               10           52.381             47.619
NGCUT03     MAX_AREA     ID           False                      70        0.000174761  0.0001688             1.11349e-05       70       30                21               8               13           38.0952            61.9048
NGCUT04     MAX_AREA     AREA         True                       92        0.00010519   0.000100613           7.64339e-06       92        8                 7               6                1           85.7143            14.2857
NGCUT04     MAX_AREA     AREA         False                      52        8.85487e-05  8.4877e-05            6.78484e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA     PERIMETER    True                       78        9.67979e-05  9.32217e-05           6.51367e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA     PERIMETER    False                      52        8.82149e-05  8.41618e-05           7.1605e-06        52       48                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA     HEIGHT       True                       70        7.48634e-05  7.20024e-05           6.882e-06         70       30                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA     HEIGHT       False                      78        0.000101376  9.84669e-05           8.3377e-06        78       22                 7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA     WIDTH        True                       78        0.000138092  0.000136137           8.05474e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     MAX_AREA     WIDTH        False                      52        0.000110435  0.000120163           1.71299e-05       52       48                 7               4                3           57.1429            42.8571
NGCUT04     MAX_AREA     ID           True                       88        0.000107145  0.000102758           8.05361e-06       88       12                 7               6                1           85.7143            14.2857
