Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     NONE         AREA         True                       62        0.000230789  0.000223637           1.25482e-05       62       38                10               3                7           30                 70
NGCUT01     NONE         AREA         False                      70        0.000353765  0.000348568           1.07065e-05       70       30                10               4                6           40                 60
NGCUT01     NONE         PERIMETER    True                       62        0.000114679  0.000112534           5.8342e-06        62       38                10               3                7           30                 70
NGCUT01     NONE         PERIMETER    False                      76        0.000197554  0.000194788           7.94703e-06       76       24                10               4                6           40                 60
NGCUT01     NONE         HEIGHT       True                       78        0.000192642  0.000188112           8.08095e-06       78       22                10               4                6           40                 60
NGCUT01     NONE         HEIGHT       False                      92        0.000408888  0.000409842           1.07145e-05       92        8                10               5                5           50                 50
NGCUT01     NONE         WIDTH        True                       92        0.000286436  0.000283241           1.00018e-05       92        8                10               5                5           50                 50
NGCUT01     NONE         WIDTH        False                      78        0.000196457  0.000193119           7.80179e-06       78       22                10               4                6           40                 60
NGCUT01     NONE         ID           True                       76        0.000201559  0.000199318           5.37495e-06       76       24                10               4                6           40                 60
NGCUT01     NONE         ID           False                      58        0.000216818  0.000212908           7.37573e-06       58       42                10               3                7           30                 70
NGCUT02     NONE         AREA         True                       97        0.000383615  0.000379086           8.99821e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     NONE         AREA         False                      76        0.00114837   0.00109267            0.000117533       76       24                17               7               10           41.1765            58.8235
NGCUT02     NONE         PERIMETER    True                       97        0.000376749  0.000374079           9.62857e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     NONE         PERIMETER    False                      76        0.00107827   0.00107694            4.70984e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     NONE         HEIGHT       True                       90        0.000703573  0.000700235           5.9576e-06        90       10                17               7               10           41.1765            58.8235
NGCUT02     NONE         HEIGHT       False                      86        0.00134726   0.00134945            1.25558e-05       86       14                17               8                9           47.0588            52.9412
NGCUT02     NONE         WIDTH        True                       91        0.000589943  0.000586987           6.87804e-06       91        9                17               5               12           29.4118            70.5882
NGCUT02     NONE         WIDTH        False                      88        0.000553226  0.000549793           7.79829e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     NONE         ID           True                       88        0.00075531   0.000759363           6.87043e-06       88       12                17               7               10           41.1765            58.8235
NGCUT02     NONE         ID           False                      82        0.000933886  0.000932217           1.35953e-05       82       18                17               9                8           52.9412            47.0588
NGCUT03     NONE         AREA         True                       90        0.000606346  0.000597954           1.47353e-05       90       10                21               6               15           28.5714            71.4286
NGCUT03     NONE         AREA         False                      86        0.00535707   0.0053668             2.67469e-05       86       14                21               9               12           42.8571            57.1429
NGCUT03     NONE         PERIMETER    True                       84        0.000549841  0.000547647           7.55362e-06       84       16                21               5               16           23.8095            76.1905
NGCUT03     NONE         PERIMETER    False                      72        0.00190721   0.00186586            0.000101585       72       28                21               9               12           42.8571            57.1429
NGCUT03     NONE         HEIGHT       True                       93        0.000912476  0.000908852           8.62456e-06       93        7                21               8               13           38.0952            61.9048
NGCUT03     NONE         HEIGHT       False                      88        0.00291681   0.00291872            1.70778e-05       88       12                21              10               11           47.619             52.381
NGCUT03     NONE         WIDTH        True                       90        0.000712872  0.000709772           8.59234e-06       90       10                21               7               14           33.3333            66.6667
NGCUT03     NONE         WIDTH        False                      72        0.00305543   0.00339913            0.000449096       72       28                21               7               14           33.3333            66.6667
NGCUT03     NONE         ID           True                       93        0.00315442   0.00315213            1.82789e-05       93        7                21               8               13           38.0952            61.9048
NGCUT03     NONE         ID           False                      80        0.00251474   0.00241876            0.00021172        80       20                21               9               12           42.8571            57.1429
NGCUT04     NONE         AREA         True                       92        0.000423479  0.000418186           1.13517e-05       92        8                 7               6                1           85.7143            14.2857
NGCUT04     NONE         AREA         False                      52        0.000194979  0.000191927           6.16099e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     NONE         PERIMETER    True                       78        0.000292778  0.000290394           7.74035e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     NONE         PERIMETER    False                      52        0.000194883  0.000191927           6.91101e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     NONE         HEIGHT       True                       70        0.000187826  0.00018549            5.85054e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     NONE         HEIGHT       False                      78        0.000293541  0.000290871           5.90662e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     NONE         WIDTH        True                       78        0.000294685  0.00029254            6.31337e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     NONE         WIDTH        False                      52        0.000198174  0.000196457           5.76046e-06       52       48                 7               4                3           57.1429            42.8571
NGCUT04     NONE         ID           True                       88        0.000424051  0.000420094           6.05151e-06       88       12                 7               6                1           85.7143            14.2857
NGCUT04     NONE         ID           False                      92        0.000409985  0.000407219           8.8986e-06        92        8                 7               6                1           85.7143            14.2857
NGCUT05     NONE         AREA         True                       92.6667   0.000309277  0.000304937           7.20545e-06       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     NONE         AREA         False                      73.3333   0.000691748  0.00069356            1.59585e-05       73.3333  26.6667           14               6                8           42.8571            57.1429
NGCUT05     NONE         PERIMETER    True                       92.6667   0.000312424  0.000308037           1.05106e-05       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     NONE         PERIMETER    False                      60        0.000341892  0.000340939           8.02164e-06       60       40                14               5                9           35.7143            64.2857
NGCUT05     NONE         HEIGHT       True                       78.6667   0.00029521   0.000291824           9.40881e-06       78.6667  21.3333           14               5                9           35.7143            64.2857
NGCUT05     NONE         HEIGHT       False                      70        0.000586367  0.000546217           9.9226e-05        70       30                14               6                8           42.8571            57.1429
NGCUT05     NONE         WIDTH        True                       92.6667   0.000437689  0.000433445           7.86044e-06       92.6667   7.33333          14               6                8           42.8571            57.1429
NGCUT05     NONE         WIDTH        False                      78.6667   0.000334167  0.000320435           3.65621e-05       78.6667  21.3333           14               5                9           35.7143            64.2857
NGCUT05     NONE         ID           True                       83.3333   0.000420189  0.000416994           6.58588e-06       83.3333  16.6667           14               6                8           42.8571            57.1429
NGCUT05     NONE         ID           False                      65.3333   0.000287056  0.000284195           8.65561e-06       65.3333  34.6667           14               4               10           28.5714            71.4286
NGCUT06     NONE         AREA         True                       85.3333   0.000766373  0.00073719            5.62996e-05       85.3333  14.6667           15               7                8           46.6667            53.3333
NGCUT06     NONE         AREA         False                      70.6667   0.00267515   0.00268006            9.78109e-06       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     NONE         PERIMETER    True                       77.3333   0.000723839  0.0007236             8.4751e-06        77.3333  22.6667           15               6                9           40                 60
NGCUT06     NONE         PERIMETER    False                      88        0.00228376   0.00219107            0.000159599       88       12                15               8                7           53.3333            46.6667
NGCUT06     NONE         HEIGHT       True                       70.6667   0.00153131   0.00151634            2.20185e-05       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     NONE         HEIGHT       False                      73.3333   0.00110459   0.00109339            2.11981e-05       73.3333  26.6667           15               7                8           46.6667            53.3333
NGCUT06     NONE         WIDTH        True                       70.6667   0.0013248    0.00131869            1.89002e-05       70.6667  29.3333           15               6                9           40                 60
NGCUT06     NONE         WIDTH        False                      84        0.00127835   0.00126648            6.35666e-05       84       16                15               8                7           53.3333            46.6667
NGCUT06     NONE         ID           True                       84        0.000895262  0.000897884           1.3716e-05        84       16                15               7                8           46.6667            53.3333
NGCUT06     NONE         ID           False                      70.6667   0.00160666   0.00152802            0.00014542        70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT07     NONE         AREA         True                      100        0.00074873   0.000746727           1.01809e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         AREA         False                      33.75     0.00057478   0.000569582           9.87341e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     NONE         PERIMETER    True                      100        0.000746536  0.000735998           1.43973e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         PERIMETER    False                      33.75     0.000566196  0.000559807           9.94683e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     NONE         HEIGHT       True                      100        0.000736761  0.000733614           1.00242e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         HEIGHT       False                     100        0.000749397  0.000746727           8.55308e-06       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         WIDTH        True                      100        0.000742579  0.000735521           1.34224e-05       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         WIDTH        False                      33.75     0.000569916  0.000566959           8.21157e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     NONE         ID           True                      100        0.000740957  0.000737429           9.83649e-06       43.75    56.25              8               8                0          100                  0
NGCUT07     NONE         ID           False                     100        0.00074439   0.000738621           1.3904e-05        43.75    56.25              8               8                0          100                  0
NGCUT08     NONE         AREA         True                       88.75     0.000445175  0.000435114           2.09886e-05       88.75    11.25             13               6                7           46.1538            53.8462
NGCUT08     NONE         AREA         False                      62.75     0.00132923   0.00132561            1.16229e-05       62.75    37.25             13               8                5           61.5385            38.4615
NGCUT08     NONE         PERIMETER    True                       85.25     0.000444031  0.000440598           1.50733e-05       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     NONE         PERIMETER    False                      64.75     0.00150189   0.00144053            0.000115537       64.75    35.25             13               8                5           61.5385            38.4615
NGCUT08     NONE         HEIGHT       True                       73        0.000669289  0.000665426           7.28079e-06       73       27                13               7                6           53.8462            46.1538
NGCUT08     NONE         HEIGHT       False                      58.25     0.00193605   0.00189948            9.70054e-05       58.25    41.75             13               6                7           46.1538            53.8462
NGCUT08     NONE         WIDTH        True                       85.25     0.000430965  0.000427485           7.96703e-06       85.25    14.75             13               6                7           46.1538            53.8462
NGCUT08     NONE         WIDTH        False                      67.5      0.00122709   0.00122309            3.5363e-05        67.5     32.5              13               8                5           61.5385            38.4615
NGCUT08     NONE         ID           True                       69.5      0.000908756  0.00086236            9.08277e-05       69.5     30.5              13               6                7           46.1538            53.8462
NGCUT08     NONE         ID           False                      64.75     0.00125551   0.0012126             9.73478e-05       64.75    35.25             13               8                5           61.5385            38.4615
NGCUT09     NONE         AREA         True                       76.75     0.00100493   0.00100112            6.20072e-06       76.75    23.25             18               7               11           38.8889            61.1111
NGCUT09     NONE         AREA         False                      72.75     0.00315299   0.00317669            8.73298e-05       72.75    27.25             18              10                8           55.5556            44.4444
NGCUT09     NONE         PERIMETER    True                       84.25     0.000754452  0.000750303           6.85651e-06       84.25    15.75             18               8               10           44.4444            55.5556
NGCUT09     NONE         PERIMETER    False                      72.75     0.0039856    0.0039835             6.69511e-06       72.75    27.25             18              10                8           55.5556            44.4444
NGCUT09     NONE         HEIGHT       True                       72        0.00123024   0.00122309            1.49068e-05       72       28                18               7               11           38.8889            61.1111
NGCUT09     NONE         HEIGHT       False                      80.5      0.00324054   0.00319219            0.000106687       80.5     19.5              18              10                8           55.5556            44.4444
NGCUT09     NONE         WIDTH        True                       83.75     0.000930691  0.000926971           8.94321e-06       83.75    16.25             18               9                9           50                 50
NGCUT09     NONE         WIDTH        False                      69.75     0.00388875   0.00383234            0.000135821       69.75    30.25             18               8               10           44.4444            55.5556
NGCUT09     NONE         ID           True                       76.75     0.00246787   0.00231457            0.000294332       76.75    23.25             18               7               11           38.8889            61.1111
NGCUT09     NONE         ID           False                      71.5      0.00210328   0.00210214            7.46124e-06       71.5     28.5              18               9                9           50                 50
NGCUT10     NONE         AREA         True                       87.6667   0.000439978  0.000437737           6.80993e-06       87.6667  12.3333           13               4                9           30.7692            69.2308
NGCUT10     NONE         AREA         False                      90.1111   0.000567341  0.000562191           1.10752e-05       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT10     NONE         PERIMETER    True                       87.6667   0.000444937  0.000441551           8.28161e-06       87.6667  12.3333           13               4                9           30.7692            69.2308
NGCUT10     NONE         PERIMETER    False                      90.1111   0.000564098  0.000566959           6.49795e-06       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT10     NONE         HEIGHT       True                       91        0.000398493  0.000397444           5.04772e-06       91        9                13               6                7           46.1538            53.8462
NGCUT10     NONE         HEIGHT       False                      79.8889   0.000414515  0.000409365           1.28778e-05       79.8889  20.1111           13               6                7           46.1538            53.8462
NGCUT10     NONE         WIDTH        True                       74        0.000288916  0.000286102           5.8486e-06        74       26                13               5                8           38.4615            61.5385
NGCUT10     NONE         WIDTH        False                      90.1111   0.000548363  0.000542402           1.06389e-05       90.1111   9.88889          13               7                6           53.8462            46.1538
NGCUT10     NONE         ID           True                       80.6667   0.000660706  0.000657082           1.20248e-05       80.6667  19.3333           13               6                7           46.1538            53.8462
NGCUT10     NONE         ID           False                      83.4444   0.000408363  0.000402927           1.65967e-05       83.4444  16.5556           13               6                7           46.1538            53.8462
NGCUT11     NONE         AREA         True                       69.1111   0.000474453  0.000471115           8.95134e-06       69.1111  30.8889           15               5               10           33.3333            66.6667
NGCUT11     NONE         AREA         False                      63.3333   0.00140924   0.00140738            8.44204e-06       63.3333  36.6667           15               8                7           53.3333            46.6667
NGCUT11     NONE         PERIMETER    True                       92.5556   0.00124326   0.00124288            9.09822e-06       92.5556   7.44444          15               9                6           60                 40
NGCUT11     NONE         PERIMETER    False                      63.3333   0.00142422   0.00142288            1.11141e-05       63.3333  36.6667           15               8                7           53.3333            46.6667
NGCUT11     NONE         HEIGHT       True                       87.6667   0.00318589   0.00318336            1.94638e-05       87.6667  12.3333           15               7                8           46.6667            53.3333
NGCUT11     NONE         HEIGHT       False                      60.7778   0.00260434   0.00260162            1.04618e-05       60.7778  39.2222           15               8                7           53.3333            46.6667
NGCUT11     NONE         WIDTH        True                       78.4444   0.00165014   0.00165009            1.08069e-05       78.4444  21.5556           15               8                7           53.3333            46.6667
NGCUT11     NONE         WIDTH        False                      67.6667   0.00269532   0.00268412            1.74212e-05       67.6667  32.3333           15              10                5           66.6667            33.3333
NGCUT11     NONE         ID           True                       63.3333   0.00161729   0.00161386            9.65828e-06       63.3333  36.6667           15               8                7           53.3333            46.6667
NGCUT11     NONE         ID           False                      84.7778   0.0023355    0.00233078            1.34831e-05       84.7778  15.2222           15               9                6           60                 40
NGCUT12     NONE         AREA         True                       85.5556   0.000835943  0.000837564           6.88266e-06       85.5556  14.4444           22               8               14           36.3636            63.6364
NGCUT12     NONE         AREA         False                      53.3333   0.00555758   0.00556564            2.29583e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
NGCUT12     NONE         PERIMETER    True                       95        0.00142913   0.0014286             9.84111e-06       95        5                22               9               13           40.9091            59.0909
NGCUT12     NONE         PERIMETER    False                      53.3333   0.00465908   0.00466418            2.45331e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
NGCUT12     NONE         HEIGHT       True                       84.3333   0.000932407  0.000927687           1.28493e-05       84.3333  15.6667           22               9               13           40.9091            59.0909
NGCUT12     NONE         HEIGHT       False                      53.3333   0.008707     0.00871396            3.78254e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
NGCUT12     NONE         WIDTH        True                       65.4444   0.00359254   0.00360107            2.51413e-05       65.4444  34.5556           22              10               12           45.4545            54.5455
NGCUT12     NONE         WIDTH        False                      65.6667   0.00548348   0.00547099            2.61308e-05       65.6667  34.3333           22               8               14           36.3636            63.6364
NGCUT12     NONE         ID           True                       71.1111   0.00125933   0.00126004            1.24664e-05       71.1111  28.8889           22               8               14           36.3636            63.6364
NGCUT12     NONE         ID           False                      53.3333   0.00314965   0.00314474            1.50076e-05       53.3333  46.6667           22              10               12           45.4545            54.5455
