Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

NGCUT01     VERTICALLY   AREA         True                       78        5.21183e-05  4.673e-05             1.11049e-05       78       22                10               4                6           40                 60
NGCUT01     VERTICALLY   AREA         False                      70        4.16279e-05  4.05312e-05           4.68078e-06       70       30                10               4                6           40                 60
NGCUT01     VERTICALLY   PERIMETER    True                       62        3.19004e-05  3.00407e-05           4.4919e-06        62       38                10               3                7           30                 70
NGCUT01     VERTICALLY   PERIMETER    False                      60        3.32832e-05  3.19481e-05           4.17498e-06       60       40                10               3                7           30                 70
NGCUT01     VERTICALLY   HEIGHT       True                       78        4.97341e-05  4.81606e-05           4.5126e-06        78       22                10               4                6           40                 60
NGCUT01     VERTICALLY   HEIGHT       False                      70        4.3726e-05   4.22001e-05           4.94763e-06       70       30                10               4                6           40                 60
NGCUT01     VERTICALLY   WIDTH        True                       72        3.67165e-05  3.52859e-05           4.70839e-06       72       28                10               4                6           40                 60
NGCUT01     VERTICALLY   WIDTH        False                      78        4.673e-05    4.50611e-05           4.69872e-06       78       22                10               4                6           40                 60
NGCUT01     VERTICALLY   ID           True                       76        4.68731e-05  4.43459e-05           4.51764e-06       76       24                10               4                6           40                 60
NGCUT01     VERTICALLY   ID           False                      78        4.81129e-05  4.52995e-05           5.50205e-06       78       22                10               4                6           40                 60
NGCUT02     VERTICALLY   AREA         True                       97        6.49452e-05  6.50883e-05           9.35938e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY   AREA         False                      76        6.93798e-05  6.69956e-05           5.26684e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     VERTICALLY   PERIMETER    True                       97        4.26769e-05  3.95775e-05           4.92552e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY   PERIMETER    False                      76        7.16209e-05  6.93798e-05           5.77071e-06       76       24                17               7               10           41.1765            58.8235
NGCUT02     VERTICALLY   HEIGHT       True                       78        4.81606e-05  4.52995e-05           5.38847e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY   HEIGHT       False                      56        6.38962e-05  6.17504e-05           6.02591e-06       56       44                17               6               11           35.2941            64.7059
NGCUT02     VERTICALLY   WIDTH        True                       97        4.52042e-05  4.33922e-05           4.65887e-06       97        3                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY   WIDTH        False                      78        4.64916e-05  4.36306e-05           5.17758e-06       78       22                17               5               12           29.4118            70.5882
NGCUT02     VERTICALLY   ID           True                       70        5.08785e-05  4.93526e-05           4.64176e-06       70       30                17               4               13           23.5294            76.4706
NGCUT02     VERTICALLY   ID           False                      64        5.16415e-05  4.98295e-05           5.76283e-06       64       36                17               6               11           35.2941            64.7059
NGCUT03     VERTICALLY   AREA         True                       90        5.84602e-05  5.6982e-05            5.21129e-06       90       10                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY   AREA         False                      66        8.54015e-05  8.24928e-05           5.27848e-06       66       34                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY   PERIMETER    True                       84        5.04494e-05  4.8399e-05            5.2139e-06        84       16                21               5               16           23.8095            76.1905
NGCUT03     VERTICALLY   PERIMETER    False                      57        7.47681e-05  7.20024e-05           6.06652e-06       57       43                21               7               14           33.3333            66.6667
NGCUT03     VERTICALLY   HEIGHT       True                       85        5.80311e-05  5.57899e-05           5.3686e-06        85       15                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY   HEIGHT       False                      66        8.50201e-05  8.10623e-05           6.85486e-06       66       34                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY   WIDTH        True                       88        5.87463e-05  5.57899e-05           6.18346e-06       88       12                21               6               15           28.5714            71.4286
NGCUT03     VERTICALLY   WIDTH        False                      64        5.24044e-05  4.91142e-05           5.94308e-06       64       36                21               5               16           23.8095            76.1905
NGCUT03     VERTICALLY   ID           True                       93        7.20024e-05  6.96182e-05           6.56582e-06       93        7                21               8               13           38.0952            61.9048
NGCUT03     VERTICALLY   ID           False                      70        7.57217e-05  7.27177e-05           6.05902e-06       70       30                21               8               13           38.0952            61.9048
NGCUT04     VERTICALLY   AREA         True                       70        3.19004e-05  2.98023e-05           4.42046e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT04     VERTICALLY   AREA         False                      20        2.45571e-05  2.26498e-05           4.19779e-06       20       80                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY   PERIMETER    True                       78        4.24862e-05  3.93391e-05           5.73475e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY   PERIMETER    False                      30        2.25067e-05  2.00272e-05           4.63195e-06       30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY   HEIGHT       True                       30        2.20776e-05  2.00272e-05           4.02807e-06       30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY   HEIGHT       False                      20        2.56538e-05  2.38419e-05           4.0534e-06        20       80                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY   WIDTH        True                       78        4.42982e-05  4.22001e-05           4.44099e-06       78       22                 7               5                2           71.4286            28.5714
NGCUT04     VERTICALLY   WIDTH        False                      30        2.31743e-05  2.12193e-05           4.34e-06          30       70                 7               2                5           28.5714            71.4286
NGCUT04     VERTICALLY   ID           True                       62        3.86238e-05  3.69549e-05           4.64274e-06       62       38                 7               4                3           57.1429            42.8571
NGCUT04     VERTICALLY   ID           False                      70        3.33786e-05  3.09944e-05           4.44253e-06       70       30                 7               4                3           57.1429            42.8571
NGCUT05     VERTICALLY   AREA         True                       92.6667   4.72546e-05  4.45843e-05           5.25906e-06       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     VERTICALLY   AREA         False                      53.3333   4.89712e-05  4.69685e-05           5.56614e-06       53.3333  46.6667           14               5                9           35.7143            64.2857
NGCUT05     VERTICALLY   PERIMETER    True                       92.6667   4.58241e-05  4.29153e-05           5.21347e-06       92.6667   7.33333          14               5                9           35.7143            64.2857
NGCUT05     VERTICALLY   PERIMETER    False                      31.3333   2.61784e-05  2.43187e-05           4.34524e-06       31.3333  68.6667           14               2               12           14.2857            85.7143
NGCUT05     VERTICALLY   HEIGHT       True                       71.3333   4.1008e-05   3.8147e-05            5.70414e-06       71.3333  28.6667           14               4               10           28.5714            71.4286
NGCUT05     VERTICALLY   HEIGHT       False                      75.3333   5.71728e-05  5.24521e-05           6.22524e-06       75.3333  24.6667           14               6                8           42.8571            57.1429
NGCUT05     VERTICALLY   WIDTH        True                       92.6667   5.32627e-05  5.07832e-05           6.30904e-06       92.6667   7.33333          14               6                8           42.8571            57.1429
NGCUT05     VERTICALLY   WIDTH        False                      31.3333   2.35081e-05  2.09808e-05           4.53773e-06       31.3333  68.6667           14               2               12           14.2857            85.7143
NGCUT05     VERTICALLY   ID           True                       75.3333   5.42641e-05  5.17368e-05           6.47621e-06       75.3333  24.6667           14               6                8           42.8571            57.1429
NGCUT05     VERTICALLY   ID           False                      71.3333   4.673e-05    4.48227e-05           4.92321e-06       71.3333  28.6667           14               4               10           28.5714            71.4286
NGCUT06     VERTICALLY   AREA         True                       80        7.06196e-05  6.79493e-05           5.56165e-06       80       20                15               6                9           40                 60
NGCUT06     VERTICALLY   AREA         False                      70.6667   8.53062e-05  8.22544e-05           6.99083e-06       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   PERIMETER    True                       90.6667   6.66618e-05  6.38962e-05           5.13038e-06       90.6667   9.33333          15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   PERIMETER    False                      70.6667   8.77857e-05  8.53539e-05           8.14457e-06       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   HEIGHT       True                       68        8.3065e-05   8.13007e-05           5.68137e-06       68       32                15               6                9           40                 60
NGCUT06     VERTICALLY   HEIGHT       False                      78.6667   7.37667e-05  7.10487e-05           7.2686e-06        78.6667  21.3333           15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   WIDTH        True                       76        7.69138e-05  7.41482e-05           6.68695e-06       76       24                15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   WIDTH        False                      70.6667   0.0001091    0.000113964           1.49742e-05       70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT06     VERTICALLY   ID           True                       72        6.88076e-05  6.29425e-05           7.91119e-06       72       28                15               6                9           40                 60
NGCUT06     VERTICALLY   ID           False                      70.6667   7.66277e-05  7.31945e-05           6.0815e-06        70.6667  29.3333           15               7                8           46.6667            53.3333
NGCUT07     VERTICALLY   AREA         True                       33.75     7.6437e-05   7.34329e-05           5.62102e-06       33.75    66.25              8               7                1           87.5               12.5
NGCUT07     VERTICALLY   AREA         False                      20.25     5.63145e-05  5.24521e-05           8.18495e-06       20.25    79.75              8               6                2           75                 25
NGCUT07     VERTICALLY   PERIMETER    True                      100        8.23021e-05  8.15392e-05           5.9124e-06        43.75    56.25              8               8                0          100                  0
NGCUT07     VERTICALLY   PERIMETER    False                      20.25     5.79834e-05  5.43594e-05           6.97781e-06       20.25    79.75              8               6                2           75                 25
