Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         HORIZONTALLY  AREA         True                       80.8929   7.71046e-05  7.48634e-05           5.38129e-06       80.8929  19.1071           23               7               16           30.4348            69.5652
OF1         HORIZONTALLY  AREA         False                      56.2143   9.57012e-05  9.27448e-05           5.31112e-06       56.2143  43.7857           23               7               16           30.4348            69.5652
OF1         HORIZONTALLY  PERIMETER    True                       77.7857   6.67572e-05  6.41346e-05           6.8439e-06        77.7857  22.2143           23               5               18           21.7391            78.2609
OF1         HORIZONTALLY  PERIMETER    False                      70.7143   0.000101662  9.799e-05             6.80993e-06       70.7143  29.2857           23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  HEIGHT       True                       90.4286   8.51154e-05  8.34465e-05           4.89775e-06       90.4286   9.57143          23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  HEIGHT       False                      58.1429   8.58784e-05  8.39233e-05           4.84969e-06       58.1429  41.8571           23               6               17           26.087             73.913
OF1         HORIZONTALLY  WIDTH        True                       60.25     8.81672e-05  8.58307e-05           5.27848e-06       60.25    39.75             23               6               17           26.087             73.913
OF1         HORIZONTALLY  WIDTH        False                      85.8571   9.25541e-05  9.01222e-05           5.77426e-06       85.8571  14.1429           23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  ID           True                       69.1071   9.54628e-05  9.41753e-05           5.97209e-06       69.1071  30.8929           23               8               15           34.7826            65.2174
OF1         HORIZONTALLY  ID           False                      60.25     8.06332e-05  7.7486e-05            6.90904e-06       60.25    39.75             23               6               17           26.087             73.913
