Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         VERTICALLY   AREA         True                       71        8.69751e-05  8.13007e-05           1.24658e-05       71        29               23               6               17           26.087             73.913
OF1         VERTICALLY   AREA         False                      56.6071   8.91685e-05  8.60691e-05           7.47282e-06       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         VERTICALLY   PERIMETER    True                       84.8571   9.25064e-05  8.86917e-05           8.04287e-06       84.8571   15.1429          23               7               16           30.4348            69.5652
OF1         VERTICALLY   PERIMETER    False                      56.6071   9.00745e-05  8.7738e-05            5.92008e-06       56.6071   43.3929          23               8               15           34.7826            65.2174
OF1         VERTICALLY   HEIGHT       True                       95        0.000108004  0.000104904           4.99884e-06       95         5               23               8               15           34.7826            65.2174
OF1         VERTICALLY   HEIGHT       False                      74.75     8.81195e-05  8.60691e-05           5.25949e-06       74.75     25.25            23               9               14           39.1304            60.8696
OF1         VERTICALLY   WIDTH        True                       75.5714   0.00010376   0.000100374           8.57432e-06       75.5714   24.4286          23               8               15           34.7826            65.2174
OF1         VERTICALLY   WIDTH        False                      85.8571   0.000110388  0.000107527           5.25603e-06       85.8571   14.1429          23               8               15           34.7826            65.2174
OF1         VERTICALLY   ID           True                       74.5714   0.000113153  0.000110388           5.43803e-06       74.5714   25.4286          23               9               14           39.1304            60.8696
OF1         VERTICALLY   ID           False                      78.75     0.000104761  0.000102043           6.38428e-06       78.75     21.25            23               8               15           34.7826            65.2174
OF2         VERTICALLY   AREA         True                       81.2857   6.49929e-05  6.27041e-05           4.44662e-06       81.2857   18.7143          24               6               18           25                 75
OF2         VERTICALLY   AREA         False                      62.8214   9.15051e-05  8.96454e-05           5.22436e-06       62.8214   37.1786          24               8               16           33.3333            66.6667
OF2         VERTICALLY   PERIMETER    True                       75.8214   7.31945e-05  7.05719e-05           6.13436e-06       75.8214   24.1786          24               6               18           25                 75
OF2         VERTICALLY   PERIMETER    False                      76.0714   0.000100279  9.82285e-05           5.57023e-06       76.0714   23.9286          24               9               15           37.5               62.5
OF2         VERTICALLY   HEIGHT       True                       63.3929   7.16209e-05  6.91414e-05           5.22044e-06       63.3929   36.6071          24               5               19           20.8333            79.1667
OF2         VERTICALLY   HEIGHT       False                      78.5714   0.000110722  0.000115871           1.03536e-05       78.5714   21.4286          24               9               15           37.5               62.5
OF2         VERTICALLY   WIDTH        True                       81.8214   7.79629e-05  7.39098e-05           8.31667e-06       81.8214   18.1786          24               6               18           25                 75
OF2         VERTICALLY   WIDTH        False                      54.75     8.39233e-05  8.08239e-05           5.71409e-06       54.75     45.25            24               6               18           25                 75
OF2         VERTICALLY   ID           True                       84.0714   8.16345e-05  7.84397e-05           6.30904e-06       84.0714   15.9286          24               7               17           29.1667            70.8333
OF2         VERTICALLY   ID           False                      82.4643   9.01699e-05  8.58307e-05           7.07007e-06       82.4643   17.5357          24               7               17           29.1667            70.8333
