Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP1        VERTICALLY    AREA         True                         77.56   0.000144005  0.000137568           1.38036e-05         77.56     22.44          50               8               42                16                 84
OKP1        VERTICALLY    AREA         False                        65.74   0.000409698  0.000404119           1.10495e-05         65.74     34.26          50              24               26                48                 52
OKP1        VERTICALLY    PERIMETER    True                         91.16   0.000158834  0.000155926           7.40312e-06         91.16      8.84          50              17               33                34                 66
OKP1        VERTICALLY    PERIMETER    False                        59.86   0.000396442  0.000393391           8.31312e-06         59.86     40.14          50              23               27                46                 54
OKP1        VERTICALLY    HEIGHT       True                         79.7    0.000364923  0.000360966           8.51071e-06         79.7      20.3           50              19               31                38                 62
OKP1        VERTICALLY    HEIGHT       False                        91.38   0.000209093  0.000207186           6.67061e-06         91.38      8.62          50              21               29                42                 58
OKP1        VERTICALLY    WIDTH        True                         91.62   0.000151587  0.000148058           7.90371e-06         91.62      8.38          50              16               34                32                 68
OKP1        VERTICALLY    WIDTH        False                        65.74   0.000423241  0.000419855           9.36035e-06         65.74     34.26          50              24               26                48                 52
OKP1        VERTICALLY    ID           True                         86.04   0.000181913  0.000180006           5.28623e-06         86.04     13.96          50              14               36                28                 72
OKP1        VERTICALLY    ID           False                        82.12   0.000408983  0.000407219           1.1108e-05          82.12     17.88          50              23               27                46                 54
OKP1        HORIZONTALLY  AREA         True                         93.1    0.000139904  0.000137568           6.32488e-06         93.1       6.9           50              11               39                22                 78
OKP1        HORIZONTALLY  AREA         False                        58.66   0.000250721  0.00024581            9.96875e-06         58.66     41.34          50              21               29                42                 58
OKP1        HORIZONTALLY  PERIMETER    True                         83.78   0.000107336  0.000105381           5.8486e-06          83.78     16.22          50              13               37                26                 74
OKP1        HORIZONTALLY  PERIMETER    False                        57.92   0.000238132  0.000234365           9.4978e-06          57.92     42.08          50              19               31                38                 62
OKP1        HORIZONTALLY  HEIGHT       True                         83.7    0.000261593  0.000257969           8.64299e-06         83.7      16.3           50              23               27                46                 54
OKP1        HORIZONTALLY  HEIGHT       False                        69.32   0.000118637  0.000116587           5.56818e-06         69.32     30.68          50              13               37                26                 74
OKP1        HORIZONTALLY  WIDTH        True                         83.78   0.000118256  0.000115871           6.87043e-06         83.78     16.22          50              13               37                26                 74
OKP1        HORIZONTALLY  WIDTH        False                        61.06   0.000283718  0.000280857           8.61216e-06         61.06     38.94          50              24               26                48                 52
OKP1        HORIZONTALLY  ID           True                         81.52   0.00017333   0.000170708           5.74386e-06         81.52     18.48          50              13               37                26                 74
OKP1        HORIZONTALLY  ID           False                        68.56   0.000196552  0.000193119           7.61836e-06         68.56     31.44          50              17               33                34                 66
OKP1        MAX_AREA      AREA         True                         77.56   0.000231123  0.000225306           1.07734e-05         77.56     22.44          50               8               42                16                 84
OKP1        MAX_AREA      AREA         False                        67.06   0.000705147  0.000698328           1.71612e-05         67.06     32.94          50              25               25                50                 50
OKP1        MAX_AREA      PERIMETER    True                         88.4    0.000253916  0.000247478           1.01892e-05         88.4      11.6           50              14               36                28                 72
OKP1        MAX_AREA      PERIMETER    False                        67.16   0.000505877  0.000495911           1.53037e-05         67.16     32.84          50              17               33                34                 66
OKP1        MAX_AREA      HEIGHT       True                         79.7    0.000563192  0.000555754           1.46548e-05         79.7      20.3           50              19               31                38                 62
OKP1        MAX_AREA      HEIGHT       False                        78.56   0.000295877  0.000293255           8.76265e-06         78.56     21.44          50              15               35                30                 70
OKP1        MAX_AREA      WIDTH        True                         88.4    0.000371981  0.000367165           1.68725e-05         88.4      11.6           50              14               36                28                 72
OKP1        MAX_AREA      WIDTH        False                        65.74   0.000680542  0.000670433           2.06259e-05         65.74     34.26          50              24               26                48                 52
OKP1        MAX_AREA      ID           True                         77.52   0.000251436  0.000246286           8.00547e-06         77.52     22.48          50               9               41                18                 82
OKP1        MAX_AREA      ID           False                        62.66   0.000575829  0.00057435            1.69505e-05         62.66     37.34          50              20               30                40                 60
OKP1        NONE          AREA         True                         97.22   0.00178461   0.00177813            2.43488e-05         97.22      2.78          50               9               41                18                 82
OKP1        NONE          AREA         False                        67.06   0.021143     0.0210521             0.000247968         67.06     32.94          50              25               25                50                 50
OKP1        NONE          PERIMETER    True                         91.16   0.00405669   0.00391555            0.000283895         91.16      8.84          50              17               33                34                 66
OKP1        NONE          PERIMETER    False                        65.92   0.0223252    0.0224469             0.00022057          65.92     34.08          50              25               25                50                 50
OKP1        NONE          HEIGHT       True                         88.54   0.00844831   0.00835419            0.000170033         88.54     11.46          50              21               29                42                 58
OKP1        NONE          HEIGHT       False                        91.38   0.00668344   0.00661278            9.99377e-05         91.38      8.62          50              21               29                42                 58
OKP1        NONE          WIDTH        True                         91.62   0.00297956   0.00295758            6.73088e-05         91.62      8.38          50              16               34                32                 68
OKP1        NONE          WIDTH        False                        65.74   0.0228897    0.0229747             0.000436613         65.74     34.26          50              24               26                48                 52
OKP1        NONE          ID           True                         90.04   0.00944791   0.00946593            0.000127036         90.04      9.96          50              18               32                36                 64
OKP1        NONE          ID           False                        92.12   0.0185555    0.0185151             0.000101494         92.12      7.88          50              25               25                50                 50
