Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP3        NONE         AREA         True                         93.64   0.00094986   0.000957727           1.94553e-05         93.64      6.36          30               6               24           20                 80
OKP3        NONE         AREA         False                        40.32   0.00439701   0.00415492            0.000507836         40.32     59.68          30               7               23           23.3333            76.6667
OKP3        NONE         PERIMETER    True                         92.62   0.000914907  0.000911474           1.43262e-05         92.62      7.38          30               8               22           26.6667            73.3333
OKP3        NONE         PERIMETER    False                        51.9    0.00365572   0.00351024            0.000392746         51.9      48.1           30               7               23           23.3333            76.6667
OKP3        NONE         HEIGHT       True                         89.4    0.00152011   0.00146389            9.44297e-05         89.4      10.6           30              10               20           33.3333            66.6667
OKP3        NONE         HEIGHT       False                        71.51   0.00701923   0.00702               6.29767e-05         71.51     28.49          30               9               21           30                 70
OKP3        NONE         WIDTH        True                         85.68   0.00186644   0.00187039            1.20013e-05         85.68     14.32          30               8               22           26.6667            73.3333
OKP3        NONE         WIDTH        False                        73.97   0.00324073   0.00323582            2.08474e-05         73.97     26.03          30              12               18           40                 60
OKP3        NONE         ID           True                         87.04   0.00278034   0.00277638            1.81352e-05         87.04     12.96          30              11               19           36.6667            63.3333
OKP3        NONE         ID           False                        67      0.00256896   0.00256991            1.01096e-05         67        33             30               9               21           30                 70
