Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP5        VERTICALLY    AREA         True                         84.86   0.000170279  0.000167131           5.51443e-06         84.86     15.14          97              10               87           10.3093            89.6907
OKP5        VERTICALLY    PERIMETER    True                         96.27   0.000140762  0.00013566            8.07757e-06         96.27      3.73          97              12               85           12.3711            87.6289
OKP5        VERTICALLY    HEIGHT       True                         92.46   0.000273609  0.000268698           1.00912e-05         92.46      7.54          97              12               85           12.3711            87.6289
OKP5        VERTICALLY    WIDTH        True                         98.17   0.000152016  0.000143528           1.30819e-05         98.17      1.83          97              17               80           17.5258            82.4742
OKP5        VERTICALLY    ID           True                         82.92   0.000376892  0.00037384            1.14156e-05         82.92     17.08          97              19               78           19.5876            80.4124
OKP5        HORIZONTALLY  AREA         True                         87.79   0.000333214  0.000334501           4.059e-06           87.79     12.21          97              13               84           13.4021            86.5979
OKP5        HORIZONTALLY  PERIMETER    True                         96.27   0.000154543  0.000148535           9.41847e-06         96.27      3.73          97              12               85           12.3711            87.6289
OKP5        HORIZONTALLY  HEIGHT       True                         92.46   0.000174999  0.000171185           6.52239e-06         92.46      7.54          97              12               85           12.3711            87.6289
OKP5        HORIZONTALLY  WIDTH        True                         98.17   0.000229216  0.000227928           8.04089e-06         98.17      1.83          97              17               80           17.5258            82.4742
OKP5        HORIZONTALLY  ID           True                         71.31   0.000295877  0.000294447           1.09038e-05         71.31     28.69          97              16               81           16.4948            83.5052
OKP5        MAX_AREA      AREA         True                         86.82   0.000329733  0.000324011           1.59031e-05         86.82     13.18          97              11               86           11.3402            88.6598
OKP5        MAX_AREA      PERIMETER    True                         96.27   0.000255251  0.000249147           1.3506e-05          96.27      3.73          97              12               85           12.3711            87.6289
OKP5        MAX_AREA      HEIGHT       True                         92.46   0.000409222  0.000402689           1.35665e-05         92.46      7.54          97              12               85           12.3711            87.6289
OKP5        MAX_AREA      WIDTH        True                         98.17   0.000410271  0.000406027           1.31233e-05         98.17      1.83          97              17               80           17.5258            82.4742
OKP5        MAX_AREA      ID           True                         77.06   0.00061326   0.000603199           2.26923e-05         77.06     22.94          97              20               77           20.6186            79.3814
OKP5        NONE          AREA         True                         84.86   0.00472121   0.00468087            8.93708e-05         84.86     15.14          97              10               87           10.3093            89.6907
OKP5        NONE          PERIMETER    True                         96.27   0.00186729   0.00186205            1.58084e-05         96.27      3.73          97              12               85           12.3711            87.6289
OKP5        NONE          HEIGHT       True                         92.46   0.00197048   0.00197053            9.1167e-06          92.46      7.54          97              12               85           12.3711            87.6289
OKP5        NONE          WIDTH        True                         98.17   0.00453982   0.00455499            3.62868e-05         98.17      1.83          97              17               80           17.5258            82.4742
OKP5        NONE          ID           True                         82.92   0.0148974    0.0148919             0.000105659         82.92     17.08          97              19               78           19.5876            80.4124
