Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP1        VERTICALLY    HEIGHT       True                         79.7    0.000364923  0.000360966           8.51071e-06         79.7      20.3           50              19               31           38                 62
OKP1        VERTICALLY    HEIGHT       False                        91.38   0.000209093  0.000207186           6.67061e-06         91.38      8.62          50              21               29           42                 58
OKP1        HORIZONTALLY  HEIGHT       True                         83.7    0.000261593  0.000257969           8.64299e-06         83.7      16.3           50              23               27           46                 54
OKP1        HORIZONTALLY  HEIGHT       False                        69.32   0.000118637  0.000116587           5.56818e-06         69.32     30.68          50              13               37           26                 74
OKP1        MAX_AREA      HEIGHT       True                         79.7    0.000563192  0.000555754           1.46548e-05         79.7      20.3           50              19               31           38                 62
OKP1        MAX_AREA      HEIGHT       False                        78.56   0.000295877  0.000293255           8.76265e-06         78.56     21.44          50              15               35           30                 70
OKP1        NONE          HEIGHT       True                         88.54   0.00844831   0.00835419            0.000170033         88.54     11.46          50              21               29           42                 58
OKP1        NONE          HEIGHT       False                        91.38   0.00668344   0.00661278            9.99377e-05         91.38      8.62          50              21               29           42                 58
OKP2        VERTICALLY    HEIGHT       True                         86.82   0.000135422  0.000131369           7.16685e-06         86.82     13.18          30               9               21           30                 70
OKP2        VERTICALLY    HEIGHT       False                        77.02   0.000178432  0.00017643            6.73439e-06         77.02     22.98          30              12               18           40                 60
OKP2        HORIZONTALLY  HEIGHT       True                         86.82   0.000138235  0.000135183           7.39851e-06         86.82     13.18          30               9               21           30                 70
OKP2        HORIZONTALLY  HEIGHT       False                        55.62   9.59396e-05  9.39369e-05           5.40658e-06         55.62     44.38          30               7               23           23.3333            76.6667
OKP2        MAX_AREA      HEIGHT       True                         86.82   0.000233316  0.000231266           1.05365e-05         86.82     13.18          30               9               21           30                 70
OKP2        MAX_AREA      HEIGHT       False                        54.62   0.000211     0.000208139           9.47815e-06         54.62     45.38          30               8               22           26.6667            73.3333
OKP2        NONE          HEIGHT       True                         94.8    0.00120964   0.00120759            7.70738e-06         94.8       5.2           30              10               20           33.3333            66.6667
OKP2        NONE          HEIGHT       False                        66.18   0.00417547   0.0040679             0.000152858         66.18     33.82          30               9               21           30                 70
OKP3        VERTICALLY    HEIGHT       True                         87.84   0.000144911  0.000144005           4.64861e-06         87.84     12.16          30               9               21           30                 70
OKP3        VERTICALLY    HEIGHT       False                        80.64   0.000160789  0.000157595           9.28131e-06         80.64     19.36          30              12               18           40                 60
OKP3        HORIZONTALLY  HEIGHT       True                         89.4    0.000177002  0.000172615           6.74114e-06         89.4      10.6           30              10               20           33.3333            66.6667
OKP3        HORIZONTALLY  HEIGHT       False                        40.82   9.30309e-05  9.03606e-05           5.69296e-06         40.82     59.18          30               7               23           23.3333            76.6667
OKP3        MAX_AREA      HEIGHT       True                         89.4    0.000273132  0.000267267           1.15051e-05         89.4      10.6           30              10               20           33.3333            66.6667
OKP3        MAX_AREA      HEIGHT       False                        56.46   0.000249624  0.000234842           4.90621e-05         56.46     43.54          30               9               21           30                 70
OKP3        NONE          HEIGHT       True                         89.4    0.00152011   0.00146389            9.44297e-05         89.4      10.6           30              10               20           33.3333            66.6667
OKP3        NONE          HEIGHT       False                        71.51   0.00701923   0.00702               6.29767e-05         71.51     28.49          30               9               21           30                 70
OKP4        VERTICALLY    HEIGHT       True                         94.72   0.000278854  0.000277519           9.6229e-06          94.72      5.28          61              15               46           24.5902            75.4098
OKP4        VERTICALLY    HEIGHT       False                        77.99   0.000213194  0.000210047           7.33059e-06         77.99     22.01          61              16               45           26.2295            73.7705
OKP4        HORIZONTALLY  HEIGHT       True                         93.46   0.000181484  0.000178814           6.56825e-06         93.46      6.54          61              12               49           19.6721            80.3279
OKP4        HORIZONTALLY  HEIGHT       False                        68.35   0.0002285    0.000226736           7.61537e-06         68.35     31.65          61              14               47           22.9508            77.0492
OKP4        MAX_AREA      HEIGHT       True                         94.72   0.00044775   0.000430584           2.36854e-05         94.72      5.28          61              15               46           24.5902            75.4098
OKP4        MAX_AREA      HEIGHT       False                        70.55   0.00036664   0.000361443           1.57207e-05         70.55     29.45          61              15               46           24.5902            75.4098
OKP4        NONE          HEIGHT       True                         94.72   0.00276513   0.00276542            8.0632e-06          94.72      5.28          61              15               46           24.5902            75.4098
OKP4        NONE          HEIGHT       False                        82.15   0.0191098    0.0190756             9.23725e-05         82.15     17.85          61              15               46           24.5902            75.4098
OKP5        VERTICALLY    HEIGHT       True                         92.46   0.000273609  0.000268698           1.00912e-05         92.46      7.54          97              12               85           12.3711            87.6289
OKP5        VERTICALLY    HEIGHT       False                        83.79   0.000238085  0.000234365           8.11548e-06         83.79     16.21          97              19               78           19.5876            80.4124
OKP5        HORIZONTALLY  HEIGHT       True                         92.46   0.000174999  0.000171185           6.52239e-06         92.46      7.54          97              12               85           12.3711            87.6289
OKP5        HORIZONTALLY  HEIGHT       False                        58.19   0.000386477  0.000385046           8.47644e-06         58.19     41.81          97              15               82           15.4639            84.5361
OKP5        MAX_AREA      HEIGHT       True                         92.46   0.000409222  0.000402689           1.35665e-05         92.46      7.54          97              12               85           12.3711            87.6289
