Instance    SplitMode     OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP1        VERTICALLY    ID           True                         86.04   0.000181913  0.000180006           5.28623e-06         86.04     13.96          50              14               36           28                 72
OKP1        VERTICALLY    ID           False                        82.12   0.000408983  0.000407219           1.1108e-05          82.12     17.88          50              23               27           46                 54
OKP1        HORIZONTALLY  ID           True                         81.52   0.00017333   0.000170708           5.74386e-06         81.52     18.48          50              13               37           26                 74
OKP1        HORIZONTALLY  ID           False                        68.56   0.000196552  0.000193119           7.61836e-06         68.56     31.44          50              17               33           34                 66
OKP1        MAX_AREA      ID           True                         77.52   0.000251436  0.000246286           8.00547e-06         77.52     22.48          50               9               41           18                 82
OKP1        MAX_AREA      ID           False                        62.66   0.000575829  0.00057435            1.69505e-05         62.66     37.34          50              20               30           40                 60
OKP1        NONE          ID           True                         90.04   0.00944791   0.00946593            0.000127036         90.04      9.96          50              18               32           36                 64
OKP1        NONE          ID           False                        92.12   0.0185555    0.0185151             0.000101494         92.12      7.88          50              25               25           50                 50
OKP2        VERTICALLY    ID           True                         83.61   0.000150585  0.000145435           9.41509e-06         83.61     16.39          30              10               20           33.3333            66.6667
OKP2        VERTICALLY    ID           False                        70.42   0.000163507  0.000161409           7.59864e-06         70.42     29.58          30              11               19           36.6667            63.3333
OKP2        HORIZONTALLY  ID           True                         68.09   0.000129509  0.000126123           8.118e-06           68.09     31.91          30               8               22           26.6667            73.3333
OKP2        HORIZONTALLY  ID           False                        63.04   0.000105572  0.000103235           6.48463e-06         63.04     36.96          30               7               23           23.3333            76.6667
OKP2        MAX_AREA      ID           True                         83.61   0.000252247  0.000245571           1.22121e-05         83.61     16.39          30              10               20           33.3333            66.6667
OKP2        MAX_AREA      ID           False                        74.71   0.00028038   0.000278711           1.02237e-05         74.71     25.29          30              11               19           36.6667            63.3333
OKP2        NONE          ID           True                         78.31   0.0028646    0.00284958            2.63169e-05         78.31     21.69          30               8               22           26.6667            73.3333
OKP2        NONE          ID           False                        78.94   0.00289049   0.00286603            4.92415e-05         78.94     21.06          30              13               17           43.3333            56.6667
OKP3        VERTICALLY    ID           True                         87.04   0.000163174  0.000158787           8.53871e-06         87.04     12.96          30              11               19           36.6667            63.3333
OKP3        VERTICALLY    ID           False                        68.13   0.000125265  0.000120878           9.39817e-06         68.13     31.87          30               8               22           26.6667            73.3333
OKP3        HORIZONTALLY  ID           True                         55.74   0.000103426  0.000100851           6.38926e-06         55.74     44.26          30               6               24           20                 80
OKP3        HORIZONTALLY  ID           False                        47      0.000111532  0.000108242           7.4353e-06          47        53             30               7               23           23.3333            76.6667
OKP3        MAX_AREA      ID           True                         68.48   0.00018425   0.000181198           1.03303e-05         68.48     31.52          30               7               23           23.3333            76.6667
OKP3        MAX_AREA      ID           False                        75.88   0.000209808  0.000203133           1.25246e-05         75.88     24.12          30               8               22           26.6667            73.3333
OKP3        NONE          ID           True                         87.04   0.00278034   0.00277638            1.81352e-05         87.04     12.96          30              11               19           36.6667            63.3333
OKP3        NONE          ID           False                        67      0.00256896   0.00256991            1.01096e-05         67        33             30               9               21           30                 70
OKP4        VERTICALLY    ID           True                         91.86   0.000250769  0.000246048           1.00819e-05         91.86      8.14          61              14               47           22.9508            77.0492
OKP4        VERTICALLY    ID           False                        77.85   0.000292015  0.000287294           8.86122e-06         77.85     22.15          61              16               45           26.2295            73.7705
OKP4        HORIZONTALLY  ID           True                         71.56   0.000186729  0.000183344           8.26512e-06         71.56     28.44          61              13               48           21.3115            78.6885
OKP4        HORIZONTALLY  ID           False                        82.37   0.000161505  0.000156879           8.43692e-06         82.37     17.63          61              13               48           21.3115            78.6885
OKP4        MAX_AREA      ID           True                         88.61   0.000365782  0.000362635           1.0014e-05          88.61     11.39          61              12               49           19.6721            80.3279
OKP4        MAX_AREA      ID           False                        78.41   0.000320768  0.000295639           4.43955e-05         78.41     21.59          61              12               49           19.6721            80.3279
OKP4        NONE          ID           True                         91.86   0.00380301   0.00380278            8.0936e-06          91.86      8.14          61              14               47           22.9508            77.0492
OKP4        NONE          ID           False                        77.85   0.00503736   0.00503492            1.48865e-05         77.85     22.15          61              16               45           26.2295            73.7705
OKP5        VERTICALLY    ID           True                         82.92   0.000376892  0.00037384            1.14156e-05         82.92     17.08          97              19               78           19.5876            80.4124
OKP5        VERTICALLY    ID           False                        76.46   0.000355959  0.000343561           2.48116e-05         76.46     23.54          97              18               79           18.5567            81.4433
OKP5        HORIZONTALLY  ID           True                         71.31   0.000295877  0.000294447           1.09038e-05         71.31     28.69          97              16               81           16.4948            83.5052
OKP5        HORIZONTALLY  ID           False                        80.3    0.00025239   0.00025034            1.60664e-05         80.3      19.7           97              17               80           17.5258            82.4742
OKP5        MAX_AREA      ID           True                         77.06   0.00061326   0.000603199           2.26923e-05         77.06     22.94          97              20               77           20.6186            79.3814
OKP5        MAX_AREA      ID           False                        66.86   0.000523663  0.000516415           1.41755e-05         66.86     33.14          97              16               81           16.4948            83.5052
OKP5        NONE          ID           True                         82.92   0.0148974    0.0148919             0.000105659         82.92     17.08          97              19               78           19.5876            80.4124
OKP5        NONE          ID           False                        89.9    0.0277001    0.0276105             0.000426362         89.9      10.1           97              19               78           19.5876            80.4124
