Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP1        NONE         AREA         True                         97.22   0.00178461   0.00177813            2.43488e-05         97.22      2.78          50               9               41           18                 82
OKP1        NONE         AREA         False                        67.06   0.021143     0.0210521             0.000247968         67.06     32.94          50              25               25           50                 50
OKP1        NONE         PERIMETER    True                         91.16   0.00405669   0.00391555            0.000283895         91.16      8.84          50              17               33           34                 66
OKP1        NONE         PERIMETER    False                        65.92   0.0223252    0.0224469             0.00022057          65.92     34.08          50              25               25           50                 50
OKP1        NONE         HEIGHT       True                         88.54   0.00844831   0.00835419            0.000170033         88.54     11.46          50              21               29           42                 58
OKP1        NONE         HEIGHT       False                        91.38   0.00668344   0.00661278            9.99377e-05         91.38      8.62          50              21               29           42                 58
OKP1        NONE         WIDTH        True                         91.62   0.00297956   0.00295758            6.73088e-05         91.62      8.38          50              16               34           32                 68
OKP1        NONE         WIDTH        False                        65.74   0.0228897    0.0229747             0.000436613         65.74     34.26          50              24               26           48                 52
OKP1        NONE         ID           True                         90.04   0.00944791   0.00946593            0.000127036         90.04      9.96          50              18               32           36                 64
OKP1        NONE         ID           False                        92.12   0.0185555    0.0185151             0.000101494         92.12      7.88          50              25               25           50                 50
OKP2        NONE         AREA         True                         84.62   0.00124054   0.00124121            8.31312e-06         84.62     15.38          30               6               24           20                 80
OKP2        NONE         AREA         False                        57.13   0.00413117   0.00412798            1.27206e-05         57.13     42.87          30              10               20           33.3333            66.6667
OKP2        NONE         PERIMETER    True                         90.05   0.00143237   0.00139236            8.70938e-05         90.05      9.95          30               9               21           30                 70
OKP2        NONE         PERIMETER    False                        61.32   0.0054472    0.00534129            0.000166875         61.32     38.68          30              10               20           33.3333            66.6667
OKP2        NONE         HEIGHT       True                         94.8    0.00120964   0.00120759            7.70738e-06         94.8       5.2           30              10               20           33.3333            66.6667
OKP2        NONE         HEIGHT       False                        66.18   0.00417547   0.0040679             0.000152858         66.18     33.82          30               9               21           30                 70
OKP2        NONE         WIDTH        True                         84.95   0.00169311   0.00168872            8.68786e-06         84.95     15.05          30               9               21           30                 70
OKP2        NONE         WIDTH        False                        69.89   0.00589476   0.00590467            3.19526e-05         69.89     30.11          30              14               16           46.6667            53.3333
OKP2        NONE         ID           True                         78.31   0.0028646    0.00284958            2.63169e-05         78.31     21.69          30               8               22           26.6667            73.3333
OKP2        NONE         ID           False                        78.94   0.00289049   0.00286603            4.92415e-05         78.94     21.06          30              13               17           43.3333            56.6667
OKP3        NONE         AREA         True                         93.64   0.00094986   0.000957727           1.94553e-05         93.64      6.36          30               6               24           20                 80
OKP3        NONE         AREA         False                        40.32   0.00439701   0.00415492            0.000507836         40.32     59.68          30               7               23           23.3333            76.6667
OKP3        NONE         PERIMETER    True                         92.62   0.000914907  0.000911474           1.43262e-05         92.62      7.38          30               8               22           26.6667            73.3333
OKP3        NONE         PERIMETER    False                        51.9    0.00365572   0.00351024            0.000392746         51.9      48.1           30               7               23           23.3333            76.6667
OKP3        NONE         HEIGHT       True                         89.4    0.00152011   0.00146389            9.44297e-05         89.4      10.6           30              10               20           33.3333            66.6667
OKP3        NONE         HEIGHT       False                        71.51   0.00701923   0.00702               6.29767e-05         71.51     28.49          30               9               21           30                 70
OKP3        NONE         WIDTH        True                         85.68   0.00186644   0.00187039            1.20013e-05         85.68     14.32          30               8               22           26.6667            73.3333
OKP3        NONE         WIDTH        False                        73.97   0.00324073   0.00323582            2.08474e-05         73.97     26.03          30              12               18           40                 60
OKP3        NONE         ID           True                         87.04   0.00278034   0.00277638            1.81352e-05         87.04     12.96          30              11               19           36.6667            63.3333
OKP3        NONE         ID           False                        67      0.00256896   0.00256991            1.01096e-05         67        33             30               9               21           30                 70
OKP4        NONE         AREA         True                         93.89   0.00167918   0.00166321            3.20912e-05         93.89      6.11          61               8               53           13.1148            86.8852
OKP4        NONE         AREA         False                        73.77   0.0260915    0.0261126             8.77452e-05         73.77     26.23          61              23               38           37.7049            62.2951
OKP4        NONE         PERIMETER    True                         90.99   0.00208235   0.00207615            1.12163e-05         90.99      9.01          61              12               49           19.6721            80.3279
OKP4        NONE         PERIMETER    False                        70.57   0.0238347    0.0238249             6.12852e-05         70.57     29.43          61              18               43           29.5082            70.4918
OKP4        NONE         HEIGHT       True                         94.72   0.00276513   0.00276542            8.0632e-06          94.72      5.28          61              15               46           24.5902            75.4098
OKP4        NONE         HEIGHT       False                        82.15   0.0191098    0.0190756             9.23725e-05         82.15     17.85          61              15               46           24.5902            75.4098
OKP4        NONE         WIDTH        True                         88.31   0.00450363   0.00450826            1.66215e-05         88.31     11.69          61              16               45           26.2295            73.7705
OKP4        NONE         WIDTH        False                        78.85   0.0120415    0.0120695             7.63525e-05         78.85     21.15          61              24               37           39.3443            60.6557
OKP4        NONE         ID           True                         91.86   0.00380301   0.00380278            8.0936e-06          91.86      8.14          61              14               47           22.9508            77.0492
OKP4        NONE         ID           False                        77.85   0.00503736   0.00503492            1.48865e-05         77.85     22.15          61              16               45           26.2295            73.7705
OKP5        NONE         AREA         True                         84.86   0.00472121   0.00468087            8.93708e-05         84.86     15.14          97              10               87           10.3093            89.6907
OKP5        NONE         AREA         False                        83.74   0.101231     0.101647              0.000741124         83.74     16.26          97              27               70           27.8351            72.1649
OKP5        NONE         PERIMETER    True                         96.27   0.00186729   0.00186205            1.58084e-05         96.27      3.73          97              12               85           12.3711            87.6289
OKP5        NONE         PERIMETER    False                        72.24   0.0847682    0.0844953             0.000928251         72.24     27.76          97              19               78           19.5876            80.4124
OKP5        NONE         HEIGHT       True                         92.46   0.00197048   0.00197053            9.1167e-06          92.46      7.54          97              12               85           12.3711            87.6289
OKP5        NONE         HEIGHT       False                        74.15   0.0703918    0.0702412             0.000602994         74.15     25.85          97              17               80           17.5258            82.4742
OKP5        NONE         WIDTH        True                         98.17   0.00453982   0.00455499            3.62868e-05         98.17      1.83          97              17               80           17.5258            82.4742
OKP5        NONE         WIDTH        False                        74.86   0.0895785    0.0896611             0.00121728          74.86     25.14          97              24               73           24.7423            75.2577
