Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OKP1        VERTICALLY   AREA         True                         77.56   0.000144005  0.000137568           1.38036e-05         77.56     22.44          50               8               42           16                 84
OKP1        VERTICALLY   AREA         False                        65.74   0.000409698  0.000404119           1.10495e-05         65.74     34.26          50              24               26           48                 52
OKP1        VERTICALLY   PERIMETER    True                         91.16   0.000158834  0.000155926           7.40312e-06         91.16      8.84          50              17               33           34                 66
OKP1        VERTICALLY   PERIMETER    False                        59.86   0.000396442  0.000393391           8.31312e-06         59.86     40.14          50              23               27           46                 54
OKP1        VERTICALLY   HEIGHT       True                         79.7    0.000364923  0.000360966           8.51071e-06         79.7      20.3           50              19               31           38                 62
OKP1        VERTICALLY   HEIGHT       False                        91.38   0.000209093  0.000207186           6.67061e-06         91.38      8.62          50              21               29           42                 58
OKP1        VERTICALLY   WIDTH        True                         91.62   0.000151587  0.000148058           7.90371e-06         91.62      8.38          50              16               34           32                 68
OKP1        VERTICALLY   WIDTH        False                        65.74   0.000423241  0.000419855           9.36035e-06         65.74     34.26          50              24               26           48                 52
OKP1        VERTICALLY   ID           True                         86.04   0.000181913  0.000180006           5.28623e-06         86.04     13.96          50              14               36           28                 72
OKP1        VERTICALLY   ID           False                        82.12   0.000408983  0.000407219           1.1108e-05          82.12     17.88          50              23               27           46                 54
OKP2        VERTICALLY   AREA         True                         84.62   0.000164795  0.000164747           8.35132e-06         84.62     15.38          30               6               24           20                 80
OKP2        VERTICALLY   AREA         False                        57.02   0.000196171  0.000193596           1.24448e-05         57.02     42.98          30              12               18           40                 60
OKP2        VERTICALLY   PERIMETER    True                         86.82   0.000120544  0.000117302           8.99897e-06         86.82     13.18          30              10               20           33.3333            66.6667
OKP2        VERTICALLY   PERIMETER    False                        67.76   0.000207376  0.00020504            7.35072e-06         67.76     32.24          30              13               17           43.3333            56.6667
OKP2        VERTICALLY   HEIGHT       True                         86.82   0.000135422  0.000131369           7.16685e-06         86.82     13.18          30               9               21           30                 70
OKP2        VERTICALLY   HEIGHT       False                        77.02   0.000178432  0.00017643            6.73439e-06         77.02     22.98          30              12               18           40                 60
OKP2        VERTICALLY   WIDTH        True                         87.69   0.000121403  0.000118494           7.50227e-06         87.69     12.31          30              10               20           33.3333            66.6667
OKP2        VERTICALLY   WIDTH        False                        68.24   0.000195789  0.000193357           6.99083e-06         68.24     31.76          30              12               18           40                 60
OKP2        VERTICALLY   ID           True                         83.61   0.000150585  0.000145435           9.41509e-06         83.61     16.39          30              10               20           33.3333            66.6667
OKP2        VERTICALLY   ID           False                        70.42   0.000163507  0.000161409           7.59864e-06         70.42     29.58          30              11               19           36.6667            63.3333
OKP3        VERTICALLY   AREA         True                         93.64   8.40187e-05  8.24928e-05           5.00702e-06         93.64      6.36          30               6               24           20                 80
OKP3        VERTICALLY   AREA         False                        73.21   0.00018239   0.000178337           7.93042e-06         73.21     26.79          30              12               18           40                 60
OKP3        VERTICALLY   PERIMETER    True                         92.62   0.000125074  0.00012207            8.03665e-06         92.62      7.38          30               8               22           26.6667            73.3333
OKP3        VERTICALLY   PERIMETER    False                        59.01   0.00015645   0.000154257           7.15955e-06         59.01     40.99          30              10               20           33.3333            66.6667
OKP3        VERTICALLY   HEIGHT       True                         87.84   0.000144911  0.000144005           4.64861e-06         87.84     12.16          30               9               21           30                 70
OKP3        VERTICALLY   HEIGHT       False                        80.64   0.000160789  0.000157595           9.28131e-06         80.64     19.36          30              12               18           40                 60
