Instance    SplitMode     OrderMode    Decrescent       Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY    ID           True            7.43389e-05               60            60        40               10               9                1           90                10
BKW01       VERTICALLY    ID           False           7.77245e-05               60            60        40               10               9                1           90                10
BKW01       HORIZONTALLY  ID           True            6.03199e-05               17.75         17.75     82.25            10               7                3           70                30
BKW01       HORIZONTALLY  ID           False           5.49316e-05               52.75         52.75     47.25            10               7                3           70                30
BKW01       MAX_AREA      ID           True            0.000159264               60            60        40               10               9                1           90                10
BKW01       MAX_AREA      ID           False           0.000128794               52.75         52.75     47.25            10               7                3           70                30
BKW01       NONE          ID           True            0.001472                  60            60        40               10               9                1           90                10
BKW01       NONE          ID           False           0.0006639                 52.75         52.75     47.25            10               7                3           70                30
BKW02       VERTICALLY    ID           True            0.000103903               40.7333       40.7333   59.2667          20              13                7           65                35
BKW02       VERTICALLY    ID           False           0.000104141               57.4667       57.4667   42.5333          20              12                8           60                40
BKW02       HORIZONTALLY  ID           True            0.000116301               50.4          50.4      49.6             20              15                5           75                25
BKW02       HORIZONTALLY  ID           False           0.000124407               78.5333       78.5333   21.4667          20              16                4           80                20
BKW02       MAX_AREA      ID           True            0.000263071               54.1333       54.1333   45.8667          20              16                4           80                20
BKW02       MAX_AREA      ID           False           0.000292587               76.8          76.8      23.2             20              17                3           85                15
BKW02       NONE          ID           True            0.0103454                 64.3333       64.3333   35.6667          20              17                3           85                15
BKW02       NONE          ID           False           0.0066689                 76.8          76.8      23.2             20              17                3           85                15
BKW03       VERTICALLY    ID           True            0.000175953               65.9333       65.9333   34.0667          30              25                5           83.3333           16.6667
BKW03       VERTICALLY    ID           False           0.000179338               66.4          66.4      33.6             30              25                5           83.3333           16.6667
BKW03       HORIZONTALLY  ID           True            0.000235367               67.1333       67.1333   32.8667          30              26                4           86.6667           13.3333
BKW03       HORIZONTALLY  ID           False           0.000183201               33.8667       33.8667   66.1333          30              20               10           66.6667           33.3333
BKW03       MAX_AREA      ID           True            0.000477123               72.8667       72.8667   27.1333          30              27                3           90                10
BKW03       MAX_AREA      ID           False           0.000453997               62.9333       62.9333   37.0667          30              27                3           90                10
BKW03       NONE          ID           True            0.0510078                 78.9333       78.9333   21.0667          30              28                2           93.3333            6.66667
BKW03       NONE          ID           False           0.0273745                 80            80        20               30              28                2           93.3333            6.66667
BKW04       VERTICALLY    ID           True            0.000269651               46.2812       46.2812   53.7188          40              37                3           92.5               7.5
BKW04       VERTICALLY    ID           False           0.000285864               81.5938       81.5938   18.4062          40              34                6           85                15
BKW04       HORIZONTALLY  ID           True            0.000302696               33.8594       33.8594   66.1406          40              34                6           85                15
BKW04       HORIZONTALLY  ID           False           0.000314045               62.7656       62.7656   37.2344          40              34                6           85                15
BKW04       MAX_AREA      ID           True            0.000613403               61.6719       61.6719   38.3281          40              38                2           95                 5
BKW04       MAX_AREA      ID           False           0.000744915               85.5312       85.5312   14.4688          40              37                3           92.5               7.5
BKW04       NONE          ID           True            0.0444567                 48.2812       48.2812   51.7188          40              38                2           95                 5
BKW04       NONE          ID           False           0.0693702                 88.7656       88.7656   11.2344          40              37                3           92.5               7.5
BKW05       VERTICALLY    ID           True            0.000293875               27.35         27.35     72.65            50              32               18           64                36
BKW05       VERTICALLY    ID           False           0.000292015               43.14         43.14     56.86            50              36               14           72                28
BKW05       HORIZONTALLY  ID           True            0.000350094               55.29         55.29     44.71            50              37               13           74                26
BKW05       HORIZONTALLY  ID           False           0.000377464               77.5          77.5      22.5             50              43                7           86                14
BKW05       MAX_AREA      ID           True            0.000801563               62.75         62.75     37.25            50              46                4           92                 8
BKW05       MAX_AREA      ID           False           0.00077157                88.04         88.04     11.96            50              46                4           92                 8
BKW05       NONE          ID           True            0.196295                  67.88         67.88     32.12            50              47                3           94                 6
