Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

OF1         MAX_AREA     AREA         True                       75.7143   0.000147247  0.000145674           8.66821e-06       75.7143   24.2857          23               6               17          26.087              73.913
OF1         MAX_AREA     AREA         False                      56.6071   0.000204086  0.000200272           1.08725e-05       56.6071   43.3929          23               8               15          34.7826             65.2174
OF1         MAX_AREA     PERIMETER    True                       83.1786   0.000163364  0.000159979           9.65215e-06       83.1786   16.8214          23               7               16          30.4348             69.5652
OF1         MAX_AREA     PERIMETER    False                      56.6071   0.000185156  0.000181913           9.19641e-06       56.6071   43.3929          23               8               15          34.7826             65.2174
OF1         MAX_AREA     HEIGHT       True                       95        0.000195026  0.000192881           1.02625e-05       95         5               23               8               15          34.7826             65.2174
OF1         MAX_AREA     HEIGHT       False                      64.4286   0.00017972   0.000174761           1.0976e-05        64.4286   35.5714          23               7               16          30.4348             69.5652
OF1         MAX_AREA     WIDTH        True                       74.75     0.000170326  0.000166416           9.67709e-06       74.75     25.25            23               7               16          30.4348             69.5652
OF1         MAX_AREA     WIDTH        False                      85.8571   0.000205135  0.000203371           8.02958e-06       85.8571   14.1429          23               8               15          34.7826             65.2174
OF1         MAX_AREA     ID           True                       51.4286   0.000172853  0.000170708           7.18744e-06       51.4286   48.5714          23               7               16          30.4348             69.5652
OF1         MAX_AREA     ID           False                      69.1786   0.000281477  0.000277042           8.95718e-06       69.1786   30.8214          23               8               15          34.7826             65.2174
OF2         MAX_AREA     AREA         True                       83.0714   0.000162077  0.000155926           1.05287e-05       83.0714   16.9286          24               7               17          29.1667             70.8333
OF2         MAX_AREA     AREA         False                      50.2857   0.000174618  0.0001688             1.24733e-05       50.2857   49.7143          24               7               17          29.1667             70.8333
OF2         MAX_AREA     PERIMETER    True                       69.3214   0.000147104  0.000144243           8.183e-06         69.3214   30.6786          24               6               18          25                  75
OF2         MAX_AREA     PERIMETER    False                      50.2857   0.000174189  0.000172615           8.11128e-06       50.2857   49.7143          24               7               17          29.1667             70.8333
OF2         MAX_AREA     HEIGHT       True                       63.3929   0.000132465  0.000128746           7.76615e-06       63.3929   36.6071          24               5               19          20.8333             79.1667
OF2         MAX_AREA     HEIGHT       False                      49.7143   0.000156784  0.000154018           8.54138e-06       49.7143   50.2857          24               6               18          25                  75
OF2         MAX_AREA     WIDTH        True                       77.1071   0.000174332  0.000171185           7.72329e-06       77.1071   22.8929          24               7               17          29.1667             70.8333
OF2         MAX_AREA     WIDTH        False                      54.75     0.000154829  0.000153542           5.87226e-06       54.75     45.25            24               6               18          25                  75
OF2         MAX_AREA     ID           True                       71.1786   0.000151157  0.000139236           2.09619e-05       71.1786   28.8214          24               6               18          25                  75
OF2         MAX_AREA     ID           False                      82.4643   0.000161219  0.000157356           9.50737e-06       82.4643   17.5357          24               7               17          29.1667             70.8333
OKP1        MAX_AREA     AREA         True                       77.56     0.000231123  0.000225306           1.07734e-05       77.56     22.44            50               8               42          16                  84
OKP1        MAX_AREA     AREA         False                      67.06     0.000705147  0.000698328           1.71612e-05       67.06     32.94            50              25               25          50                  50
OKP1        MAX_AREA     PERIMETER    True                       88.4      0.000253916  0.000247478           1.01892e-05       88.4      11.6             50              14               36          28                  72
OKP1        MAX_AREA     PERIMETER    False                      67.16     0.000505877  0.000495911           1.53037e-05       67.16     32.84            50              17               33          34                  66
OKP1        MAX_AREA     HEIGHT       True                       79.7      0.000563192  0.000555754           1.46548e-05       79.7      20.3             50              19               31          38                  62
OKP1        MAX_AREA     HEIGHT       False                      78.56     0.000295877  0.000293255           8.76265e-06       78.56     21.44            50              15               35          30                  70
OKP1        MAX_AREA     WIDTH        True                       88.4      0.000371981  0.000367165           1.68725e-05       88.4      11.6             50              14               36          28                  72
OKP1        MAX_AREA     WIDTH        False                      65.74     0.000680542  0.000670433           2.06259e-05       65.74     34.26            50              24               26          48                  52
OKP1        MAX_AREA     ID           True                       77.52     0.000251436  0.000246286           8.00547e-06       77.52     22.48            50               9               41          18                  82
OKP1        MAX_AREA     ID           False                      62.66     0.000575829  0.00057435            1.69505e-05       62.66     37.34            50              20               30          40                  60
OKP2        MAX_AREA     AREA         True                       83.61     0.000180912  0.000177145           1.18946e-05       83.61     16.39            30               7               23          23.3333             76.6667
OKP2        MAX_AREA     AREA         False                      61.28     0.000326443  0.000320673           1.14584e-05       61.28     38.72            30              12               18          40                  60
OKP2        MAX_AREA     PERIMETER    True                       90.05     0.000192976  0.000188828           9.99494e-06       90.05      9.95            30               9               21          30                  70
OKP2        MAX_AREA     PERIMETER    False                      60.48     0.00026722   0.000261307           1.25702e-05       60.48     39.52            30              10               20          33.3333             66.6667
OKP2        MAX_AREA     HEIGHT       True                       86.82     0.000233316  0.000231266           1.05365e-05       86.82     13.18            30               9               21          30                  70
OKP2        MAX_AREA     HEIGHT       False                      54.62     0.000211     0.000208139           9.47815e-06       54.62     45.38            30               8               22          26.6667             73.3333
OKP2        MAX_AREA     WIDTH        True                       84.95     0.000200367  0.00019598            9.94134e-06       84.95     15.05            30               9               21          30                  70
OKP2        MAX_AREA     WIDTH        False                      68.24     0.000324345  0.00031805            1.44022e-05       68.24     31.76            30              12               18          40                  60
OKP2        MAX_AREA     ID           True                       83.61     0.000252247  0.000245571           1.22121e-05       83.61     16.39            30              10               20          33.3333             66.6667
OKP2        MAX_AREA     ID           False                      74.71     0.00028038   0.000278711           1.02237e-05       74.71     25.29            30              11               19          36.6667             63.3333
