Instance    SplitMode    OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       NONE         AREA         True              0.695695              100       100        0                10              10                0          100                0
BKW01       NONE         AREA         False             0.626011               60        60       40                10               9                1           90               10
BKW01       NONE         PERIMETER    True              0.69076               100       100        0                10              10                0          100                0
BKW01       NONE         PERIMETER    False             0.629617               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       True              0.60768                60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       False             0.627748               60        60       40                10               9                1           90               10
BKW01       NONE         WIDTH        True              0.691962              100       100        0                10              10                0          100                0
BKW01       NONE         WIDTH        False             0.6317                 60        60       40                10               9                1           90               10
BKW01       NONE         NONE         True              0.473541               52.75     52.75    47.25             10               7                3           70               30
BKW01       NONE         NONE         False             0.473039               52.75     52.75    47.25             10               7                3           70               30
BKW02       NONE         AREA         True              0.875084               85.8667   85.8667  14.1333           20              14                6           70               30
BKW02       NONE         AREA         False             0.947292               43.5333   43.5333  56.4667           20              15                5           75               25
BKW02       NONE         PERIMETER    True              1.05909                89.8667   89.8667  10.1333           20              16                4           80               20
BKW02       NONE         PERIMETER    False             1.013                  49.9333   49.9333  50.0667           20              16                4           80               20
BKW02       NONE         HEIGHT       True              1.07147                82        82       18                20              17                3           85               15
BKW02       NONE         HEIGHT       False             1.08761                65.6667   65.6667  34.3333           20              17                3           85               15
BKW02       NONE         WIDTH        True              1.34705               100       100        0                20              20                0          100                0
BKW02       NONE         WIDTH        False             1.02021                61.6667   61.6667  38.3333           20              16                4           80               20
BKW02       NONE         NONE         True              1.07494                76.8      76.8     23.2              20              17                3           85               15
BKW02       NONE         NONE         False             1.11158                76.8      76.8     23.2              20              17                3           85               15
BKW03       NONE         AREA         True              2.12963                95.4      95.4      4.6              30              29                1           96.6667           3.33333
BKW03       NONE         AREA         False             1.75508                58.3333   58.3333  41.6667           30              26                4           86.6667          13.3333
BKW03       NONE         PERIMETER    True              1.98084                92.6667   92.6667   7.33333          30              28                2           93.3333           6.66667
BKW03       NONE         PERIMETER    False             1.75506                55.7333   55.7333  44.2667           30              26                4           86.6667          13.3333
BKW03       NONE         HEIGHT       True              2.02459                95.0667   95.0667   4.93333          30              28                2           93.3333           6.66667
BKW03       NONE         HEIGHT       False             1.60671                51.4667   51.4667  48.5333           30              24                6           80               20
BKW03       NONE         WIDTH        True              2.1643                100       100        0                30              30                0          100                0
BKW03       NONE         WIDTH        False             1.98281                80        80       20                30              28                2           93.3333           6.66667
BKW03       NONE         NONE         True              1.94871                80        80       20                30              28                2           93.3333           6.66667
BKW03       NONE         NONE         False             1.96355                80        80       20                30              28                2           93.3333           6.66667
BKW04       NONE         AREA         True              3.3849                 98.1875   98.1875   1.8125           40              39                1           97.5              2.5
BKW04       NONE         AREA         False             2.85527                44.6719   44.6719  55.3281           40              35                5           87.5             12.5
BKW04       NONE         PERIMETER    True              3.06028                96.9375   96.9375   3.0625           40              36                4           90               10
BKW04       NONE         PERIMETER    False             3.21559                48.2812   48.2812  51.7188           40              38                2           95                5
BKW04       NONE         HEIGHT       True              3.23849                96.1875   96.1875   3.8125           40              38                2           95                5
BKW04       NONE         HEIGHT       False             3.16727                58.1562   58.1562  41.8438           40              38                2           95                5
BKW04       NONE         WIDTH        True              3.40047                94.375    94.375    5.625            40              39                1           97.5              2.5
BKW04       NONE         WIDTH        False             3.2764                 63.7812   63.7812  36.2188           40              39                1           97.5              2.5
BKW04       NONE         NONE         True              3.57032               100       100        0                40              40                0          100                0
BKW04       NONE         NONE         False             3.44373               100       100        0                40              40                0          100                0
BKW05       NONE         AREA         True              4.18418                97.66     97.66     2.34             50              49                1           98                2
BKW05       NONE         AREA         False             3.75361                62.75     62.75    37.25             50              46                4           92                8
BKW05       NONE         PERIMETER    True              3.81715                98.11     98.11     1.89             50              46                4           92                8
BKW05       NONE         PERIMETER    False             3.87604                67.88     67.88    32.12             50              47                3           94                6
BKW05       NONE         HEIGHT       True              3.58832                82.03     82.03    17.97             50              44                6           88               12
BKW05       NONE         HEIGHT       False             3.77327                64.2      64.2     35.8              50              46                4           92                8
BKW05       NONE         WIDTH        True              4.19258                99.4      99.4      0.6              50              49                1           98                2
BKW05       NONE         WIDTH        False             3.74461                64.17     64.17    35.83             50              46                4           92                8
BKW05       NONE         NONE         True              3.8121                 88.4      88.4     11.6              50              47                3           94                6
BKW05       NONE         NONE         False             3.88793                88.4      88.4     11.6              50              47                3           94                6
BKW06       NONE         AREA         True              5.58684               100       100        0                60              60                0          100                0
BKW06       NONE         AREA         False             4.65139                50.9      50.9     49.1              60              54                6           90               10
BKW06       NONE         PERIMETER    True              5.4282                100       100        0                60              60                0          100                0
BKW06       NONE         PERIMETER    False             4.78326                60        60       40                60              55                5           91.6667           8.33333
BKW06       NONE         HEIGHT       True              4.76715                72.5      72.5     27.5              60              55                5           91.6667           8.33333
BKW06       NONE         HEIGHT       False             4.80888                57.88     57.88    42.12             60              55                5           91.6667           8.33333
BKW06       NONE         WIDTH        True              5.51448               100       100        0                60              60                0          100                0
BKW06       NONE         WIDTH        False             4.67965                56.9      56.9     43.1              60              54                6           90               10
BKW06       NONE         NONE         True              4.72363                72.5      72.5     27.5              60              55                5           91.6667           8.33333
BKW06       NONE         NONE         False             4.73466                72.5      72.5     27.5              60              55                5           91.6667           8.33333
BKW07       NONE         AREA         True              6.87725                90.2375   90.2375   9.7625           70              67                3           95.7143           4.28571
BKW07       NONE         AREA         False             6.38006                50.2875   50.2875  49.7125           70              65                5           92.8571           7.14286
BKW07       NONE         PERIMETER    True              6.50707                92.6375   92.6375   7.3625           70              66                4           94.2857           5.71429
BKW07       NONE         PERIMETER    False             6.42567                60.7125   60.7125  39.2875           70              65                5           92.8571           7.14286
BKW07       NONE         HEIGHT       True              6.78468                82.925    82.925   17.075            70              68                2           97.1429           2.85714
BKW07       NONE         HEIGHT       False             5.93107                56.6875   56.6875  43.3125           70              62                8           88.5714          11.4286
BKW07       NONE         WIDTH        True              7.13387               100       100        0                70              70                0          100                0
BKW07       NONE         WIDTH        False             6.72936                72        72       28                70              67                3           95.7143           4.28571
BKW07       NONE         NONE         True              6.83632                89.825    89.825   10.175            70              69                1           98.5714           1.42857
BKW07       NONE         NONE         False             6.91377                89.825    89.825   10.175            70              69                1           98.5714           1.42857
BKW08       NONE         AREA         True              8.82214               100       100        0                80              80                0          100                0
BKW08       NONE         AREA         False             8.33417                66.725    66.725   33.275            80              76                4           95                5
BKW08       NONE         PERIMETER    True              8.74778               100       100        0                80              80                0          100                0
BKW08       NONE         PERIMETER    False             8.30349                66.725    66.725   33.275            80              76                4           95                5
BKW08       NONE         HEIGHT       True              8.707                 100       100        0                80              80                0          100                0
BKW08       NONE         HEIGHT       False             7.09256                56.1375   56.1375  43.8625           80              69               11           86.25            13.75
BKW08       NONE         WIDTH        True              8.80197               100       100        0                80              80                0          100                0
BKW08       NONE         WIDTH        False             8.50169                76.5      76.5     23.5              80              77                3           96.25             3.75
BKW08       NONE         NONE         True              8.29708                90.3125   90.3125   9.6875           80              78                2           97.5              2.5
BKW08       NONE         NONE         False             8.41085                90.3125   90.3125   9.6875           80              78                2           97.5              2.5
BKW09       NONE         AREA         True             11.5376                 94.2933   94.2933   5.70667         100              97                3           97                3
BKW09       NONE         AREA         False            11.5961                 58.4667   58.4667  41.5333          100              95                5           95                5
BKW09       NONE         PERIMETER    True             12.1859                100       100        0               100             100                0          100                0
BKW09       NONE         PERIMETER    False            11.3222                 51.9867   51.9867  48.0133          100              93                7           93                7
BKW09       NONE         HEIGHT       True             11.8042                 93.1067   93.1067   6.89333         100              98                2           98                2
BKW09       NONE         HEIGHT       False            11.3733                 54.28     54.28    45.72            100              94                6           94                6
BKW09       NONE         WIDTH        True             12.4342                100       100        0               100             100                0          100                0
BKW09       NONE         WIDTH        False            11.857                  68.4667   68.4667  31.5333          100              96                4           96                4
BKW09       NONE         NONE         True             11.364                  78.8667   78.8667  21.1333          100              96                4           96                4
BKW09       NONE         NONE         False            11.3542                 78.8667   78.8667  21.1333          100              96                4           96                4
BKW10       NONE         AREA         True             38.5448                 96.1238   96.1238   3.87619         200             196                4           98                2
BKW10       NONE         AREA         False            43.5664                 48.5905   48.5905  51.4095          200             195                5           97.5              2.5
BKW10       NONE         PERIMETER    True             40.1731                100       100        0               200             200                0          100                0
BKW10       NONE         PERIMETER    False            47.316                  50.3619   50.3619  49.6381          200             196                4           98                2
BKW10       NONE         HEIGHT       True             41.5177                 82.8857   82.8857  17.1143          200             197                3           98.5              1.5
BKW10       NONE         HEIGHT       False            41.1298                 50.3619   50.3619  49.6381          200             196                4           98                2
BKW10       NONE         WIDTH        True             39.6748                100       100        0               200             200                0          100                0
BKW10       NONE         WIDTH        False            44.9981                 58.6286   58.6286  41.3714          200             197                3           98.5              1.5
BKW10       NONE         NONE         True             39.0223                 77.4476   77.4476  22.5524          200             198                2           99                1
BKW10       NONE         NONE         False            39.8218                 77.4476   77.4476  22.5524          200             198                2           99                1
BKW11       NONE         AREA         True             80.459                  97.3429   97.3429   2.65714         300             298                2           99.3333           0.666667
BKW11       NONE         AREA         False           103.249                  74.9143   74.9143  25.0857          300             293                7           97.6667           2.33333
BKW11       NONE         PERIMETER    True             82.956                 100       100        0               300             300                0          100                0
BKW11       NONE         PERIMETER    False           105.744                  79.4667   79.4667  20.5333          300             294                6           98                2
BKW11       NONE         HEIGHT       True             83.353                  86.619    86.619   13.381           300             295                5           98.3333           1.66667
BKW11       NONE         HEIGHT       False            96.5383                 65.6476   65.6476  34.3524          300             289               11           96.3333           3.66667
BKW11       NONE         WIDTH        True             86.9307                100       100        0               300             300                0          100                0
BKW11       NONE         WIDTH        False           110.904                  84.4857   84.4857  15.5143          300             295                5           98.3333           1.66667
BKW11       NONE         NONE         True             85.9816                 88.9524   88.9524  11.0476          300             297                3           99                1
BKW11       NONE         NONE         False            85.2723                 88.9524   88.9524  11.0476          300             297                3           99                1
BKW12       NONE         AREA         True            248.871                  99.51     99.51     0.49            500             499                1           99.8              0.2
