Instance    SplitMode    OrderMode    Decrescent      Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW01       VERTICALLY   AREA         True           9.72271e-05              100           100        0                10              10                0          100                 0
BKW01       VERTICALLY   AREA         False          6.67095e-05               60            60       40                10               9                1           90                10
BKW01       VERTICALLY   PERIMETER    True           6.14643e-05              100           100        0                10              10                0          100                 0
BKW01       VERTICALLY   PERIMETER    False          6.66618e-05               60            60       40                10               9                1           90                10
BKW01       VERTICALLY   HEIGHT       True           6.85215e-05               60            60       40                10               9                1           90                10
BKW01       VERTICALLY   HEIGHT       False          6.29902e-05               24            24       76                10               8                2           80                20
BKW01       VERTICALLY   WIDTH        True           5.6982e-05               100           100        0                10              10                0          100                 0
BKW01       VERTICALLY   WIDTH        False          6.69956e-05               60            60       40                10               9                1           90                10
BKW01       VERTICALLY   ID           True           7.43389e-05               60            60       40                10               9                1           90                10
BKW01       VERTICALLY   ID           False          7.77245e-05               60            60       40                10               9                1           90                10
BKW02       VERTICALLY   AREA         True           0.000110722               61            61       39                20              14                6           70                30
BKW02       VERTICALLY   AREA         False          9.81331e-05               29.1333       29.1333  70.8667           20              12                8           60                40
BKW02       VERTICALLY   PERIMETER    True           0.000115108               63.4          63.4     36.6              20              15                5           75                25
BKW02       VERTICALLY   PERIMETER    False          9.6941e-05                29.1333       29.1333  70.8667           20              12                8           60                40
BKW02       VERTICALLY   HEIGHT       True           0.000108385               57.2667       57.2667  42.7333           20              13                7           65                35
BKW02       VERTICALLY   HEIGHT       False          0.000101995               34.2          34.2     65.8              20              13                7           65                35
BKW02       VERTICALLY   WIDTH        True           0.000118732               81.0667       81.0667  18.9333           20              18                2           90                10
BKW02       VERTICALLY   WIDTH        False          9.3317e-05                26.7333       26.7333  73.2667           20              11                9           55                45
BKW02       VERTICALLY   ID           True           0.000103903               40.7333       40.7333  59.2667           20              13                7           65                35
BKW02       VERTICALLY   ID           False          0.000104141               57.4667       57.4667  42.5333           20              12                8           60                40
BKW03       VERTICALLY   AREA         True           0.000163507               84.1333       84.1333  15.8667           30              23                7           76.6667           23.3333
BKW03       VERTICALLY   AREA         False          0.000169802               52            52       48                30              24                6           80                20
BKW03       VERTICALLY   PERIMETER    True           0.000165796               80.1333       80.1333  19.8667           30              22                8           73.3333           26.6667
BKW03       VERTICALLY   PERIMETER    False          0.00015955                52            52       48                30              24                6           80                20
BKW03       VERTICALLY   HEIGHT       True           0.000165749               75.4667       75.4667  24.5333           30              22                8           73.3333           26.6667
BKW03       VERTICALLY   HEIGHT       False          0.000179863               55.3333       55.3333  44.6667           30              25                5           83.3333           16.6667
BKW03       VERTICALLY   WIDTH        True           0.000170851               88.6          88.6     11.4              30              24                6           80                20
BKW03       VERTICALLY   WIDTH        False          0.000163889               52            52       48                30              24                6           80                20
BKW03       VERTICALLY   ID           True           0.000175953               65.9333       65.9333  34.0667           30              25                5           83.3333           16.6667
BKW03       VERTICALLY   ID           False          0.000179338               66.4          66.4     33.6              30              25                5           83.3333           16.6667
BKW04       VERTICALLY   AREA         True           0.000286674               91.0781       91.0781   8.92188          40              34                6           85                15
BKW04       VERTICALLY   AREA         False          0.000254822               46.2812       46.2812  53.7188           40              37                3           92.5               7.5
BKW04       VERTICALLY   PERIMETER    True           0.000279474               93.4062       93.4062   6.59375          40              36                4           90                10
BKW04       VERTICALLY   PERIMETER    False          0.000248528               44.4688       44.4688  55.5312           40              36                4           90                10
BKW04       VERTICALLY   HEIGHT       True           0.000263596               88.4375       88.4375  11.5625           40              32                8           80                20
BKW04       VERTICALLY   HEIGHT       False          0.000296068               48.2812       48.2812  51.7188           40              38                2           95                 5
BKW04       VERTICALLY   WIDTH        True           0.000334883               94.5          94.5      5.5              40              35                5           87.5              12.5
BKW04       VERTICALLY   WIDTH        False          0.000241375               42.2812       42.2812  57.7188           40              35                5           87.5              12.5
BKW04       VERTICALLY   ID           True           0.000269651               46.2812       46.2812  53.7188           40              37                3           92.5               7.5
BKW04       VERTICALLY   ID           False          0.000285864               81.5938       81.5938  18.4062           40              34                6           85                15
BKW05       VERTICALLY   AREA         True           0.000347614               64.92         64.92    35.08             50              39               11           78                22
BKW05       VERTICALLY   AREA         False          0.000221968               22.27         22.27    77.73             50              29               21           58                42
BKW05       VERTICALLY   PERIMETER    True           0.000330973               74.01         74.01    25.99             50              41                9           82                18
BKW05       VERTICALLY   PERIMETER    False          0.000225782               22.27         22.27    77.73             50              29               21           58                42
BKW05       VERTICALLY   HEIGHT       True           0.000351048               55.1          55.1     44.9              50              32               18           64                36
BKW05       VERTICALLY   HEIGHT       False          0.00031848                30.83         30.83    69.17             50              34               16           68                32
BKW05       VERTICALLY   WIDTH        True           0.000352097               87.05         87.05    12.95             50              41                9           82                18
BKW05       VERTICALLY   WIDTH        False          0.000221777               22.27         22.27    77.73             50              29               21           58                42
BKW05       VERTICALLY   ID           True           0.000293875               27.35         27.35    72.65             50              32               18           64                36
BKW05       VERTICALLY   ID           False          0.000292015               43.14         43.14    56.86             50              36               14           72                28
BKW06       VERTICALLY   AREA         True           0.000452566               70.02         70.02    29.98             60              48               12           80                20
BKW06       VERTICALLY   AREA         False          0.000333071               33.86         33.86    66.14             60              51                9           85                15
BKW06       VERTICALLY   PERIMETER    True           0.000476837               70.58         70.58    29.42             60              54                6           90                10
BKW06       VERTICALLY   PERIMETER    False          0.000323153               33.86         33.86    66.14             60              51                9           85                15
BKW06       VERTICALLY   HEIGHT       True           0.000690269               69.38         69.38    30.62             60              52                8           86.6667           13.3333
BKW06       VERTICALLY   HEIGHT       False          0.000340462               33.86         33.86    66.14             60              51                9           85                15
BKW06       VERTICALLY   WIDTH        True           0.00032177                86.9          86.9     13.1              60              34               26           56.6667           43.3333
BKW06       VERTICALLY   WIDTH        False          0.000322676               32.42         32.42    67.58             60              50               10           83.3333           16.6667
BKW06       VERTICALLY   ID           True           0.00036521                45.26         45.26    54.74             60              53                7           88.3333           11.6667
BKW06       VERTICALLY   ID           False          0.000364065               56.18         56.18    43.82             60              53                7           88.3333           11.6667
BKW07       VERTICALLY   AREA         True           0.000477839               78.8          78.8     21.2              70              59               11           84.2857           15.7143
BKW07       VERTICALLY   AREA         False          0.00043211                41.5375       41.5375  58.4625           70              60               10           85.7143           14.2857
BKW07       VERTICALLY   PERIMETER    True           0.000473785               75.775        75.775   24.225            70              59               11           84.2857           15.7143
BKW07       VERTICALLY   PERIMETER    False          0.000438643               40.6375       40.6375  59.3625           70              59               11           84.2857           15.7143
BKW07       VERTICALLY   HEIGHT       True           0.000536871               67.8          67.8     32.2              70              57               13           81.4286           18.5714
BKW07       VERTICALLY   HEIGHT       False          0.000472593               42.0875       42.0875  57.9125           70              61                9           87.1429           12.8571
BKW07       VERTICALLY   WIDTH        True           0.000608587               91.6625       91.6625   8.3375           70              67                3           95.7143            4.28571
BKW07       VERTICALLY   WIDTH        False          0.000395107               38.725        38.725   61.275            70              56               14           80                20
BKW07       VERTICALLY   ID           True           0.000563431               66.6          66.6     33.4              70              62                8           88.5714           11.4286
BKW07       VERTICALLY   ID           False          0.000500488               46.725        46.725   53.275            70              59               11           84.2857           15.7143
BKW08       VERTICALLY   AREA         True           0.00067153                81.7          81.7     18.3              80              66               14           82.5              17.5
BKW08       VERTICALLY   AREA         False          0.00049901                47.85         47.85    52.15             80              68               12           85                15
BKW08       VERTICALLY   PERIMETER    True           0.00100412                86.9375       86.9375  13.0625           80              64               16           80                20
BKW08       VERTICALLY   PERIMETER    False          0.000596666               58.3625       58.3625  41.6375           80              72                8           90                10
BKW08       VERTICALLY   HEIGHT       True           0.000650644               70.2375       70.2375  29.7625           80              64               16           80                20
BKW08       VERTICALLY   HEIGHT       False          0.000597334               57.675        57.675   42.325            80              74                6           92.5               7.5
BKW08       VERTICALLY   WIDTH        True           0.000580454               92.7          92.7      7.3              80              69               11           86.25             13.75
BKW08       VERTICALLY   WIDTH        False          0.000457668               51.1875       51.1875  48.8125           80              65               15           81.25             18.75
BKW08       VERTICALLY   ID           True           0.000573826               54.4875       54.4875  45.5125           80              68               12           85                15
BKW08       VERTICALLY   ID           False          0.000549459               70.1875       70.1875  29.8125           80              67               13           83.75             16.25
BKW09       VERTICALLY   AREA         True           0.000655937               70.5467       70.5467  29.4533          100              80               20           80                20
BKW09       VERTICALLY   AREA         False          0.000538683               35.68         35.68    64.32            100              85               15           85                15
BKW09       VERTICALLY   PERIMETER    True           0.000670099               73.5867       73.5867  26.4133          100              80               20           80                20
BKW09       VERTICALLY   PERIMETER    False          0.000535631               35.68         35.68    64.32            100              85               15           85                15
BKW09       VERTICALLY   HEIGHT       True           0.000615358               50.7067       50.7067  49.2933          100              82               18           82                18
BKW09       VERTICALLY   HEIGHT       False          0.000542068               34.3467       34.3467  65.6533          100              83               17           83                17
BKW09       VERTICALLY   WIDTH        True           0.000686932               90.04         90.04     9.96            100              85               15           85                15
BKW09       VERTICALLY   WIDTH        False          0.000482035               31.8267       31.8267  68.1733          100              78               22           78                22
BKW09       VERTICALLY   ID           True           0.000724459               42.76         42.76    57.24            100              88               12           88                12
BKW09       VERTICALLY   ID           False          0.00060277                35.3467       35.3467  64.6533          100              82               18           82                18
BKW10       VERTICALLY   AREA         True           0.00162411                61.8381       61.8381  38.1619          200             177               23           88.5              11.5
BKW10       VERTICALLY   AREA         False          0.000987387               22.5714       22.5714  77.4286          200             168               32           84                16
